"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","All_services_average_percent_transf","All_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Aspect of Nutrient cycling measured","Primary_production","Biodiversity_composition_spp_occurrence_abunndance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
1,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",15,1.15,"1.1499999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",112,2.12,"2.12","Positive","NA",NA,"Win-Win"
2,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1,1.01,"1.01","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",89,1.89,"1.89","Positive","NA",NA,"Win-Win"
3,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",4.9671,1.049671,"1.049671","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.70178400000001,1.02701784,"1.0270178400000001","NA","NA",NA,"Win-Win"
4,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",10.952641,1.10952641,"1.10952641","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",33.868449,1.33868449,"1.3386844899999999","NA","NA",NA,"Win-Win"
7,9,"Adjei-Nsiah S., Kuyper T.W., Leeuwis C., Abekoe M.K., Giller K.E.",2007,"Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana","Adjei-Nsiah, S., Kuyper, T. W., Leeuwis, C., Abekoe, M. K., & Giller, K. E. (2007). Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana. Field Crops Research, 103(2), 87-97. doi:10.1016/j.fcr.2007.05.001","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",59.6683525,1.596683525,"1.42","Non-legume yield only","NA","NA","NA","NA","NA","NA","NA","1.21","NA","NA","NA","NA","1.5882353","Total soil nitrogen","2.1684988000000001","NA","NA","NA","NA",176,2.76,"2.76","NA","NA",NA,"Win-Win"
11,14,"Akhtar M., Yaqub M., Iqbal Z., Ashraf M.Y., Akhter J., Hussain F.",2010,"Improvement in yield and nutrient uptake by cocropping of wheat and chickpea","Akhtar, M., Yaqub, M., Iqbal, Z., Ashraf, M. Y., Akhter, J., & Hussain, F. (2010). Improvement in yield and nutrient uptake by cocropping of wheat and chickpea. Pakistan Journal of Botany, 42(6), 4043-4049.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","No synthetic","rainfed",54.55,1.5455,"1.258","Cumulative grain yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.833","Nitrogen uptake (kg/ha)","NA","NA","NA","NA","NA",99.2,1.992,"1.992","NA","NA",NA,"Win-Win"
12,16,"Akinola A.A., Alene A.D., Adeyemo R., Sanogo D., Olanrewaju A.S.",2009,"Impacts of balanced nutrient management systems technologies in the northern Guinea savanna of Nigeria","Akinola, A. A., Alene, A. D., Adeyemo, R., Sanogo, D., & Olanrewaju, A. S. (2009). Impacts of balanced nutrient management systems technologies in the northern Guinea savanna of Nigeria. Journal of Food, Agriculture and Environment, 7(2), 496-504.","Village","Experiment (on farm)","Nigeria","Africa","LMIC","No synthetic","rainfed",112.261429,2.12261429,"2.12261429","other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",105,2.05,"2.0499999999999998","NA","Positive",NA,"Win-Win"
13,18,"Alam M.M., Ladha J.K., Faisal M.W., Sharma S., Saha A., Noor S., Rahman M.A.",2015,"Improvement of cereal-based cropping systems following the principles of conservation agriculture under changing agricultural scenarios in Bangladesh","Alam, M. M., Ladha, J. K., Faisal, M. W., Sharma, S., Saha, A., Noor, S., & Rahman, M. A. (2015). Improvement of cereal-based cropping systems following the principles of conservation agriculture under changing agricultural scenarios in Bangladesh. Field Crops Research, 175, 1-15. doi:10.1016/j.fcr.2014.12.015","Plot","Experiment (research station)","Bangladesh","Asia","LMIC","Synthetic - below threshold","irrigation",133.088235,2.33088235,"1.8117646999999999","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","2.85","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",45.7,1.457,"1.4570000000000001","NA","Mixed",NA,"Win-Mix"
14,19,"Alemayehu A., Tamado T., Nigussie D., Yigzaw D., Kinde T., Wortmann C.S.",2017,"Maize-common bean intercropping to optimize maize-based crop production","Alemayehu, A., Tamado, T., Nigussie, D., Yigzaw, D., Kinde, T., & Wortmann, C. S. (2017). Maize-common bean intercropping to optimize maize-based crop production. Journal of Agricultural Science, 155(7), 1124-1136. doi:10.1017/S0021859617000193","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",1.33487633333333,1.01334876333333,"1.0601851900000001","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0173611","Maize partial factor productivity of applied N (PFPN) - Mixed (positive or negative depending on fertiliser rate, higher N inputs = reduced N efficiency)","0.96250000000000002","NA","NA","NA","NA",6.00000000000001,1.06,"1.06","NA","NA",NA,"Win-Win"
15,784,"Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015, Mar).  [Article]. Indian Journal of Agricultural Sciences, 85(3), 100-104. <Go to ISI>://WOS:000351480400015",2015,"Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India","Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015). Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India. Indian Journal of Agricultural Sciences, 85(3), 100-104.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",-7.68358204570805,0.92316417954292,"0.63387901873470698","Equivalent yield","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0523809523809522","1.0832325675130994","Available N (kg/ha)","NA","NA","NA","NA","NA",-10.9378753723362,0.890621246276638,"0.74028967841604865","1.0409528141372282","NA",NA,"Mix-Mix"
17,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",9.41945,1.0941945,"0.95850000000000002","Cumulative grain yield","NA","NA","NA","NA","NA","1.229889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.6,1.366,"1.3660000000000001","NA","Positive",NA,"Mix-Win"
18,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",8.31895,1.0831895,"1.2889999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","0.87737900000000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",178.2,2.782,"2.782","NA","Positive",NA,"Mix-Win"
19,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",7.60864999999999,1.0760865,"0.86599999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","1.286173","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",59.6,1.596,"1.5960000000000001","NA","Positive",NA,"Mix-Win"
20,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",5.22454999999999,1.0522455,"1.1559999999999999","Cumulative grain yield","NA","NA","NA","NA","NA","0.94849099999999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",215.1,3.151,"3.1509999999999998","NA","Positive",NA,"Mix-Win"
