"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Biodiv_services_average_percent_transf","Biodiv_services_average","Biodiversity_composition_spp_occurrence_abunndance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
24,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",15.38462,1.1538462,"NA","NA",1.1538462,"Energy flows",66.8202555,1.668202555,1.668202555,"NA","NA",NA,"Win-Win"
25,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",23.07692,1.2307692,"NA","NA",1.2307692,"Energy flows",203.1706204,3.031706204,3.031706204,"NA","NA",NA,"Win-Win"
26,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",18.64407,1.1864407,"NA","NA",1.1864407,"Energy flows",32.2730924,1.322730924,1.322730924,"NA","NA",NA,"Win-Win"
27,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",27.11864,1.2711864,"NA","NA",1.2711864,"Energy flows",128.3148594,2.283148594,2.283148594,"NA","NA",NA,"Win-Win"
29,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4190","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",31.8181818181818,1.31818181818182,"NA","NA",1.31818181818182,"Carbon",2.83791691156263,1.02837916911563,1.24600466995708,"1.0362537764350455","0.80287906095475758",NA,"Win-Mix"
30,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4191","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",44.1558441558441,1.44155844155844,"NA","NA",1.44155844155844,"Carbon",4.69469267817704,1.04694692678177,1.147166566463,"1.0694864048338368","0.92418780904847719",NA,"Win-Mix"
31,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4192","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",50,1.5,"NA","NA",1.5,"Carbon",3.81018872757171,1.03810188727572,1.11387564491548,"1.0589123867069485","0.94151763020472301",NA,"Win-Mix"
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",7.90123,1.0790123,"NA","NA",1.0790123,"Carbon",80.2556818,1.802556818,1.802556818,"NA","NA",NA,"Mix-Win"
40,778,"Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., Pageau, D., Semagn, K., & Wang, Z. (2018, Dec).",2018,"Rotational Diversity Effects in a Triticale-based Cropping System","Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., . . . Wang, Z. (2018). Rotational Diversity Effects in a Triticale-based Cropping System. Cereal Research Communications, 46(4), 717-728. doi:10.1556/0806.46.2018.051","Plot","Experiment (research station)","Canada","North America","HIC","Unknown","irrigation",25.8501550757485,1.25850155075749,"1.4377951807228915","NA",1.07920792079208,"Carbon",14.1935483870968,1.14193548387097,1.14193548387097,"NA","NA",NA,"Win-Win"
53,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",8.92857,1.0892857,"NA","NA",1.0892857,"Carbon",28.7423155,1.287423155,1.287423155,"NA","Negative",NA,"Win-Mix"
