uniqueID,StudyID_IDALL,Authors,Year,Title,Citation,Unit of analysis,Data type,data.collection,Setting Type,Time period,Time scale (years),Total treatments (including controls),Number of intercrop or rotation treatments including grain legumes (not sole legumes),Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls),Total number of replicates per treatment,Number of study regions/sites,time.simpl,replicates.simp,Are the authors studying/identifying legume introduction intensification as the main source of ES change?,Are the authors studying/identifying legume introduction as the main source of wellbeing change?,What other drivers are identified as key to ES or well-being change?,Case_countries,Regional_groupings,Regional_groupings_ID,"Subnational 
 case area (specify province/region)",Continent,WorldBank National Income Group,Latitude_Decimal_Degrees_N,Longitude (Decimal Degrees) E,Is intensification defined?,Authors' intensification definition,Study design,Intensification actors,Actors.categories,Type of land use intensification described,Simplified cropping system,Intensification type: Crop Change/Addition,Intensification type: Increased Rows/Strip width,Intensification type: Increased rotations,Spatial arrangement of intercropping,Other agro-ecological innovations,Recoded other agro-ecological innovations - Primary ,Recoded other agro-ecological innovations - Secondary,Food system classification ,Non-legume main crop,Legume_category,Grain legume product: Chickpea,Grain legume product: Cowpea,Grain legume product: Groundnut,Grain legume product: Lentil,Grain legume product: Mung bean,Grain legume product: Pigeonpea,Grain legume product: Faba Bean,Grain legume product: Common Bean,Grain legume product: Soybean,Grain legume product: Pea,Grain legume product: Grain legumes (unspecified/other),Other products not target of intensification,"Mineral Fertiliser
 N–P2O5–K2O kgha?1",Synthetic fertiliser category,Water source,Prov_services_average_percent_transf,Prov_services_average,Yield,Freshwater,Fuelwood,Fiber,Biochemicals,Genetic_resources,Econ_wellbeing_average_percent_transf,Econ_wellbeing_average,Profit,Financial_security,Physical_capital,Savings_labour_cost,Combined ecological-social outcome,Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?,"If intensification is leading to changed demands, specify whose demand and which ES",IF Yes to changed demands: Are the changes disaggregated by different groups?,"If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing",General factors enabling adoption,General factors constraining adoption,Factors identified as enabling ecosystem services,Factors identified as constraining ecosystem services,Factors identified as enabling well being,Factors identified as constraining well being,Notes,Documentation of methods of data extraction,Secondary reference,Study spatial design (do they have enough replicates?),Study temporal design (do they collect data over multiple points in time?),Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?),Reporting,Risk of bias,Tools for assessment (Were valid and reliable tools used to assess  outcomes?),Sum.Quality
346,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics,"Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195",Plot,Quantitative,Experiment (on farm),RC,1996-2005,10,3,2,1,3,1, 5-10, 3-4,Yes,Yes,"Soil fertility decline, climate",Australia,High Income Countries,3,"St George, Queensland",Australia,HIC,-28.5,148.75,No,NA,Experiment (on farm),Farmer-led + support by researchers,Farmer-led + researcher/extension,Rotation,Rotation,1,0,0,Rotation,"Zero tillage; Two levels of N application (0, 70)",Tillage practices,Fertilizer rates/type,Grain / Chickpea,Wheat,Chickpea,1,0,0,0,0,0,0,0,0,0,0,,"4-8-0, 74-8-0",Synthetic - below threshold,rainfed,16.259274,1.16259274,1.16259274,NA,NA,NA,NA,NA,137.6328502,2.376328502,2.376328502,NA,NA,NA,Mix-Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal conditions; Reduction of disease by chickpeas: ""The increase in grain yield in wheat following chickpea, compared with continuous wheat, was apparently due to the combined effects of the chickpea phase in providing soil nitrogen benefit and in reducing the build-up of plant disease"";","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""; History of nutrification of soil: ""chickpea biomass and N2 fixation for a particular value of soil nitrate-N may decrease as rainfall decreases and potential evapotranspiration increases, which may explain the lower N2 fixation values in south-west Queensland to some extent. Peoples et al. (2001) concluded that N2 fixation by legumes in summer-dominant rainfall regions of eastern Australia was greatly influenced by large variations in %Ndfa caused by yearly fluctuations in growing season (April to October) rainfall and farmer practice which resulted in a build up of soil mineral-N prior to sowing. The net result was a lower average reliance of legumes on N2 fixation for growth and more variable relationships between N2 fixation and dry matter accumulation than in winter-dominant rainfall areas""",Grain prices favourable for crop choice,"Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""",,Table 5,,2,2,2,2,2,2,12
203,418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913",Field,Quantitative,Experiment (research station),E/M,1992-2001,19,5,3,2,4,1,>10, 3-4,Yes,Yes,Switch to monoculture practices,South Africa,Subsaharan Africa,1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State",Africa,UMIC,-28.16493064,28.3095209,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume (wheat),Intercrop,1,0,0,Rotation,Application of fertiliser and weeding + existing farmers practices,Fertilizer rates/type,,Grain / Lupin,Wheat,Other,0,0,0,0,0,0,0,0,0,0,Lupin,0,31-21-10 for wheat.,Synthetic - below threshold,rainfed,97.96980739,1.979698074,1.979698074,NA,NA,NA,NA,NA,5.128205128,1.051282051,NA,1.051282051,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""",Fluctuation of commodity prices.,NA,NA,"Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.",Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)  ,,2,2,2,2,2,2,12
204,418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913",Field,Quantitative,Experiment (research station),E/M,1992-2001,19,5,3,2,4,1,>10, 3-4,Yes,Yes,Switch to monoculture practices,South Africa,Subsaharan Africa,1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State",Africa,UMIC,-28.16493064,28.3095209,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume (wheat + maize),Intercrop,1,0,0,Rotation,Application of fertiliser and weeding + existing farmers practices,Fertilizer rates/type,,Grain / Dry bean,Maize-wheat,Other,0,0,0,0,0,0,0,0,0,0,Dry bean,0,31-21-10 for wheat and 65-8.4-4.5 for dry beans.,Synthetic - below threshold,rainfed,51.86388244,1.518638824,1.518638824,NA,NA,NA,NA,NA,-10.25641026,0.897435897,NA,0.897435897,NA,NA,Mix-Mix,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""",Fluctuation of commodity prices.,NA,NA,"Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.",Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)  ,,2,2,2,2,2,2,12
205,418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913",Field,Quantitative,Experiment (research station),E/M,1992-2001,19,5,3,2,4,1,>10, 3-4,Yes,Yes,Switch to monoculture practices,South Africa,Subsaharan Africa,1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State",Africa,UMIC,-28.162878,28.309212,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume (maize),Intercrop,1,0,0,Rotation,Application of fertiliser and weeding + existing farmers practices,Fertilizer rates/type,,Grain / Soybean,Maize,Soybean,0,0,0,0,0,0,0,0,1,0,0,0,"21-14-7 for maize and 18-13-6 for soyabeans (but only in 1999 for soyabeans, not fertiliser was used in the other years)",Synthetic - below threshold,rainfed,57.28433099,1.57284331,1.57284331,NA,NA,NA,NA,NA,10.86956522,1.108695652,NA,1.108695652,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""",Fluctuation of commodity prices.,NA,NA,"Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.",Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)  ,,2,2,2,2,2,2,12
105,217,"Halpin N.V., Wang W., Rehbein W.E., Reeves S.H.",2015,Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district,"Halpin, N. V., Wang, W., Rehbein, W. E., & Reeves, S. H. (2015). Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district. 37th Annual Conference of the Australian Society of Sugar Cane Technologists, ASSCT 2015, 23-32.",Plot,Quantitative,Experiment (research station),RC ,2013-2014,1,6,4,2,4,1,1, 3-4,Yes,No,Climate change and global warming,Australia,High Income Countries,3,Bundaberg,Australia,HIC,-24.856815,152.352818,No,,Experiment (research station),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,"Fertiliser + insecticide + herbicide; 4 alternative management practices (tilled, not tilled, residue sprayed with nitrification inhibitor (DMPP) prior to tillage or had a triticale ‘catch crop’ sown between the soybean and sugarcane crops)",Conservation ag (residue + tillage),,Non-Grain / Soybean,Sugarcane,Soybean,0,0,0,0,0,0,0,0,1,0,0,,13-27-60,Synthetic - below threshold,irrigation,11.34529148,1.113452915,1.113452915,NA,NA,NA,NA,NA,21.52737333,1.215273733,1.215273733,NA,NA,NA,Mix-Win,NA,NA,NA,NA,NA,NA,"Yes: sugar yield not increased by legumes, but increased profit: ""the soybean rotation didn’t significantly
 improve productivity of the subsequent cane crop compared to the bare fallow, it has to be kept inmind that the soybean crop produced a gross margin of $1015/ha (data not shown) thus increasing farm profitability""",NA,NA,Reduced tillage management techniques,Fertiliser addition (increases nitrous oxide GHG emissions),NA,NA,"""Legume break crops are a strategic component to reduce the impact of yield decline which is
 defined as the loss in the productive capacity of soils under long-term monoculture""",Table 5 & 2 = yield,,2,1,2,1,2,2,10
276,514,"Rusinamhodzi L., Corbeels M., Nyamangara J., Giller K.E.",2012,Maize-grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique,"Rusinamhodzi, L., Corbeels, M., Nyamangara, J., & Giller, K. E. (2012). Maize–grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique. Field Crops Research, 136, 12-22. doi:10.1016/j.fcr.2012.07.014",Field,Quantitative,Experiment (on farm),RC,2008-2011,3,4,3,1,16,2, 2-4, 11-100,Yes,Yes,"Soil degradation, national policy and development agencies",Mozambique,Subsaharan Africa,1,Ruaca,Africa,LIC,-18.833333,33.183333,No,"""an approach to produce more food per unit resource to achieve positive social outcomes without negative effects on the environment""",Experiment (on farm),Farmer-led + support by researchers,Farmer-led + researcher/extension,Intercroppping + Rotation (Maize–pigeonpea),Intercrop-Rotation,1,0,0,Within-row,"Different fertiliser rates, no tillage",Fertilizer rates/type,Tillage practice,Grain / Pigeonpea,Maize,Pigeonpea,0,0,0,0,0,1,0,0,0,0,0,,0:0:0 - 60:20:0,Synthetic - below threshold,rainfed,3.344482,1.03344482,1.03344482,NA,NA,NA,NA,NA,-38.35227273,0.616477273,NA,NA,NA,0.616477273,Win-Mix,NA,NA,NA,NA,NA,NA,Labour needs vs increased productivity and yields of intercrops,"Market price for legumes: ""high selling price for pigeonpea was particularly attractive to farmers as it was four times that of maize""","Labour availability: ""Labour shortages often lead to severe weed pressure which is only controlled by burning the entire field before seeding of the next crop.""","Drought and associated weed infestation of main crop (maize): ""sole maize yields in Ruaca were strongly suppressed (<0.8 t ha?1) by heavy infestation with striga (S. asiatica (L.) Kuntze) that was not observed in the intercrops or the sole pigeonpea plots""; Fertiliser application: ""Pigeonpea yield responded significantly to the largest N input of 60 kg ha?1.""; Poor soil quality- ""The low N status of the soils is favourable to stimulate legume N2-fixation but deficiencies of P and K potentially limit the process.""","Soil quality- ""The low N status of the soils is favourable to stimulate legume N2-fixation but deficiencies of P and K potentially limit the process.""","Fertiliser application: ""Pigeonpea yield responded significantly to the largest N input of 60 kg ha?1.""; Market availability: ""In our study area, although maize was commonly sold, it was often sold only when the household food requirements have been achieved whilst pigeonpea could be sold immediately after harvest""","Labour for weeding: ""Weeding time was increased by 36% in intercrops although the
 increase was not related to weed intensity but to the need to take care of pigeonpea which grows slowly compared to maize as well as difficulty in navigating through the crop mixtures.""","""Our results showed that maize–legume intercropping required extra labour compared with sole crops; in Vunduzi land sizes were small and farmers were more likely to meet the labour requirements of intercropping than farmers in Ruaca. In Ruaca, farmers needed to reduce the land cultivated per season to be able to manage the intercropping systems or to hire extra labour. However, the loss in production due to reduction in land area could be compensated by the greater productivity of the intercrops.""","Supporting calc. (Yield, LER); Section 3.4 (H2O runoff); section 3.5 (Labour)  ",,2,2,2,2,2,2,12
186,396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,"Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243",Plot,Quantitative,Experiment (on farm),E/M,2003-2004,2,3,1,2,3,3, 2-4, 5-10,Yes,Yes,"Climate/weather variability (erratic and low rainfall), low soil fertility due to historical agricultural exploitation; human-wildlife conflict (damage to crops from wild animals)",Zimbabwe,Subsaharan Africa,1,"Chinyika, Thornpark farm and a Save Valley Experiment Station (SVES)",Africa,LMIC,-18.166667,32.416667,No,,Experiment (on farm),Farmer-led + support by researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,0,0,Inter-row,Different intercropping arrangements,Varied spacing/timing,,Grain / Soybean,Maize,Soybean,0,0,0,0,0,0,0,0,1,0,0,,40315,Synthetic - below threshold,rainfed,-12.825705,0.87174295,0.87174295,NA,NA,NA,NA,NA,-6.0324854,0.939675146,0.939675146,NA,NA,NA,Lose-Mix,NA,NA,NA,NA,NA,NA,NA,poor soil fertility,Access to machinery - mechanical weeding entails investment in new equiptment to cultivate rows,"Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row",Dry weather - irrigation may increase productivity during dry periods,"Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row",Dry weather/low rainfall,,Sup. Calc (Table 1) ,,2,2,2,2,2,2,12
187,396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,"Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243",Plot,Quantitative,Experiment (on farm),E/M,2003-2004,2,3,1,2,3,3, 2-4, 5-10,Yes,Yes,"Climate/weather variability (erratic and low rainfall), low soil fertility due to historical agricultural exploitation; human-wildlife conflict (damage to crops from wild animals)",Zimbabwe,Subsaharan Africa,1,"Chinyika, Thornpark farm and a Save Valley Experiment Station (SVES)",Africa,LMIC,-18.166667,32.416667,No,,Experiment (on farm),Farmer-led + support by researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,0,0,Row,Different intercropping arrangements,Varied spacing/timing,,Grain / Soybean,Maize,Soybean,0,0,0,0,0,0,0,0,1,0,0,,40315,Synthetic - below threshold,rainfed,-16.106386,0.83893614,0.83893614,NA,NA,NA,NA,NA,-8.0343949,0.919656051,0.919656051,NA,NA,NA,Lose-Mix,NA,NA,NA,NA,NA,NA,NA,poor soil fertility,Access to machinery - mechanical weeding entails investment in new equiptment to cultivate rows,"Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row",Dry weather - irrigation may increase productivity during dry periods,"Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row",Dry weather/low rainfall,,Sup. Calc (Table 1) ,,2,2,2,2,2,2,12
188,396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,"Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243",Plot,Quantitative,Experiment (on farm),E/M,2003-2004,2,5,3,2,3,3, 2-4, 5-10,Yes,Yes,"Climate/weather variability (erratic and low rainfall), low soil fertility due to historical agricultural exploitation; human-wildlife conflict (damage to crops from wild animals)",Zimbabwe,Subsaharan Africa,1,"Chinyika, Thornpark farm and a Save Valley Experiment Station (SVES)",Africa,LMIC,-18.166667,32.416667,No,,Experiment (on farm),Farmer-led + support by researchers,Farmer-led + researcher/extension,Intercropping: Cereal-legume,Intercrop,1,1,0,Strip,Existing farmers' practices,Existing farmers' practices,,Grain / Soybean,Maize,Soybean,0,0,0,0,0,0,0,0,1,0,0,,40315,Synthetic - below threshold,rainfed,-2.992665,0.97007335,0.97007335,NA,NA,NA,NA,NA,8.9019701,1.089019701,1.089019701,NA,NA,NA,Lose-Win,NA,NA,NA,NA,NA,NA,NA,poor soil fertility,Access to machinery - mechanical weeding entails investment in new equiptment to cultivate rows,"Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row",Dry weather - irrigation may increase productivity during dry periods,"Crop pattern/arrangement- soy bean growth depressed by maize shading, strip cropping higher yield than row",Dry weather/low rainfall,,Sup. Calc  / Table 1,,2,2,2,2,2,2,12
377,707,"Zingore S, Murwira HK, Delve RJ, Giller KE",2008,"Variable grain legume yields, responses to phosphorus and rotational effects on maize across soil fertility gradients on African smallholder farms","Zingore, S., Murwira, H. K., Delve, R. J., & Giller, K. E. (2008). Variable grain legume yields, responses to phosphorus and rotational effects on maize across soil fertility gradients on African smallholder farms. Nutrient Cycling in Agroecosystems, 80(1), 1-18. doi:10.1007/s10705-007-9117-3",Farm,Quantitative,Experiment (on farm),RC,2002-2005,3,8,6,2,3,2, 2-4, 5-10,"Not exclusively (also studying impact of P inputs, and soil fertility gradients)","Not exclusively (also studying impact of P inputs, and soil fertility gradients)","soybeans contributing to income generation, food security and soil N, maize as sole crop with no nutrients leads to soil depletion",Zimbabwe,Subsaharan Africa,1,Murewa district,Africa,LMIC,-17.816667,31.566667,No,NA,Experiment (on farm) ,Farmer-led,Farmer-led,Rotation,Rotation,0,1,0,NA,impact of P inputs,Fertilizer rates/type,,Grain / Soybean,Maize,Soybean,0,0,0,0,0,0,0,0,1,0,0,0,124-30-50.5 (average of three seasons),Synthetic - below threshold,rainfed,133.1208257,2.331208257,2.331208257,NA,NA,NA,NA,NA,43.01234568,1.430123457,1.430123457,NA,NA,NA,Win-Win,"Yes, more profitable on fertile soils",NA,NA,NA,NA,NA,NA,"soybean help controlling weeds, pests & diseases",Low fertility soils may affect legumes production--- higher prices of soybean when compared to maize is not an incentive-need of manure or fertiliser to increase productivity,"pest control, weed control, disease control","Soil type, soil fertility",NA,low prices of soybean when compared to maize,,"Sup, calc Fig. 1 & 2 Grain yields (t ha1) on diff soils---Table 5 Gross margins (US$ ha-1)",,2,2,1,2,1,2,10
