"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Suppreg_services_average_percent_transf","Suppreg_services_average","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Aspect of Nutrient cycling measured","Primary_production","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
7,9,"Adjei-Nsiah S., Kuyper T.W., Leeuwis C., Abekoe M.K., Giller K.E.",2007,"Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana","Adjei-Nsiah, S., Kuyper, T. W., Leeuwis, C., Abekoe, M. K., & Giller, K. E. (2007). Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana. Field Crops Research, 103(2), 87-97. doi:10.1016/j.fcr.2007.05.001","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",65.5578033333333,1.65557803333333,"NA","NA","1.21","NA","NA","NA","NA","1.5882353","Total soil nitrogen","2.1684988000000001",176,2.76,"2.76","NA","NA",NA,"Win-Win"
11,14,"Akhtar M., Yaqub M., Iqbal Z., Ashraf M.Y., Akhter J., Hussain F.",2010,"Improvement in yield and nutrient uptake by cocropping of wheat and chickpea","Akhtar, M., Yaqub, M., Iqbal, Z., Ashraf, M. Y., Akhter, J., & Hussain, F. (2010). Improvement in yield and nutrient uptake by cocropping of wheat and chickpea. Pakistan Journal of Botany, 42(6), 4043-4049.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","No synthetic","rainfed",83.3,1.833,"NA","NA","NA","NA","NA","NA","NA","1.833","Nitrogen uptake (kg/ha)","NA",99.2,1.992,"1.992","NA","NA",NA,"Win-Win"
13,18,"Alam M.M., Ladha J.K., Faisal M.W., Sharma S., Saha A., Noor S., Rahman M.A.",2015,"Improvement of cereal-based cropping systems following the principles of conservation agriculture under changing agricultural scenarios in Bangladesh","Alam, M. M., Ladha, J. K., Faisal, M. W., Sharma, S., Saha, A., Noor, S., & Rahman, M. A. (2015). Improvement of cereal-based cropping systems following the principles of conservation agriculture under changing agricultural scenarios in Bangladesh. Field Crops Research, 175, 1-15. doi:10.1016/j.fcr.2014.12.015","Plot","Experiment (research station)","Bangladesh","Asia","LMIC","Synthetic - below threshold","irrigation",185,2.85,"NA","NA","NA","2.85","NA","NA","NA","NA","NA","NA",45.7,1.457,"1.4570000000000001","NA","Mixed",NA,"Win-Mix"
14,19,"Alemayehu A., Tamado T., Nigussie D., Yigzaw D., Kinde T., Wortmann C.S.",2017,"Maize-common bean intercropping to optimize maize-based crop production","Alemayehu, A., Tamado, T., Nigussie, D., Yigzaw, D., Kinde, T., & Wortmann, C. S. (2017). Maize-common bean intercropping to optimize maize-based crop production. Journal of Agricultural Science, 155(7), 1124-1136. doi:10.1017/S0021859617000193","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",-1.006945,0.98993055,"NA","NA","NA","NA","NA","NA","NA","1.0173611","Maize partial factor productivity of applied N (PFPN) - Mixed (positive or negative depending on fertiliser rate, higher N inputs = reduced N efficiency)","0.96250000000000002",6.00000000000001,1.06,"1.06","NA","NA",NA,"Win-Win"
15,784,"Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015, Mar).  [Article]. Indian Journal of Agricultural Sciences, 85(3), 100-104. <Go to ISI>://WOS:000351480400015",2015,"Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India","Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015). Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India. Indian Journal of Agricultural Sciences, 85(3), 100-104.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",6.78067599470258,1.06780675994703,"NA","NA","NA","NA","NA","NA","1.0523809523809522","1.0832325675130994","Available N (kg/ha)","NA",-10.9378753723362,0.890621246276638,"0.74028967841604865","1.0409528141372282","NA",NA,"Mix-Mix"
17,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",22.9889,1.229889,"1.229889","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.6,1.366,"1.3660000000000001","NA","Positive",NA,"Mix-Win"
18,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",-12.2621,0.877379,"0.87737900000000002","NA","NA","NA","NA","NA","NA","NA","NA","NA",178.2,2.782,"2.782","NA","Positive",NA,"Mix-Win"
19,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",28.6173,1.286173,"1.286173","NA","NA","NA","NA","NA","NA","NA","NA","NA",59.6,1.596,"1.5960000000000001","NA","Positive",NA,"Mix-Win"
20,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",-5.1509,0.948491,"0.94849099999999997","NA","NA","NA","NA","NA","NA","NA","NA","NA",215.1,3.151,"3.1509999999999998","NA","Positive",NA,"Mix-Win"
24,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",16.66667,1.1666667,"NA","NA","NA","NA","NA","NA","NA","1.1666666999999999","Available soil nitrogen","NA",66.8202555,1.668202555,"1.6682025549999999","NA","NA",NA,"Win-Win"
