uniqueID,StudyID_IDALL,Authors,Year,Title,Citation,Unit of analysis,Data type,data.collection,Setting Type,Time period,Time scale (years),Total treatments (including controls),Number of intercrop or rotation treatments including grain legumes (not sole legumes),Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls),Total number of replicates per treatment,Number of study regions/sites,time.simpl,replicates.simp,Are the authors studying/identifying legume introduction intensification as the main source of ES change?,Are the authors studying/identifying legume introduction as the main source of wellbeing change?,What other drivers are identified as key to ES or well-being change?,Case_countries,Regional_groupings,Regional_groupings_ID,"Subnational 
 case area (specify province/region)",Continent,WorldBank National Income Group,Latitude_Decimal_Degrees_N,Longitude (Decimal Degrees) E,Is intensification defined?,Authors' intensification definition,Study design,Intensification actors,Actors.categories,Type of land use intensification described,Simplified cropping system,Intensification type: Crop Change/Addition,Intensification type: Increased Rows/Strip width,Intensification type: Increased rotations,Spatial arrangement of intercropping,Other agro-ecological innovations,Recoded other agro-ecological innovations - Primary ,Recoded other agro-ecological innovations - Secondary,Food system classification ,Non-legume main crop,Legume_category,Grain legume product: Chickpea,Grain legume product: Cowpea,Grain legume product: Groundnut,Grain legume product: Lentil,Grain legume product: Mung bean,Grain legume product: Pigeonpea,Grain legume product: Faba Bean,Grain legume product: Common Bean,Grain legume product: Soybean,Grain legume product: Pea,Grain legume product: Grain legumes (unspecified/other),Other products not target of intensification,"Mineral Fertiliser
 N–P2O5–K2O kgha?1",Synthetic fertiliser category,Water source,Suppreg_services_average_percent_transf,Suppreg_services_average,Climate_regulation,Disease_regulation,Pest_regulation,Water_regulation,Water_purification,Soil_formation,Nutrient_cycling,Primary_production,Econ_wellbeing_average_percent_transf,Econ_wellbeing_average,Profit,Financial_security,Physical_capital,Savings_labour_cost,Combined ecological-social outcome,Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?,"If intensification is leading to changed demands, specify whose demand and which ES",IF Yes to changed demands: Are the changes disaggregated by different groups?,"If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing",General factors enabling adoption,General factors constraining adoption,Factors identified as enabling ecosystem services,Factors identified as constraining ecosystem services,Factors identified as enabling well being,Factors identified as constraining well being,Notes,Documentation of methods of data extraction,Secondary reference,Study spatial design (do they have enough replicates?),Study temporal design (do they collect data over multiple points in time?),Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?),Reporting,Risk of bias,Tools for assessment (Were valid and reliable tools used to assess  outcomes?),Sum.Quality
346,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics,"Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195",Plot,Quantitative,Experiment (on farm),RC,1996-2005,10,3,2,1,3,1, 5-10, 3-4,Yes,Yes,"Soil fertility decline, climate",Australia,High Income Countries,3,"St George, Queensland",Australia,HIC,-28.5,148.75,No,NA,Experiment (on farm),Farmer-led + support by researchers,Farmer-led + researcher/extension,Rotation,Rotation,1,0,0,Rotation,"Zero tillage; Two levels of N application (0, 70)",Tillage practices,Fertilizer rates/type,Grain / Chickpea,Wheat,Chickpea,1,0,0,0,0,0,0,0,0,0,0,,"4-8-0, 74-8-0",Synthetic - below threshold,rainfed,5.57545,1.0557545,NA,NA,NA,1,NA,NA,1.111509,NA,137.6328502,2.376328502,2.376328502,NA,NA,NA,Mix-Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal conditions; Reduction of disease by chickpeas: ""The increase in grain yield in wheat following chickpea, compared with continuous wheat, was apparently due to the combined effects of the chickpea phase in providing soil nitrogen benefit and in reducing the build-up of plant disease"";","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""; History of nutrification of soil: ""chickpea biomass and N2 fixation for a particular value of soil nitrate-N may decrease as rainfall decreases and potential evapotranspiration increases, which may explain the lower N2 fixation values in south-west Queensland to some extent. Peoples et al. (2001) concluded that N2 fixation by legumes in summer-dominant rainfall regions of eastern Australia was greatly influenced by large variations in %Ndfa caused by yearly fluctuations in growing season (April to October) rainfall and farmer practice which resulted in a build up of soil mineral-N prior to sowing. The net result was a lower average reliance of legumes on N2 fixation for growth and more variable relationships between N2 fixation and dry matter accumulation than in winter-dominant rainfall areas""",Grain prices favourable for crop choice,"Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""",,Table 5,,2,2,2,2,2,2,12
203,418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913",Field,Quantitative,Experiment (research station),E/M,1992-2001,19,5,3,2,4,1,>10, 3-4,Yes,Yes,Switch to monoculture practices,South Africa,Subsaharan Africa,1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State",Africa,UMIC,-28.16493064,28.3095209,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume (wheat),Intercrop,1,0,0,Rotation,Application of fertiliser and weeding + existing farmers practices,Fertilizer rates/type,,Grain / Lupin,Wheat,Other,0,0,0,0,0,0,0,0,0,0,Lupin,0,31-21-10 for wheat.,Synthetic - below threshold,rainfed,4.444444444,1.044444444,NA,NA,NA,NA,NA,NA,1.044444444,NA,5.128205128,1.051282051,NA,1.051282051,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""",Fluctuation of commodity prices.,NA,NA,"Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.",Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)  ,,2,2,2,2,2,2,12
204,418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913",Field,Quantitative,Experiment (research station),E/M,1992-2001,19,5,3,2,4,1,>10, 3-4,Yes,Yes,Switch to monoculture practices,South Africa,Subsaharan Africa,1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State",Africa,UMIC,-28.16493064,28.3095209,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume (wheat + maize),Intercrop,1,0,0,Rotation,Application of fertiliser and weeding + existing farmers practices,Fertilizer rates/type,,Grain / Dry bean,Maize-wheat,Other,0,0,0,0,0,0,0,0,0,0,Dry bean,0,31-21-10 for wheat and 65-8.4-4.5 for dry beans.,Synthetic - below threshold,rainfed,-6.111111111,0.938888889,NA,NA,NA,NA,NA,NA,0.938888889,NA,-10.25641026,0.897435897,NA,0.897435897,NA,NA,Mix-Mix,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""",Fluctuation of commodity prices.,NA,NA,"Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.",Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)  ,,2,2,2,2,2,2,12
205,418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913",Field,Quantitative,Experiment (research station),E/M,1992-2001,19,5,3,2,4,1,>10, 3-4,Yes,Yes,Switch to monoculture practices,South Africa,Subsaharan Africa,1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State",Africa,UMIC,-28.162878,28.309212,No,,Experiment (research station),Researcher-led,Researcher-led,Intercropping: Cereal-legume (maize),Intercrop,1,0,0,Rotation,Application of fertiliser and weeding + existing farmers practices,Fertilizer rates/type,,Grain / Soybean,Maize,Soybean,0,0,0,0,0,0,0,0,1,0,0,0,"21-14-7 for maize and 18-13-6 for soyabeans (but only in 1999 for soyabeans, not fertiliser was used in the other years)",Synthetic - below threshold,rainfed,1.324503311,1.013245033,NA,NA,NA,NA,NA,NA,1.013245033,NA,10.86956522,1.108695652,NA,1.108695652,NA,NA,Win-Win,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""",Fluctuation of commodity prices.,NA,NA,"Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.",Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)  ,,2,2,2,2,2,2,12
155,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop,"Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00094",Plot,Quantitative,Experiment (on farm),E/M,2011-2013,2,6,5,1,4,1, 2-4, 3-4,Yes,Yes,"Drought, soil degradation",South Africa,Subsaharan Africa,1,Mpumalanga Province,Africa,UMIC,-25.440278,30.9825,No,,Experiment (on farm),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,Different fertiliser regimes + existing farmers practices,Fertilizer rates/type, best management practices,Grain / Groundnut,Maize,Groundnut,0,0,1,0,0,0,0,0,0,0,0,[Bambara groundnut],"0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)",Synthetic - below threshold,rainfed,38.39285714,1.383928571,NA,NA,NA,NA,NA,NA,1.487857143,1.28,222,3.22,3.22,NA,NA,NA,Win-Mix,NA,NA,NA,NA,NA,NA,NA,resource-poor farmers,NA,"Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",,2,2,2,2,2,2,12
156,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop,"Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00095",Plot,Quantitative,Experiment (on farm),E/M,2011-2013,2,6,5,1,4,1, 2-4, 3-4,Yes,Yes,"Drought, soil degradation",South Africa,Subsaharan Africa,1,Mpumalanga Province,Africa,UMIC,-25.440278,30.9825,No,,Experiment (on farm),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,Different fertiliser regimes + existing farmers practices,Fertilizer rates/type, best management practices,Grain / Groundnut,Maize,Groundnut,0,0,1,0,0,0,0,0,0,0,0,[Groundnut],"0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)",Synthetic - below threshold,rainfed,32.17142857,1.321714286,NA,NA,NA,NA,NA,NA,1.333428571,1.31,225,3.25,3.25,NA,NA,NA,Win-Mix,NA,NA,NA,NA,NA,NA,NA,resource-poor farmers,NA,"Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",,2,2,2,2,2,2,12
157,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop,"Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00096",Plot,Quantitative,Experiment (on farm),E/M,2011-2013,2,6,5,1,4,1, 2-4, 3-4,Yes,Yes,"Drought, soil degradation",South Africa,Subsaharan Africa,1,Mpumalanga Province,Africa,UMIC,-25.440278,30.9825,No,,Experiment (on farm),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,Different fertiliser regimes + existing farmers practices,Fertilizer rates/type, best management practices,Grain / Black gram,Maize,Mungbean/Black gram,0,0,0,0,0,0,0,0,0,0,Black gram,[Black gram],"0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)",Synthetic - below threshold,rainfed,16.25857143,1.162585714,NA,NA,NA,NA,NA,NA,1.175171429,1.15,108,2.08,2.08,NA,NA,NA,Win-Mix,NA,NA,NA,NA,NA,NA,NA,resource-poor farmers,NA,"Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",,2,2,2,2,2,2,12
158,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop,"Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00097",Plot,Quantitative,Experiment (on farm),E/M,2011-2013,2,6,5,1,4,1, 2-4, 3-4,Yes,Yes,"Drought, soil degradation",South Africa,Subsaharan Africa,1,Mpumalanga Province,Africa,UMIC,-25.440278,30.9825,No,,Experiment (on farm),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,Different fertiliser regimes + existing farmers practices,Fertilizer rates/type, best management practices,Grain / Mungbean,Maize,Mungbean,0,0,0,0,1,0,0,0,0,0,0,[Green gram],"0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)",Synthetic - below threshold,rainfed,24.27857143,1.242785714,NA,NA,NA,NA,NA,NA,1.325571429,1.16,154,2.54,2.54,NA,NA,NA,Win-Mix,NA,NA,NA,NA,NA,NA,NA,resource-poor farmers,NA,"Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",,2,2,2,2,2,2,12
159,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop,"Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00098",Plot,Quantitative,Experiment (on farm),E/M,2011-2013,2,6,5,1,4,1, 2-4, 3-4,Yes,Yes,"Drought, soil degradation",South Africa,Subsaharan Africa,1,Mpumalanga Province,Africa,UMIC,-25.440278,30.9825,No,,Experiment (on farm),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,Different fertiliser regimes + existing farmers practices,Fertilizer rates/type, best management practices,Grain / Cowpea,Maize,Cowpea,0,1,0,0,0,0,0,0,0,0,0,,"0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)",Synthetic - below threshold,rainfed,14.76428571,1.147642857,NA,NA,NA,NA,NA,NA,1.065285714,1.23,154,2.54,2.54,NA,NA,NA,Win-Mix,NA,NA,NA,NA,NA,NA,NA,resource-poor farmers,NA,"Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""",,,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",,2,2,2,2,2,2,12
105,217,"Halpin N.V., Wang W., Rehbein W.E., Reeves S.H.",2015,Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district,"Halpin, N. V., Wang, W., Rehbein, W. E., & Reeves, S. H. (2015). Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district. 37th Annual Conference of the Australian Society of Sugar Cane Technologists, ASSCT 2015, 23-32.",Plot,Quantitative,Experiment (research station),RC ,2013-2014,1,6,4,2,4,1,1, 3-4,Yes,No,Climate change and global warming,Australia,High Income Countries,3,Bundaberg,Australia,HIC,-24.856815,152.352818,No,,Experiment (research station),Researcher-led,Researcher-led,Rotation,Rotation,1,0,0,Rotation,"Fertiliser + insecticide + herbicide; 4 alternative management practices (tilled, not tilled, residue sprayed with nitrification inhibitor (DMPP) prior to tillage or had a triticale ‘catch crop’ sown between the soybean and sugarcane crops)",Conservation ag (residue + tillage),,Non-Grain / Soybean,Sugarcane,Soybean,0,0,0,0,0,0,0,0,1,0,0,,13-27-60,Synthetic - below threshold,irrigation,0.404630199,1.004046302,NA,NA,NA,NA,1,NA,1.012138906,1,21.52737333,1.215273733,1.215273733,NA,NA,NA,Mix-Win,NA,NA,NA,NA,NA,NA,"Yes: sugar yield not increased by legumes, but increased profit: ""the soybean rotation didn’t significantly
 improve productivity of the subsequent cane crop compared to the bare fallow, it has to be kept inmind that the soybean crop produced a gross margin of $1015/ha (data not shown) thus increasing farm profitability""",NA,NA,Reduced tillage management techniques,Fertiliser addition (increases nitrous oxide GHG emissions),NA,NA,"""Legume break crops are a strategic component to reduce the impact of yield decline which is
 defined as the loss in the productive capacity of soils under long-term monoculture""",Table 5 & 2 = yield,,2,1,2,1,2,2,10
