"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Prov_services_average_percent_transf","Prov_services_average","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Nonecon_wellbeing_average_percent_transf","Nonecon_wellbeing_average","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
1,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",15,1.15,1.15,"Cumulative grain yield","NA","NA","NA","NA","NA",103,2.03,"2.0299999999999998","NA","NA","NA","Positive","NA","NA","NA","Win-Win"
2,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1,1.01,1.01,"Cumulative grain yield","NA","NA","NA","NA","NA",93,1.93,"1.93","NA","NA","NA","Positive","NA","NA","NA","Win-Win"
3,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",4.9671,1.049671,1.049671,"Non-legume yield only","NA","NA","NA","NA","NA",75,1.75,"1.75","NA","NA","NA","NA","NA","NA","NA","Win-Win"
4,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",10.952641,1.10952641,1.10952641,"Non-legume yield only","NA","NA","NA","NA","NA",78,1.78,"1.78","NA","NA","NA","NA","NA","NA","NA","Win-Win"
9,12,"Agegnehu G., Ghizaw A., Sinebo W.",2006,"Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands","Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands. European Journal of Agronomy, 25(3), 202-207. doi:10.1016/j.eja.2006.05.002","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",16.59,1.1659,1.1659,"Cumulative grain yield","NA","NA","NA","NA","NA",14.8,1.148,"1.1479999999999999","NA","NA","NA","Positive","NA","NA","NA","Win-Win"
10,785,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006, Oct).",2006,"Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment","Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment. Experimental Agriculture, 42(4), 495-504. doi:10.1017/s0014479706003863","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",15.9054054054054,1.15905405405405,1.15905405405405,"Equivalent yield","NA","NA","NA","NA","NA",24,1.24,"1.24","NA","NA","NA","NA","NA","NA","NA","Win-Win"
12,16,"Akinola A.A., Alene A.D., Adeyemo R., Sanogo D., Olanrewaju A.S.",2009,"Impacts of balanced nutrient management systems technologies in the northern Guinea savanna of Nigeria","Akinola, A. A., Alene, A. D., Adeyemo, R., Sanogo, D., & Olanrewaju, A. S. (2009). Impacts of balanced nutrient management systems technologies in the northern Guinea savanna of Nigeria. Journal of Food, Agriculture and Environment, 7(2), 496-504.","Village","Experiment (on farm)","Nigeria","Africa","LMIC","No synthetic","rainfed",112.261429,2.12261429,2.12261429,"other","NA","NA","NA","NA","NA",23.56,1.2356,"NA","1.2356","NA","NA","Positive","NA","NA","NA","Win-Win"
14,19,"Alemayehu A., Tamado T., Nigussie D., Yigzaw D., Kinde T., Wortmann C.S.",2017,"Maize-common bean intercropping to optimize maize-based crop production","Alemayehu, A., Tamado, T., Nigussie, D., Yigzaw, D., Kinde, T., & Wortmann, C. S. (2017). Maize-common bean intercropping to optimize maize-based crop production. Journal of Agricultural Science, 155(7), 1124-1136. doi:10.1017/S0021859617000193","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",6.01851900000001,1.06018519,1.06018519,"Equivalent yield","NA","NA","NA","NA","NA",18.75,1.1875,"1.1875","NA","NA","NA","NA","NA","NA","NA","Win-Win"
15,784,"Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015, Mar).  [Article]. Indian Journal of Agricultural Sciences, 85(3), 100-104. <Go to ISI>://WOS:000351480400015",2015,"Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India","Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015). Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India. Indian Journal of Agricultural Sciences, 85(3), 100-104.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",-36.6120981265293,0.633879018734707,0.633879018734707,"Equivalent yield","NA","NA","NA","NA","NA",3.16666666666667,1.03166666666667,"1.0316666666666667","NA","NA","NA","NA","NA","NA","NA","Mix-Mix"
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",89.49825,1.8949825,1.8949825,"Equivalent yield","NA","NA","NA","NA","NA",47.26776,1.4726776,"Positive","NA","NA","NA","NA","1.4726775999999999","NA","NA","Mix-Win"
