"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",1.8949825,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0123273,NA,NA,1,1.0825838,NA,NA,NA,1.0790123,"Carbon",1.802556818,NA,NA,NA,NA,NA,NA,NA,NA,1.4726776,NA,NA,"Mix-Win"
60,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.68656716,"Equivalent_cumulative_yield",1.05334,NA,NA,NA,NA,1.408573104,NA,NA,1.18681,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.873669269,NA,NA,NA,1.7621622,NA,NA,NA,NA,1.667,NA,NA,"Win-Mix"
61,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.91791045,"Equivalent_cumulative_yield",1.03525,NA,NA,NA,NA,1.46,NA,NA,1.24451,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.499645138,NA,NA,NA,1.7513514,NA,NA,NA,NA,1.9,NA,NA,"Win-Mix"
62,106,"Choudhary V.K., Kumar P.S.",2013,"Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India","Choudhary, V. K., & Kumar, P. S. (2013). Crop and water productivity, profitability and energy consumption pattern of a maize-based crop sequence in the North Eastern Himalayan Region, India. Archives of Agronomy and Soil Science, 59(5), 653-669. doi:10.1080/03650340.2012.665992","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.78358209,"Equivalent_cumulative_yield",1.07335,NA,NA,NA,NA,1.28,NA,NA,1.33516,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.921575586,NA,NA,NA,1.8891892,NA,NA,NA,NA,1.733,NA,NA,"Win-Mix"
63,107,"Choudhary V.K., Kumar P.S., Sarkar S.K., Yadav J.S.",2013,"Production potential, economic analysis and energy auditing for maize (Zea mays)-vegetable based cropping systems in Eastern Himalayan Region, Arunachal Pradesh","Choudhary, V. K., Kumar, P. S., Sarkar, S. K., & Yadav, J. S. (2013). Production potential, economic analysis and energy auditing for maize (Zea mays)-vegetable based cropping systems in Eastern Himalayan Region, Arunachal Pradesh. Indian Journal of Agricultural Sciences, 83(1), 110-115.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",4.29954955,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,1.81910275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.816,NA,NA,NA,1.8100257,NA,NA,NA,NA,2.2,NA,NA,"Win-Mix"
64,107,"Choudhary V.K., Kumar P.S., Sarkar S.K., Yadav J.S.",2013,"Production potential, economic analysis and energy auditing for maize (Zea mays)-vegetable based cropping systems in Eastern Himalayan Region, Arunachal Pradesh","Choudhary, V. K., Kumar, P. S., Sarkar, S. K., & Yadav, J. S. (2013). Production potential, economic analysis and energy auditing for maize (Zea mays)-vegetable based cropping systems in Eastern Himalayan Region, Arunachal Pradesh. Indian Journal of Agricultural Sciences, 83(1), 110-115.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",2.79504505,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,0.865412446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.699,NA,NA,NA,1.6902314,NA,NA,NA,NA,2.2,NA,NA,"Mix-Mix"
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.914141414141414,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,NA,1.051495,1.6041667,NA,NA,NA,1.1767435,"Carbon",3.0375,NA,NA,NA,1.6,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.843434343434343,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,NA,1.0830565,1.0625,NA,NA,NA,0.967051,"Carbon",1.275,NA,NA,NA,1.45,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.848484848484849,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,NA,1.0472868,1.2083333,NA,NA,NA,1.0480877,"Carbon",0.675,NA,NA,NA,1.59,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",0.843434343434343,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,NA,1,1.5208333,NA,NA,NA,1.1230784,"Carbon",0.4125,NA,NA,NA,1.5,NA,NA,NA,NA,1,NA,NA,"Mix-Mix"
