"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
1,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1.15,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
2,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1.01,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
9,12,"Agegnehu G., Ghizaw A., Sinebo W.",2006,"Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands","Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands. European Journal of Agronomy, 25(3), 202-207. doi:10.1016/j.eja.2006.05.002","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",1.1659,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,1.762,1.2984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.148,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
10,785,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006, Oct).",2006,"Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment","Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment. Experimental Agriculture, 42(4), 495-504. doi:10.1017/s0014479706003863","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",1.15905405405405,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,1.31911573472042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
14,19,"Alemayehu A., Tamado T., Nigussie D., Yigzaw D., Kinde T., Wortmann C.S.",2017,"Maize-common bean intercropping to optimize maize-based crop production","Alemayehu, A., Tamado, T., Nigussie, D., Yigzaw, D., Kinde, T., & Wortmann, C. S. (2017). Maize-common bean intercropping to optimize maize-based crop production. Journal of Agricultural Science, 155(7), 1124-1136. doi:10.1017/S0021859617000193","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",1.06018519,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0173611,0.9625,NA,NA,NA,NA,1.06,NA,NA,NA,1.1875,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
15,784,"Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015, Mar).  [Article]. Indian Journal of Agricultural Sciences, 85(3), 100-104. <Go to ISI>://WOS:000351480400015",2015,"Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India","Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015). Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India. Indian Journal of Agricultural Sciences, 85(3), 100-104.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",0.633879018734707,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05238095238095,1.0832325675131,NA,NA,NA,NA,NA,0.740289678416049,1.04095281413723,NA,NA,1.03166666666667,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.07337151037938,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,1.08805031446541,NA,NA,0.935691318327974,NA,NA,NA,1.05096831877647,NA,NA,NA,NA,NA,0.85055145859166,0.948387096774194,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
34,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.05941302791696,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,1.06918238993711,NA,NA,0.919614147909968,NA,NA,NA,1.03488924704341,NA,NA,NA,NA,NA,0.806043203028128,0.935483870967742,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
36,61,"Bedoussac L., Journet E.-P., Hauggaard-Nielsen H., Naudin C., Corre-Hellou G., Jensen E.S., Prieur L., Justes E.",2015,"Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review","Bedoussac, L., Journet, E. P., Hauggaard-Nielsen, H., Naudin, C., Corre-Hellou, G., Jensen, E. S., . . . Justes, E. (2015). Ecological principles underlying the increase of productivity achieved by cereal-grain legume intercrops in organic farming. A review. Agronomy for Sustainable Development, 35(3), 911-935. doi:10.1007/s13593-014-0277-7","Plot","Review","Denmark, France","Europe","HIC","No synthetic","rainfed",1.22222222,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,1.7142857,NA,NA,NA,NA,1.1590909,NA,NA,NA,NA,NA,1.216637782,NA,NA,NA,1.27,1.1326531,NA,NA,NA,NA,NA,NA,"Win-Win"
37,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Experiment (on farm)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",0.98975,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,1.3235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
