"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
3,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",1.049671,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02701784,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
4,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",1.10952641,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33868449,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
103,214,"Guvenc I., Yildirim E.",2006,"Increasing productivity with intercropping systems in cabbage production","Guvenc, I., & Yildirim, E. (2006). Increasing productivity with intercropping systems in cabbage production. Journal of Sustainable Agriculture, 28(4), 29-44. doi:10.1300/J064v28n04_04","Plot","Experiment (research station)","Turkey","Europe","UMIC","Synthetic - below threshold","irrigation",1.19721386,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.009617,1.0102098,NA,NA,NA,NA,1.143614734,NA,NA,NA,1.2733333,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
104,766,"Guvenc, I., & Yildirim, E. (2005, Dec).",2005,"Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions","Guvenc, I., & Yildirim, E. (2005). Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions. European Journal of Horticultural Science, 70(6), 300-302.","Plot","Experiment (research station)","Turkey","Asia","UMIC","Synthetic - below threshold","irrigation",0.936472315553104,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1580648610115,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,"Lose-Win"
175,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.013","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.5107,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,1.2849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3388,NA,NA,0.286349,1.68,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
176,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.014","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.4245,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,1.2129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3405,NA,NA,0.460941,1.59,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
177,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.012","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.3979,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,1.0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.971943134913,NA,NA,0.31341169328116,1.54,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
178,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.015","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.4178,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,1.0803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78268734599122,NA,NA,0.23629952265459,1.6,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
179,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.016","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.3897,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,1.1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53479136230332,NA,NA,0.34526116989356,1.54,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
197,409,"Namatsheve T., Chikowo R., Corbeels M., Mouquet-Rivier C., Icard-Vernière C., Cardinael R.",2021,"Maize-cowpea intercropping as an ecological intensification option for low input systems in sub-humid Zimbabwe: Productivity, biological N2-fixation and grain mineral content","Namatsheve, T., Chikowo, R., Corbeels, M., Mouquet-Rivier, C., Icard-Vernière, C., & Cardinael, R. (2021). Maize-cowpea intercropping as an ecological intensification option for low input systems in sub-humid Zimbabwe: Productivity, biological N2-fixation and grain mineral content. Field Crops Research, 263. doi:10.1016/j.fcr.2020.108052","Field","Experiment (on farm)","Zimbabwe","Africa","LMIC","Synthetic - below threshold","rainfed",2.28406936,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.305,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
