"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
357,647,"Wade M.K., Sanchez P.A.",1984,"Productive potential of an annual intercropping scheme in the Amazon","Wade, M. K., & Sanchez, P. A. (1984). Productive potential of an annual intercropping scheme in the Amazon. Field Crops Research, 9(C), 253-263. doi:10.1016/0378-4290(84)90030-3","Plot","Quantitative","Experiment (research station)","E/M","1974","1","16","12","4","3","1","1","3-4","Yes","Yes",NA,"Peru","Latin America",6,"Yurimaguas Experiment Station","South America","UMIC","-5.9358570000000004","-76.123390999999998","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping","Intercrop",1,1,0,"Row","Increasing fertiliser","Fertilizer rates/type",NA,"Grain + Non-Grain / Cowpea +Soybean","Corn-Cassava","Multiple",0,1,0,0,0,0,0,0,1,0,"0",NA,"0-50-50 to 120-50-50","Synthetic - below threshold","rainfed","0.72972517000000003","NA","NA","NA","NA","NA","NA","NA",1.5,"NA","NA","NA","NA","NA","NA","NA","1.287509239","NA","NA","NA",1.14333333333333,"NA","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","Weeds: ""reduced risk, reduced weed
 pressures and less susceptibility to soil erosion were noted. For the intercropping
 systems, only two weedings per year were required to satisfactorily
 control weeds. The monocultures needed two to four weedings per crop""","NA","NA","NA","Prices of grain and labour","Market availability (corn and rice are the only commodities that presently have a reliable market in the
 Yurimaguas area.)",NA,"See SuppCalc Sheet - control is Corn + Cassava",NA,2,1,2,2,2,2,11
358,647,"Wade M.K., Sanchez P.A.",1984,"Productive potential of an annual intercropping scheme in the Amazon","Wade, M. K., & Sanchez, P. A. (1984). Productive potential of an annual intercropping scheme in the Amazon. Field Crops Research, 9(C), 253-263. doi:10.1016/0378-4290(84)90030-4","Plot","Quantitative","Experiment (research station)","E/M","1975","1","16","12","4","3","1","1","3-4","Yes","Yes",NA,"Peru","Latin America",6,"Yurimaguas Experiment Station","South America","UMIC","-5.9358570000000004","-76.123390999999998","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping","Intercrop",1,1,0,"Row","Increasing fertiliser","Fertilizer rates/type",NA,"Grain + Non-Grain / Cowpea + Groundnut","Corn-Rice-Cassava","Multiple",0,1,1,0,0,0,0,0,0,0,"0",NA,"0-50-50 to 120-50-50","Synthetic - below threshold","rainfed","0.69510645000000004","NA","NA","NA","NA","NA","NA","NA",1.5,"NA","NA","NA","NA","NA","NA","NA","1.7807768468468466","NA","NA","NA",1.25,"1.6809193280000001","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","Weeds: ""reduced risk, reduced weed
 pressures and less susceptibility to soil erosion were noted. For the intercropping
 systems, only two weedings per year were required to satisfactorily
 control weeds. The monocultures needed two to four weedings per crop""","NA","NA","NA","Prices of grain and labour","Market availability (corn and rice are the only commodities that presently have a reliable market in the
 Yurimaguas area.)",NA,"See SuppCalc Sheet - control is Corn + Cassava",NA,2,1,2,2,2,2,11
175,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.013","Plot","Quantitative","Experiment (research station)","E/M","2005-2012","8","7","6","1","4","1","5-10","3-4","Yes","Yes","Need to control the weed Striga hermonthica, need to respond to demographic pressures","Kenya","Subsaharan Africa",1,"International Centre ofInsect Physiology and Ecology (icipe), Thomas Odhiambo Cam-pus, Mbita Point","Africa","LMIC","-0.43061899999999997","34.206907999999999","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,0,0,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Crotalaria","Maize","Other",0,0,0,0,0,0,0,0,0,0,"Crotalaria",NA,"60kg/ha N , 60kg/ha P","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA",1.2849,"NA","NA","NA","NA","NA","NA","NA","8.3388000000000009","NA","NA","0.28634900000000002",1.68,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Legumes support Weed control, increased yield (especially Desmodium)","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. General improvements in soil fertility andmoisture retention with these intercrops","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. PLER was generallyhigher with the intercrops than with the maize monocrop, con-firming superiority of intercropping in enhancing land productivityover maize monocrop. Desmodium can also be sold as source of protein for dairy cattle.","food legumes required higher seasonal purchase of seeds and planting, in addition to other opera-tions such as weeding, harvesting and threshing that kept the total variable costs high. Fluctuations on maize grain yield affect revenues.","See tab of supporting calculations","table 6_labor costs_net benefits, table 4_grain yield, table 5_partial land equivalent ratio, table 2_striga weed counts",NA,2,2,2,1,2,2,11
176,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.014","Plot","Quantitative","Experiment (research station)","E/M","2005-2012","8","7","6","1","4","1","5-10","3-4","Yes","Yes","Need to control the weed Striga hermonthica, need to respond to demographic pressures","Kenya","Subsaharan Africa",1,"International Centre ofInsect Physiology and Ecology (icipe), Thomas Odhiambo Cam-pus, Mbita Point","Africa","LMIC","-0.43061899999999997","34.206907999999999","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,0,0,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Mungbean","Maize","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"60kg/ha N , 60kg/ha P","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA",1.2129,"NA","NA","NA","NA","NA","NA","NA","9.3405000000000005","NA","NA","0.46094099999999999",1.59,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Legumes support Weed control, increased yield (especially Desmodium)","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. General improvements in soil fertility andmoisture retention with these intercrops","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. PLER was generallyhigher with the intercrops than with the maize monocrop, con-firming superiority of intercropping in enhancing land productivityover maize monocrop. Desmodium can also be sold as source of protein for dairy cattle.","food legumes required higher seasonal purchase of seeds and planting, in addition to other opera-tions such as weeding, harvesting and threshing that kept the total variable costs high. Fluctuations on maize grain yield affect revenues.","See tab of supporting calculations","table 6_labor costs_net benefits, table 4_grain yield, table 5_partial land equivalent ratio, table 2_striga weed counts",NA,2,2,2,1,2,2,11
177,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.012","Plot","Quantitative","Experiment (research station)","E/M","2005-2012","8","7","6","1","4","1","5-10","3-4","Yes","Yes","Need to control the weed Striga hermonthica, need to respond to demographic pressures","Kenya","Subsaharan Africa",1,"International Centre ofInsect Physiology and Ecology (icipe), Thomas Odhiambo Cam-pus, Mbita Point","Africa","LMIC","-0.43061899999999997","34.206907999999999","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,0,0,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"60kg/ha N ,  60kg/ha P","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA",1.0796,"NA","NA","NA","NA","NA","NA","NA","4.9719431349129959","NA","NA","0.31341169328115992",1.54,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Legumes support Weed control, increased yield (especially Desmodium)","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. General improvements in soil fertility andmoisture retention with these intercrops","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. PLER was generallyhigher with the intercrops than with the maize monocrop, con-firming superiority of intercropping in enhancing land productivityover maize monocrop. Desmodium can also be sold as source of protein for dairy cattle.","food legumes required higher seasonal purchase of seeds and planting, in addition to other opera-tions such as weeding, harvesting and threshing that kept the total variable costs high. Fluctuations on maize grain yield affect revenues.","See tab of supporting calculations","table 6_labor costs_net benefits, table 4_grain yield, table 5_partial land equivalent ratio, table 2_striga weed counts",NA,2,2,2,1,2,2,11
178,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.015","Plot","Quantitative","Experiment (research station)","E/M","2005-2012","8","7","6","1","4","1","5-10","3-4","Yes","Yes","Need to control the weed Striga hermonthica, need to respond to demographic pressures","Kenya","Subsaharan Africa",1,"International Centre ofInsect Physiology and Ecology (icipe), Thomas Odhiambo Cam-pus, Mbita Point","Africa","LMIC","-0.43061899999999997","34.206907999999999","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,0,0,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"60kg/ha N ,  60kg/ha P","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA",1.0803,"NA","NA","NA","NA","NA","NA","NA","4.7826873459912154","NA","NA","0.23629952265459009",1.6,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Legumes support Weed control, increased yield (especially Desmodium)","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. General improvements in soil fertility andmoisture retention with these intercrops","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. PLER was generallyhigher with the intercrops than with the maize monocrop, con-firming superiority of intercropping in enhancing land productivityover maize monocrop. Desmodium can also be sold as source of protein for dairy cattle.","food legumes required higher seasonal purchase of seeds and planting, in addition to other opera-tions such as weeding, harvesting and threshing that kept the total variable costs high. Fluctuations on maize grain yield affect revenues.","See tab of supporting calculations","table 6_labor costs_net benefits, table 4_grain yield, table 5_partial land equivalent ratio, table 2_striga weed counts",NA,2,2,2,1,2,2,11
179,744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,"Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.","Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.016","Plot","Quantitative","Experiment (research station)","E/M","2005-2012","8","7","6","1","4","1","5-10","3-4","Yes","Yes","Need to control the weed Striga hermonthica, need to respond to demographic pressures","Kenya","Subsaharan Africa",1,"International Centre ofInsect Physiology and Ecology (icipe), Thomas Odhiambo Cam-pus, Mbita Point","Africa","LMIC","-0.43061899999999997","34.206907999999999","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,0,0,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"60kg/ha N ,  60kg/ha P","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA",1.1877,"NA","NA","NA","NA","NA","NA","NA","5.5347913623033156","NA","NA","0.34526116989355993",1.54,"NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Legumes support Weed control, increased yield (especially Desmodium)","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. General improvements in soil fertility andmoisture retention with these intercrops","NA","crotalaria, groundnut, greengram and desmodium having greater suppressive effects on striga emer-gence than cowpea and beans. Legumes also pro-vide ground cover and a shading effect, which results in a markedreduction in soil temperature, with studies (e.g. Carson, 1989)reporting a positive relationship between soil temperature undercereal-legume intercrop and emerged striga density. PLER was generallyhigher with the intercrops than with the maize monocrop, con-firming superiority of intercropping in enhancing land productivityover maize monocrop. Desmodium can also be sold as source of protein for dairy cattle.","food legumes required higher seasonal purchase of seeds and planting, in addition to other opera-tions such as weeding, harvesting and threshing that kept the total variable costs high. Fluctuations on maize grain yield affect revenues.","See tab of supporting calculations","table 6_labor costs_net benefits, table 4_grain yield, table 5_partial land equivalent ratio, table 2_striga weed counts",NA,2,2,2,1,2,2,11
360,666,"Workayehu T., Wortmann C.S.",2011,"Maize-bean intercrop weed suppression and profitability in Southern Ethiopia","Workayehu, T., & Wortmann, C. S. (2011). Maize-Bean Intercrop Weed Suppression and Profitability in Southern Ethiopia. Agronomy Journal, 103(4), 1058-1063. doi:10.2134/agronj2010.0493","Plot","Quantitative","Experiment (research station)","RC","1996-2000","5","12","6","6","4","1","5-10","3-4","Yes","Yes","Population growth, declining land availability for food production, poverty, urban expansion","Ethiopia","Subsaharan Africa",1,"Awassa","Africa","LIC","7.0833329999999997","38.5","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping","Intercrop",1,1,0,"Row","Weeding frequency","Weed/pest management",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"46-0-0","Synthetic - below threshold","rainfed","1.0306671700000001","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","1.1041105389999999","NA","NA","NA",1.62,"NA","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","Weeds and associated labour requirements","Weeding frequency (increased maize and bean yield); Planting density (intercropping did not affect weed growth but that weed growth was affected by crop plant density); soil water deficits: ""Maize was less competitive
 than bean in 1999 when soil water defi cits were perceived
 to be severe based on little rainfall in late July and August.""","Low rainfall/soil water - Weed biomass was much greater in 1999, a year with relatively poor crop performance due to below-average rainfall, enabling weed growth in bare soil patches: ""Weed growth was greatest in a year with soil
 water defi cit stress during the maize reproductive stage and low
 maize yield, compared with the other years, indicating less weed
 suppression by maize under such stress conditions""","Time of planting: ""providing a bean harvest early enough to contribute to
 food security by partially resolving food shortages of May to July""","Labour requirements to weed legumes (more weeds in beans than in maize, maize suppresses weeds",NA,"See SuppCalc Sheet",NA,2,2,2,2,2,2,12
37,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Quantitative","Experiment (on farm)","RC","2004","1","5","4","1","NA","3","1","3-4","Yes","No",NA,"Ethiopia","Subsaharan Africa",1,"Melkassa","Africa","LIC","8.4","39.183332999999998","No",NA,"Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"0 - 85kg N/ha","Synthetic - below threshold","rainfed","0.98975000000000002","NA","NA","NA","NA","NA","NA","NA",1.3235294,"NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA",1.05,"NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","low pest densities (""benefits of mixed cropping decreased with a decrease of pest infestations."")","NA","NA","""farmers in
 the Central Rift Valley of Ethiopia can obtain an
 economic advantage by intercropping haricot bean
 with maize at the ratio of 1:1 to 2:1, as indicated by
 higher LER and overall farm income, instead of
 monocropping of both maize and haricot bean.""","NA",NA,0,1,2,2,2,2,9
38,64,"Belay D., Schulthess F., Omwega C.",2009,"The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia","Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7","Plot","Quantitative","Experiment (on farm)","RC","2005","1","5","4","1","NA","3","1","3-4","Yes","No",NA,"Ethiopia","Subsaharan Africa",1,"Melkassa","Africa","LIC","8.4","39.183332999999998","No",NA,"Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"0 - 85kg N/ha","Synthetic - below threshold","rainfed","1.1536999999999999","NA","NA","NA","NA","NA","NA","NA",1.75,"NA","NA","NA","NA","NA","NA","NA","1.1499999999999999","NA","NA","NA",1.225,"NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","low pest densities (""benefits of mixed cropping decreased with a decrease of pest infestations."")","NA","NA","""farmers in
 the Central Rift Valley of Ethiopia can obtain an
 economic advantage by intercropping haricot bean
 with maize at the ratio of 1:1 to 2:1, as indicated by
 higher LER and overall farm income, instead of
 monocropping of both maize and haricot bean.""","NA",NA,0,1,2,2,2,2,9
