"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
323,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199110","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","50","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Songani","Africa","LIC","-15.306300999999999","35.429676999999998","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,1,0,0,0,0,"0","Tephrosia","20-0-0","Synthetic - below threshold","rainfed","0.89379653000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.4444444000000001",2.0243902,"NA","NA","1.8211143700000001","NA","NA","NA","NA",1.55,"NA","NA","1.3333333000000001","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices","nutritional benefits of legume diversification were particularly valued by female farmers and labor constraints were frequently noted by poorer households","Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
324,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199111","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","50","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Songani","Africa","LIC","-15.306300999999999","35.429676999999998","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Intercropping","Intercrop",1,0,0,"Row","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Pigeonpea","Maize","Pigeonpea",0,0,0,0,0,1,0,0,0,0,"0","Tephrosia","20-0-0","Synthetic - below threshold","rainfed","0.84019851000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.0555555999999999",2.097561,"NA","NA","0.94428152499999995","NA","NA","NA","NA",1,"NA","NA","1.0555555999999999","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices",NA,"Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
320,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199107","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","5","3","2","1000","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Malawi (countrywide)","Africa","LIC","-13.5","33.9","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"Mucuna",NA,"20-0-0","Synthetic - below threshold","rainfed","0.74508459000000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","1.4343163539999999","NA","NA","NA","NA",1.3,"NA","NA","0.67857140000000005","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices","nutritional benefits of legume diversification were particularly valued by female farmers and labor constraints were frequently noted by poorer households; ""fertilizer efficiency could be substantially enhanced through diversification with SP legumes: from 24 to 31 kg grain kg N−1 in monoculture maize to 38–67 kg grain kg N−1 in SP rotation. This gain in efficiency occurred across >1,000 farms, with diverse soil types (soil C by agroecozone ranged from 0.7% to 1.8%) and variable climate (annual rainfall of 660–1,060 mm).""","Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
321,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199108","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","5","3","2","1000","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Malawi (countrywide)","Africa","LIC","-13.5","33.9","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Intercropping","Intercrop",1,0,0,"Row","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Pigeonpea","Maize","Pigeonpea",0,0,0,0,0,1,0,0,0,0,"Mucuna",NA,"20-0-0","Synthetic - below threshold","rainfed","0.85162322999999995","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.5,"NA","NA","0.51474530799999996","NA","NA","NA","NA",1,"NA","NA","0.53571429999999998","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices","nutritional benefits of legume diversification were particularly valued by female farmers and labor constraints were frequently noted by poorer households","Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
322,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199109","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","5","3","2","1000","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Malawi (countrywide)","Africa","LIC","-13.5","33.9","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Mucuna","Maize","Other",0,0,0,0,0,0,0,0,0,0,"Mucuna",NA,"35-0-0","Synthetic - below threshold","rainfed","0.96387699999999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.25,"NA","NA","1","NA","NA","NA","NA",1.7,"NA","NA","1.1785714","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices","nutritional benefits of legume diversification were particularly valued by female farmers and labor constraints were frequently noted by poorer households","Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
325,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199112","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","90","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Ekwendeni","Africa","LIC","-11.359399","33.884172999999997","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut + Pigeonpea","Maize","Multiple",0,0,1,0,0,1,0,0,0,0,"0",NA,"20-0-0","Synthetic - below threshold","rainfed","1.10245265","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","2.8502415459999999","NA","NA","NA","NA",1.5,"NA","NA","1.3584906000000001","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices",NA,"Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
326,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199113","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","90","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Ekwendeni","Africa","LIC","-11.359399","33.884172999999997","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Intercropping","Intercrop",1,0,0,"Row","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Pigeonpea","Maize","Pigeonpea",0,0,0,0,0,1,0,0,0,0,"0",NA,"20-0-0","Synthetic - below threshold","rainfed","1.0400496699999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.5,"NA","NA","1.618357488","NA","NA","NA","NA",1.25,"NA","NA","0.96226420000000001","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices",NA,"Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
327,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199114","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","90","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Ekwendeni","Africa","LIC","-11.359399","33.884172999999997","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"20-0-0","Synthetic - below threshold","rainfed","0.93169800000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","2.3236714979999999","NA","NA","NA","NA",1.3,"NA","NA","1","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices",NA,"Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
182,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Quantitative","Experiment (research station)","E/M","2022","1","11","6","5","3","1","1","3-4","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Food security,nutritional security, nutirtional security, need to find another legume because soybean has been affected by rust disease.","India","South Asia",2,"Main Agricultural Research Station, Dharwad, Karnataka","Asia","LMIC","15.463467","75.045457999999996","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,1,0,"NA","also studying impact of differen row spacing and plants density ratio)","Varied spacing/timing",NA,"Grain / Rice bean","Maize","Ricebean",0,0,0,0,0,0,0,0,0,0,"Rice bean (Vigna umbellate)","0","75-75-37.5","Synthetic - below threshold","rainfed","1.343625498007968","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.2412698412698413",0.987526454778716,"NA","NA","1.371451509312781","1.1488250652741514","NA","NA","1.6600000000000001",1.22736842105263,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","study revealed the possibility of
intercropping of non-conventional legumes namely
ricebean and frenchbean in 1:2 row proportions with
maize, while maize + frenchbean assured more
income due higher market price of frenchbean,
ricebean produced comparable maize equivalent
yield as that of recommended maize + soybean
system. However, protein yield was the highest with
the latter intercropping","Frenchbean as row intercrop in maize grown
in 1:2 row proportion in the Northern transitional
zone of Karnataka produced higher maize equivalent
yield (8068 kg ha-1) and assured more income (Rs.
29 054/- ha-1) while, intercropped ricebean was
comparable to maize + soybean in productivity.
Maize + soybean had higher protein output (851 kg
ha-1) than other systems.","NA","All the intercropping systems
assured better utilization of natural resources viz.,
land, light nutrients and water besides maintained
better available soil nitrogen status after crop harvest.","NA","NA","NA",NA,"Table 3_ yield, LER, BC ratio, protein yield, N uptake",NA,2,1,2,2,2,2,11
183,742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,"EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION","Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343.","Plot","Quantitative","Experiment (research station)","E/M","2022","1","11","9","2","3","1","1","3-4","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Not exclusively (also studying impact of differen row spacing and plants density ratio)","Food security,nutritional security, nutirtional security, need to find another legume because soybean has been affected by rust disease.","India","South Asia",2,"Main Agricultural Research Station, Dharwad, Karnataka","Asia","LMIC","15.463467","75.045457999999996","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping:maize-legume","Intercrop",1,1,0,"NA","also studying impact of differen row spacing and plants density ratio)","Varied spacing/timing",NA,"Grain / Common bean","Maize","Common bean",0,0,0,0,0,0,0,1,0,0,"0","0","75-75-37.5","Synthetic - below threshold","rainfed","1.6819389110225764","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.2317460317460318",0.985709737231472,"NA","NA","1.7503532434168272","1.2845953002610966","NA","NA","1.6950000000000001",1.26,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","study revealed the possibility of
intercropping of non-conventional legumes namely
ricebean and frenchbean in 1:2 row proportions with
maize, while maize + frenchbean assured more
income due higher market price of frenchbean,
ricebean produced comparable maize equivalent
yield as that of recommended maize + soybean
system. However, protein yield was the highest with
the latter intercropping","Frenchbean as row intercrop in maize grown
in 1:2 row proportion in the Northern transitional
zone of Karnataka produced higher maize equivalent
yield (8068 kg ha-1) and assured more income (Rs.
29 054/- ha-1) while, intercropped ricebean was
comparable to maize + soybean in productivity.
Maize + soybean had higher protein output (851 kg
ha-1) than other systems.","NA","All the intercropping systems
assured better utilization of natural resources viz.,
land, light nutrients and water besides maintained
better available soil nitrogen status after crop harvest.","NA","NA","NA",NA,"Table 3_ yield, LER, BC ratio, protein yield, N uptake",NA,2,1,2,2,2,2,11
