"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
346,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,"Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics","Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195","Plot","Quantitative","Experiment (on farm)","RC","1996-2005","10","3","2","1","3","1","5-10","3-4","Yes","Yes","Soil fertility decline, climate","Australia","High Income Countries",3,"St George, Queensland","Australia","HIC","-28.5","148.75","No","NA","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Rotation","Rotation",1,0,0,"Rotation","Zero tillage; Two levels of N application (0, 70)","Tillage practices","Fertilizer rates/type","Grain / Chickpea","Wheat","Chickpea",1,0,0,0,0,0,0,0,0,0,"0",NA,"4-8-0, 74-8-0","Synthetic - below threshold","rainfed",1.16259274,"NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1.1115090000000001","NA","NA","NA","2.3763285019999998","NA","NA","NA","1.1608008000000001",1.0374326,"NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Seasonal conditions; Reduction of disease by chickpeas: ""The increase in grain yield in wheat following chickpea, compared with continuous wheat, was apparently due to the combined effects of the chickpea phase in providing soil nitrogen benefit and in reducing the build-up of plant disease"";","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""; History of nutrification of soil: ""chickpea biomass and N2 fixation for a particular value of soil nitrate-N may decrease as rainfall decreases and potential evapotranspiration increases, which may explain the lower N2 fixation values in south-west Queensland to some extent. Peoples et al. (2001) concluded that N2 fixation by legumes in summer-dominant rainfall regions of eastern Australia was greatly influenced by large variations in %Ndfa caused by yearly fluctuations in growing season (April to October) rainfall and farmer practice which resulted in a build up of soil mineral-N prior to sowing. The net result was a lower average reliance of legumes on N2 fixation for growth and more variable relationships between N2 fixation and dry matter accumulation than in winter-dominant rainfall areas""","Grain prices favourable for crop choice","Drought: ""Due to drought, no winter crops were grown in 2000 and 2002 and crops sown in 2003 failed to produce grain""",NA,"Table 5",NA,2,2,2,2,2,2,12
203,418,"Nel A.A., Purchase J.L., Barnard A.",2003,"Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State","Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913","Field","Quantitative","Experiment (research station)","E/M","1992-2001","19","5","3","2","4","1",">10","3-4","Yes","Yes","Switch to monoculture practices","South Africa","Subsaharan Africa",1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State","Africa","UMIC","-28.164930641852902","28.309520903992901","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume (wheat)","Intercrop",1,0,0,"Rotation","Application of fertiliser and weeding + existing farmers practices","Fertilizer rates/type",NA,"Grain / Lupin","Wheat","Other",0,0,0,0,0,0,0,0,0,0,"Lupin","0","31-21-10 for wheat.","Synthetic - below threshold","rainfed",1.97969807391983,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0444444444444445","NA","NA","NA","NA","1.0512820512820513","NA","NA","NA",1.17796610169492,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""","Fluctuation of commodity prices.","NA","NA","Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.","Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)",NA,2,2,2,2,2,2,12
204,418,"Nel A.A., Purchase J.L., Barnard A.",2003,"Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State","Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913","Field","Quantitative","Experiment (research station)","E/M","1992-2001","19","5","3","2","4","1",">10","3-4","Yes","Yes","Switch to monoculture practices","South Africa","Subsaharan Africa",1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State","Africa","UMIC","-28.164930641852902","28.309520903992901","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume (wheat + maize)","Intercrop",1,0,0,"Rotation","Application of fertiliser and weeding + existing farmers practices","Fertilizer rates/type",NA,"Grain / Dry bean","Maize-wheat","Other",0,0,0,0,0,0,0,0,0,0,"Dry bean","0","31-21-10 for wheat and 65-8.4-4.5 for dry beans.","Synthetic - below threshold","rainfed",1.51863882443929,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.93888888888888888","NA","NA","NA","NA","0.89743589743589747","NA","NA","NA",1.17796610169492,"NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""","Fluctuation of commodity prices.","NA","NA","Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.","Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)",NA,2,2,2,2,2,2,12
205,418,"Nel A.A., Purchase J.L., Barnard A.",2003,"Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State","Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913","Field","Quantitative","Experiment (research station)","E/M","1992-2001","19","5","3","2","4","1",">10","3-4","Yes","Yes","Switch to monoculture practices","South Africa","Subsaharan Africa",1,"ARC-Small Grain Institute, Bethlehem, Eastern Free State","Africa","UMIC","-28.162877999999999","28.309211999999999","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume (maize)","Intercrop",1,0,0,"Rotation","Application of fertiliser and weeding + existing farmers practices","Fertilizer rates/type",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0","0","21-14-7 for maize and 18-13-6 for soyabeans (but only in 1999 for soyabeans, not fertiliser was used in the other years)","Synthetic - below threshold","rainfed",1.57284330985915,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0132450331125828","NA","NA","NA","NA","1.1086956521739131","NA","NA","NA",1.07228915662651,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Long-term view: ""Crop rotation as a measure against low profitability and risk should be seen as a long-term strategy and not as a measure against drought, disease or weeds for short term gain.""","Fluctuation of commodity prices.","NA","NA","Protein content was only measured in wheat, not in maize, so that aspect of well-being is not incorporated in this row.","Tables 1&4 (yield); Table 2 (Nutrient cycling); Table 3 (income) Table5 + p84 (Protein content)",NA,2,2,2,2,2,2,12
66,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09352","Plot","Quantitative","Experiment (research station)","E/M","1995-1998","4","9","6","3","3","1","2-4","3-4","Not exclusively","Not exclusively","Use of fertilizer, crop rotation (other than legumes)","Australia","High Income Countries",3,"Jambin","Oceania","HIC","-24.133333","150.33333300000001","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Rotation: Cereal- Legume","Rotation",0,0,1,"Rotation","the use of nitrogen fertilizer to several cropping strategies","Fertilizer rates/type",NA,"Grain / Chickpea","Wheat","Chickpea",1,0,0,0,0,0,0,0,0,0,"0",NA,"N as urea was applied at rates of 0, 50, 100 and 150 kg N/ha only to cereals; 10 kg P/ha","Synthetic - below threshold","rainfed",1.74489183388267,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.02289019224503,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","growing an opportunity pulse crop after cereals can
be a valuable strategy to supplement N supply in CQ cropping
systems.","NA","Simulation modelling indicated that growing pulses on
fallowed paddocks (with double-cropped cereals) may also be
a satisfactory strategy if pulse prices remained relatively high and
agronomic issues were very well controlled","the disease risk, pest risk and price
volatility of pulses may still dissuade farmers from utilising
fallowed paddocks for pulses when the (usually) high quantity
of stored soil water and N can be utilised for reliable returns from
less risky cereal crops",NA,"T6 Yield+protein, Text p 760: nutrient cycling",NA,2,2,2,2,2,2,12
67,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09353","Plot","Quantitative","Experiment (research station)","E/M","1995-1998","4","9","6","3","3","1","2-4","3-4","Not exclusively","Not exclusively","Use of fertilizer, crop rotation (other than legumes)","Australia","High Income Countries",3,"Jambin","Oceania","HIC","-24.133333","150.33333300000001","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Rotation: Cereal- Legume","Rotation",0,0,1,"Rotation","the use of nitrogen fertilizer to several cropping strategies","Fertilizer rates/type",NA,"Grain / Mungbean","Wheat","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"0-10-0","Synthetic - below threshold","rainfed",1.05383038203914,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.03508157521366,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","growing an opportunity pulse crop after cereals can
be a valuable strategy to supplement N supply in CQ cropping
systems.","NA","Simulation modelling indicated that growing pulses on
fallowed paddocks (with double-cropped cereals) may also be
a satisfactory strategy if pulse prices remained relatively high and
agronomic issues were very well controlled","the disease risk, pest risk and price
volatility of pulses may still dissuade farmers from utilising
fallowed paddocks for pulses when the (usually) high quantity
of stored soil water and N can be utilised for reliable returns from
less risky cereal crops",NA,"T6 Yield+protein, Text p 760: nutrient cycling",NA,2,2,2,2,2,2,12
68,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09354","Plot","Quantitative","Experiment (research station)","E/M","1995-1998","4","9","6","3","3","1","2-4","3-4","Not exclusively","Not exclusively","Use of fertilizer, crop rotation (other than legumes)","Australia","High Income Countries",3,"Jambin","Oceania","HIC","-24.133333","150.33333300000001","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Rotation: Cereal- Legume","Rotation",0,0,1,"Rotation","the use of nitrogen fertilizer to several cropping strategies","Fertilizer rates/type",NA,"Grain / Mungbean","Sorghum","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"N as urea was applied at rates of 0, 50, 100 and 150 kg N/ha only to cereals; 10 kg P/ha","Synthetic - below threshold","rainfed",1.20116220235814,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.30998168498168,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","growing an opportunity pulse crop after cereals can
be a valuable strategy to supplement N supply in CQ cropping
systems.","NA","Simulation modelling indicated that growing pulses on
fallowed paddocks (with double-cropped cereals) may also be
a satisfactory strategy if pulse prices remained relatively high and
agronomic issues were very well controlled","the disease risk, pest risk and price
volatility of pulses may still dissuade farmers from utilising
fallowed paddocks for pulses when the (usually) high quantity
of stored soil water and N can be utilised for reliable returns from
less risky cereal crops",NA,"T6 Yield+protein, Text p 760: nutrient cycling",NA,2,2,2,2,2,2,12
69,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,"Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland","Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09355","Plot","Quantitative","Experiment (research station)","E/M","1995-1998","4","9","6","3","3","1","2-4","3-4","Not exclusively","Not exclusively","Use of fertilizer, crop rotation (other than legumes)","Australia","High Income Countries",3,"Jambin","Oceania","HIC","-24.133333","150.33333300000001","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Rotation: Cereal- Legume","Rotation",0,0,1,"Rotation","the use of nitrogen fertilizer to several cropping strategies","Fertilizer rates/type",NA,"Grain / Chickpea","Sorghum","Chickpea",1,0,0,0,0,0,0,0,0,0,"0",NA,"0-10-0","Synthetic - below threshold","rainfed",1.20510648410788,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.27838827838828,"NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","growing an opportunity pulse crop after cereals can
be a valuable strategy to supplement N supply in CQ cropping
systems.","NA","Simulation modelling indicated that growing pulses on
fallowed paddocks (with double-cropped cereals) may also be
a satisfactory strategy if pulse prices remained relatively high and
agronomic issues were very well controlled","the disease risk, pest risk and price
volatility of pulses may still dissuade farmers from utilising
fallowed paddocks for pulses when the (usually) high quantity
of stored soil water and N can be utilised for reliable returns from
less risky cereal crops",NA,"T6 Yield+protein, Text p 760: nutrient cycling",NA,2,2,2,2,2,2,12
323,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199110","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","50","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Songani","Africa","LIC","-15.306300999999999","35.429676999999998","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,1,0,0,0,0,"0","Tephrosia","20-0-0","Synthetic - below threshold","rainfed",0.89379653,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.4444444000000001","2.0243902","NA","NA","1.8211143700000001","NA","NA","NA","NA",1.55,"NA","NA","1.3333333000000001","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices","nutritional benefits of legume diversification were particularly valued by female farmers and labor constraints were frequently noted by poorer households","Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
324,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199111","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","50","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Songani","Africa","LIC","-15.306300999999999","35.429676999999998","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Intercropping","Intercrop",1,0,0,"Row","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Pigeonpea","Maize","Pigeonpea",0,0,0,0,0,1,0,0,0,0,"0","Tephrosia","20-0-0","Synthetic - below threshold","rainfed",0.84019851,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.0555555999999999","2.0975609999999998","NA","NA","0.94428152499999995","NA","NA","NA","NA",1,"NA","NA","1.0555555999999999","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices",NA,"Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
