"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
24,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.29310345,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1666667,NA,NA,NA,1.1538462,"Energy flows",1.668202555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
25,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",2,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1949405,NA,NA,NA,1.2307692,"Energy flows",3.031706204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
26,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.18215613,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,1.1864407,"Energy flows",1.322730924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
27,50,"Baishya L.K., Ansari M.A., Sarkar D., Ghosh M., Kumar S., Prakash N.",2016,"Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region","Baishya, L. K., Ansari, M. A., Sarkar, D., Ghosh, M., Kumar, S., & Prakash, N. (2016). Productivity enhancement in shifting cultivated lands through biofertilizer and micro-dosing of NPK in Eastern HiMalayan Region. Research on Crops, 17(2), 268-275. doi:10.5958/2348-7542.2016.00046.2","Farm","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.79182156,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3339286,NA,NA,NA,1.2711864,"Energy flows",2.283148594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
29,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4190","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.23943662,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33329848405646,NA,NA,NA,1.31818181818182,"Carbon",1.24600466995708,1.03625377643505,0.802879060954758,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
30,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4191","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.13380281690141,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5310245687402,NA,NA,NA,1.44155844155844,"Carbon",1.147166566463,1.06948640483384,0.924187809048477,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
31,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4192","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.1056338028169,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66662310507057,NA,NA,NA,1.5,"Carbon",1.11387564491548,1.05891238670695,0.941517630204723,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",1.8949825,"Equivalent yield",NA,NA,NA,NA,NA,NA,NA,NA,1.0123273,NA,NA,1,1.0825838,NA,NA,NA,1.0790123,"Carbon",1.802556818,NA,NA,NA,NA,NA,NA,NA,NA,1.4726776,NA,NA,"Mix-Win"
40,778,"Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., Pageau, D., Semagn, K., & Wang, Z. (2018, Dec).",2018,"Rotational Diversity Effects in a Triticale-based Cropping System","Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., . . . Wang, Z. (2018). Rotational Diversity Effects in a Triticale-based Cropping System. Cereal Research Communications, 46(4), 717-728. doi:10.1556/0806.46.2018.051","Plot","Experiment (research station)","Canada","North America","HIC","Unknown","irrigation",1.03478260869565,"Non-legume yield only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04663212435233,1.07838745800672,1.43779518072289,NA,1.07920792079208,"Carbon",1.14193548387097,NA,NA,NA,NA,1.03039832285115,NA,NA,NA,NA,NA,NA,"Win-Win"
53,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",1.41898527,"Equivalent yield",NA,NA,NA,NA,NA,1.307392996,NA,NA,NA,NA,NA,NA,1.0637037,NA,NA,NA,1.0892857,"Carbon",1.287423155,NA,NA,NA,1.037741,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
54,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",1.08919804,"Equivalent yield",NA,NA,NA,NA,NA,0.953307393,NA,NA,NA,NA,NA,NA,1.0977778,NA,NA,NA,1.0663265,"Carbon",1.063626177,NA,NA,NA,1.2830579,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
71,128,"Das R., Dhara P.K., Mandal A.R., Ray S.K.D.",2014,"Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks","Das, R., Dhara, P. K., Mandal, A. R., & Ray, S. K. D. (2014). Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks. Ecology, Environment and Conservation, 20, S7-S13.","Plot","Experiment (on farm)","India","Asia","LMIC","No synthetic","rainfed",2.2755102,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8404255,1.7857143,NA,NA,7.0028011,"Carbon",4.321428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
72,128,"Das R., Dhara P.K., Mandal A.R., Ray S.K.D.",2014,"Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks","Das, R., Dhara, P. K., Mandal, A. R., & Ray, S. K. D. (2014). Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks. Ecology, Environment and Conservation, 20, S7-S13.","Plot","Experiment (on farm)","India","Asia","LMIC","No synthetic","rainfed",2.63265306,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5744681,1.4285714,NA,NA,5.6022409,"Carbon",5.227678571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
