"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
17,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",0.9585,"Cumulative grain yield",NA,NA,NA,NA,NA,1.229889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
18,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",1.289,"Cumulative grain yield",NA,NA,NA,NA,NA,0.877379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
19,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",0.866,"Cumulative grain yield",NA,NA,NA,NA,NA,1.286173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
20,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",1.156,"Cumulative grain yield",NA,NA,NA,NA,NA,0.948491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
33,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.07337151037938,"Equivalent yield",NA,NA,NA,NA,NA,1.08805031446541,NA,NA,0.935691318327974,NA,NA,NA,1.05096831877647,NA,NA,NA,NA,NA,0.85055145859166,0.948387096774194,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
34,779,"Bastia, D. K., Behera, S. K., & Panda, M. R. (2021, Dec).",2021,"Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India","Bastia, D. K., Behera, S. K., & Panda, M. R. (2021). Impacts of soil fertility management on productivity and economics of rice and fodder intercropping systems under rainfed conditions in Odisha, India. Journal of Integrative Agriculture, 20(12), 3114-3126. doi:10.1016/s2095-3119(20)63591-2","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.05941302791696,"Equivalent yield",NA,NA,NA,NA,NA,1.06918238993711,NA,NA,0.919614147909968,NA,NA,NA,1.03488924704341,NA,NA,NA,NA,NA,0.806043203028128,0.935483870967742,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
53,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",1.41898527,"Equivalent yield",NA,NA,NA,NA,NA,1.307392996,NA,NA,NA,NA,NA,NA,1.0637037,NA,NA,NA,1.0892857,"Carbon",1.287423155,NA,NA,NA,1.037741,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
54,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",1.08919804,"Equivalent yield",NA,NA,NA,NA,NA,0.953307393,NA,NA,NA,NA,NA,NA,1.0977778,NA,NA,NA,1.0663265,"Carbon",1.063626177,NA,NA,NA,1.2830579,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
57,104,"Choudhary R., Singh P., Sidhu H.S., Nandal D.P., Jat H.S., Yadvinder-Singh, Jat M.L.",2016,"Evaluation of tillage and crop establishment methods integrated with relay seeding of wheat and mungbean for sustainable intensification of cotton-wheat system in South Asia","Choudhary, R., Singh, P., Sidhu, H. S., Nandal, D. P., Jat, H. S., Yadvinder, S., & Jat, M. L. (2016). Evaluation of tillage and crop establishment methods integrated with relay seeding of wheat and mungbean for sustainable intensification of cotton-wheat system in South Asia. Field Crops Research, 199, 31-41. doi:10.1016/j.fcr.2016.08.011","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",1.32561294,"Equivalent yield",NA,NA,0.94864,NA,NA,1.216219276,NA,NA,1.2493295,NA,NA,NA,NA,1.0075416,NA,NA,NA,NA,1.315287836,NA,1.13692217462566,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
58,105,"Choudhary V.K., Kumar P.S.",2016,"Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India","Choudhary, V. K., & Kumar, P. S. (2016). Productivity, Water Use and Energy Profitability of Staggered Maize–Legume Intercropping in the Eastern Himalayan Region of India. Proceedings of the National Academy of Sciences India Section B - Biological Sciences, 86(3), 547-557. doi:10.1007/s40011-014-0476-7","Plot","Experiment (research station)","India","Asia","LMIC","Unknown","rainfed",1.29221689,"Equivalent yield",NA,NA,NA,NA,NA,0.9878,NA,NA,2.8235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4048,NA,NA,NA,1.2742616,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
