"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
29,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4190","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.23943662,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33329848405646,NA,NA,NA,1.31818181818182,"Carbon",1.24600466995708,1.03625377643505,0.802879060954758,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
30,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4191","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.13380281690141,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5310245687402,NA,NA,NA,1.44155844155844,"Carbon",1.147166566463,1.06948640483384,0.924187809048477,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
31,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4192","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.1056338028169,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66662310507057,NA,NA,NA,1.5,"Carbon",1.11387564491548,1.05891238670695,0.941517630204723,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
57,104,"Choudhary R., Singh P., Sidhu H.S., Nandal D.P., Jat H.S., Yadvinder-Singh, Jat M.L.",2016,"Evaluation of tillage and crop establishment methods integrated with relay seeding of wheat and mungbean for sustainable intensification of cotton-wheat system in South Asia","Choudhary, R., Singh, P., Sidhu, H. S., Nandal, D. P., Jat, H. S., Yadvinder, S., & Jat, M. L. (2016). Evaluation of tillage and crop establishment methods integrated with relay seeding of wheat and mungbean for sustainable intensification of cotton-wheat system in South Asia. Field Crops Research, 199, 31-41. doi:10.1016/j.fcr.2016.08.011","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",1.32561294,"Equivalent_cumulative_yield",NA,NA,0.94864,NA,NA,1.216219276,NA,NA,1.2493295,NA,NA,NA,NA,1.0075416,NA,NA,NA,NA,1.315287836,NA,1.13692217462566,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
96,198,"Gitari H.I., Nyawade S.O., Kamau S., Karanja N.N., Gachene C.K.K., Raza M.A., Maitra S., Schulte-Geldermann E.",2020,"Revisiting intercropping indices with respect to potato-legume intercropping systems","Gitari, H. I., Nyawade, S. O., Kamau, S., Karanja, N. N., Gachene, C. K. K., Raza, M. A., . . . Schulte-Geldermann, E. (2020). Revisiting intercropping indices with respect to potato-legume intercropping systems. Field Crops Research, 258. doi:10.1016/j.fcr.2020.107957","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.03238,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04065,NA,1,NA,1.28,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
97,198,"Gitari H.I., Nyawade S.O., Kamau S., Karanja N.N., Gachene C.K.K., Raza M.A., Maitra S., Schulte-Geldermann E.",2020,"Revisiting intercropping indices with respect to potato-legume intercropping systems","Gitari, H. I., Nyawade, S. O., Kamau, S., Karanja, N. N., Gachene, C. K. K., Raza, M. A., . . . Schulte-Geldermann, E. (2020). Revisiting intercropping indices with respect to potato-legume intercropping systems. Field Crops Research, 258. doi:10.1016/j.fcr.2020.107957","Plot","Experiment (research station)","Kenya","Africa","LMIC","Synthetic - below threshold","rainfed",1.00097,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997,NA,1,NA,1.255,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
180,388,"Mishra M.M., Mohanty M., Gulati J.M.L., Nanda S.S.",2013,"Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India","Mishra, M. M., Mohanty, M., Gulati, J. M. L., & Nanda, S. S. (2013). Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India. Indian Journal of Agricultural Sciences, 83(12), 1279-1284.","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.23242042931162,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02738712065137,NA,NA,NA,NA,NA,1.21838099302888,NA,0.839977445728785,NA,1.25003802281369,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
181,388,"Mishra M.M., Mohanty M., Gulati J.M.L., Nanda S.S.",2013,"Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India","Mishra, M. M., Mohanty, M., Gulati, J. M. L., & Nanda, S. S. (2013). Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India. Indian Journal of Agricultural Sciences, 83(12), 1279-1284.","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.14285714285714,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914137675795707,NA,NA,NA,NA,NA,1.01308863280694,NA,0.792951790245278,NA,1.2,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
248,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.103","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.2224551,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.114537,NA,NA,NA,NA,NA,NA,NA,NA,1.045675,1.34244222361024,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
249,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.104","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.1655689,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502643,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3649153028998,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
