"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
1,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1.15,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
2,1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1.01,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
11,14,"Akhtar M., Yaqub M., Iqbal Z., Ashraf M.Y., Akhter J., Hussain F.",2010,"Improvement in yield and nutrient uptake by cocropping of wheat and chickpea","Akhtar, M., Yaqub, M., Iqbal, Z., Ashraf, M. Y., Akhter, J., & Hussain, F. (2010). Improvement in yield and nutrient uptake by cocropping of wheat and chickpea. Pakistan Journal of Botany, 42(6), 4043-4049.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","No synthetic","rainfed",1.258,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.833,NA,NA,NA,NA,NA,1.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
13,18,"Alam M.M., Ladha J.K., Faisal M.W., Sharma S., Saha A., Noor S., Rahman M.A.",2015,"Improvement of cereal-based cropping systems following the principles of conservation agriculture under changing agricultural scenarios in Bangladesh","Alam, M. M., Ladha, J. K., Faisal, M. W., Sharma, S., Saha, A., Noor, S., & Rahman, M. A. (2015). Improvement of cereal-based cropping systems following the principles of conservation agriculture under changing agricultural scenarios in Bangladesh. Field Crops Research, 175, 1-15. doi:10.1016/j.fcr.2014.12.015","Plot","Experiment (research station)","Bangladesh","Asia","LMIC","Synthetic - below threshold","irrigation",1.8117647,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
14,19,"Alemayehu A., Tamado T., Nigussie D., Yigzaw D., Kinde T., Wortmann C.S.",2017,"Maize-common bean intercropping to optimize maize-based crop production","Alemayehu, A., Tamado, T., Nigussie, D., Yigzaw, D., Kinde, T., & Wortmann, C. S. (2017). Maize-common bean intercropping to optimize maize-based crop production. Journal of Agricultural Science, 155(7), 1124-1136. doi:10.1017/S0021859617000193","Plot","Experiment (research station)","Ethiopia","Africa","LIC","Synthetic - below threshold","rainfed",1.06018519,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0173611,0.9625,NA,NA,NA,NA,1.06,NA,NA,NA,1.1875,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
15,784,"Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015, Mar).  [Article]. Indian Journal of Agricultural Sciences, 85(3), 100-104. <Go to ISI>://WOS:000351480400015",2015,"Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India","Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015). Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India. Indian Journal of Agricultural Sciences, 85(3), 100-104.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",0.633879018734707,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05238095238095,1.0832325675131,NA,NA,NA,NA,NA,0.740289678416049,1.04095281413723,NA,NA,1.03166666666667,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
17,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",0.9585,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,1.229889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
18,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",1.289,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,0.877379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
19,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","irrigation",0.866,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,1.286173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
20,39,"Arunrat N., Wang C., Pumijumnong N.",2016,"Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand","Arunrat, N., Wang, C., & Pumijumnong, N. (2016). Alternative cropping systems for greenhouse gases mitigation in rice field: a case study in Phichit province of Thailand. Journal of Cleaner Production, 133, 657-671. doi:10.1016/j.jclepro.2016.05.137","Household","Recall","Thailand","Asia","UMIC","Synthetic - below threshold","rainfed",1.156,"Equivalent_cumulative_yield",NA,NA,NA,NA,NA,0.948491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Win"
