"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
3,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",1.049671,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02701784,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
4,2,"Abu-Bakar M., Ahmad R., Ehsanullah, Zahir Z.A.",2014,"Comparison of barley-based intercropping system for productivity and net economic return","Abu-Bakar, M., Ahmad, R., Ehsanullah, & Zahir, Z. A. (2014). Comparison of barley-based intercropping system for productivity and net economic return. International Journal of Agriculture and Biology, 16(6), 1183-1188.","Plot","Experiment (research station)","Pakistan","Asia","LMIC","Synthetic - below threshold","irrigation",1.10952641,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33868449,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
7,9,"Adjei-Nsiah S., Kuyper T.W., Leeuwis C., Abekoe M.K., Giller K.E.",2007,"Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana","Adjei-Nsiah, S., Kuyper, T. W., Leeuwis, C., Abekoe, M. K., & Giller, K. E. (2007). Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana. Field Crops Research, 103(2), 87-97. doi:10.1016/j.fcr.2007.05.001","Community","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1.42,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,1.5882353,2.1684988,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
40,778,"Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., Pageau, D., Semagn, K., & Wang, Z. (2018, Dec).",2018,"Rotational Diversity Effects in a Triticale-based Cropping System","Beres, B. L., Lupwayi, N. Z., Larney, F. J., Ellert, B., Smith, E. G., Turkington, T. K., . . . Wang, Z. (2018). Rotational Diversity Effects in a Triticale-based Cropping System. Cereal Research Communications, 46(4), 717-728. doi:10.1556/0806.46.2018.051","Plot","Experiment (research station)","Canada","North America","HIC","Unknown","irrigation",1.03478260869565,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04663212435233,1.07838745800672,1.43779518072289,NA,1.07920792079208,"Carbon",1.14193548387097,NA,NA,NA,NA,1.03039832285115,NA,NA,NA,NA,NA,NA,"Win-Win"
65,772,"Christiansen, S., Ryan, J., Singh, M., Ates, S., Bahhady, F., Mohamed, K., Youssef, O., & Loss, S. (2015).",2015,"Potential legume alternatives to fallow and wheat monoculture for Mediterranean environments","Christiansen, S., Ryan, J., Singh, M., Ates, S., Bahhady, F., Mohamed, K., . . . Loss, S. (2015). Potential legume alternatives to fallow and wheat monoculture for Mediterranean environments. Crop & Pasture Science, 66(2), 113-121. doi:10.1071/cp14063","Plot","Experiment (research station)","Syria","Asia","LIC","No synthetic","rainfed",2.03132120891309,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,1.37260273972603,NA,NA,NA,NA,1.55415231926177,NA,NA,NA,NA,3.38276553106212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
88,185,"Fung K.M., Tai A.P.K., Yong T., Liu X., Lam H.-M.",2019,"Co-benefits of intercropping as a sustainable farming method for safeguarding both food security and air quality","Fung, K. M., Tai, A. P. K., Yong, T., Liu, X., & Lam, H. M. (2019). Co-benefits of intercropping as a sustainable farming method for safeguarding both food security and air quality. Environmental Research Letters, 14(4). doi:10.1088/1748-9326/aafc8b","Province","Simulation model","China","Asia","UMIC","Synthetic - above threshold","irrigation",3.22,"Non_legume_yield_only",NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
103,214,"Guvenc I., Yildirim E.",2006,"Increasing productivity with intercropping systems in cabbage production","Guvenc, I., & Yildirim, E. (2006). Increasing productivity with intercropping systems in cabbage production. Journal of Sustainable Agriculture, 28(4), 29-44. doi:10.1300/J064v28n04_04","Plot","Experiment (research station)","Turkey","Europe","UMIC","Synthetic - below threshold","irrigation",1.19721386,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.009617,1.0102098,NA,NA,NA,NA,1.143614734,NA,NA,NA,1.2733333,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
104,766,"Guvenc, I., & Yildirim, E. (2005, Dec).",2005,"Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions","Guvenc, I., & Yildirim, E. (2005). Intercropping with eggplant for proper utilisation of interspace under greenhouse conditions. European Journal of Horticultural Science, 70(6), 300-302.","Plot","Experiment (research station)","Turkey","Asia","UMIC","Synthetic - below threshold","irrigation",0.936472315553104,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1580648610115,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,"Lose-Win"
128,268,"Kaizzi K.C., Byalebeka J., Wortmann C.S., Mamo M.",2007,"Low input approaches for soil fertility management in semiarid eastern Uganda","Kaizzi, K. C., Byalebeka, J., Wortmann, C. S., & Mamo, M. (2007). Low input approaches for soil fertility management in semiarid eastern Uganda. Agronomy Journal, 99(3), 847-853. doi:10.2134/agronj2006.0238","Farm","Experiment (on farm)","Uganda","Africa","LIC","No synthetic","rainfed",1.79945388349515,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43327092805563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
129,268,"Kaizzi K.C., Byalebeka J., Wortmann C.S., Mamo M.",2007,"Low input approaches for soil fertility management in semiarid eastern Uganda","Kaizzi, K. C., Byalebeka, J., Wortmann, C. S., & Mamo, M. (2007). Low input approaches for soil fertility management in semiarid eastern Uganda. Agronomy Journal, 99(3), 847-853. doi:10.2134/agronj2006.0238","Farm","Experiment (on farm)","Uganda","Africa","LIC","No synthetic","rainfed",1.46860972760253,"Non_legume_yield_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43327092805563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
