"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
155,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00094","Plot","Quantitative","Experiment (on farm)","E/M","2011-2013","2","6","5","1","4","1","2-4","3-4","Yes","Yes","Drought, soil degradation","South Africa","Subsaharan Africa",1,"Mpumalanga Province","Africa","UMIC","-25.440277999999999","30.982500000000002","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Different fertiliser regimes + existing farmers practices","Fertilizer rates/type","best management practices","Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0","[Bambara groundnut]","0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.4878571428571428",1.28,"NA","NA",3.22,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","resource-poor farmers","NA","Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",NA,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",NA,2,2,2,2,2,2,12
156,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00095","Plot","Quantitative","Experiment (on farm)","E/M","2011-2013","2","6","5","1","4","1","2-4","3-4","Yes","Yes","Drought, soil degradation","South Africa","Subsaharan Africa",1,"Mpumalanga Province","Africa","UMIC","-25.440277999999999","30.982500000000002","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Different fertiliser regimes + existing farmers practices","Fertilizer rates/type","best management practices","Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0","[Groundnut]","0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3334285714285714",1.31,"NA","NA",3.25,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","resource-poor farmers","NA","Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",NA,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",NA,2,2,2,2,2,2,12
157,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00096","Plot","Quantitative","Experiment (on farm)","E/M","2011-2013","2","6","5","1","4","1","2-4","3-4","Yes","Yes","Drought, soil degradation","South Africa","Subsaharan Africa",1,"Mpumalanga Province","Africa","UMIC","-25.440277999999999","30.982500000000002","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Different fertiliser regimes + existing farmers practices","Fertilizer rates/type","best management practices","Grain / Black gram","Maize","Mungbean/Black gram",0,0,0,0,0,0,0,0,0,0,"Black gram","[Black gram]","0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1751714285714285",1.15,"NA","NA",2.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","resource-poor farmers","NA","Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",NA,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",NA,2,2,2,2,2,2,12
158,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00097","Plot","Quantitative","Experiment (on farm)","E/M","2011-2013","2","6","5","1","4","1","2-4","3-4","Yes","Yes","Drought, soil degradation","South Africa","Subsaharan Africa",1,"Mpumalanga Province","Africa","UMIC","-25.440277999999999","30.982500000000002","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Different fertiliser regimes + existing farmers practices","Fertilizer rates/type","best management practices","Grain / Mungbean","Maize","Mungbean",0,0,0,0,1,0,0,0,0,0,"0","[Green gram]","0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3255714285714286",1.16,"NA","NA",2.54,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","resource-poor farmers","NA","Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: ""consistent increase in grain yield with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop to produce economic yields""",NA,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",NA,2,2,2,2,2,2,12
159,329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,"Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop","Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00098","Plot","Quantitative","Experiment (on farm)","E/M","2011-2013","2","6","5","1","4","1","2-4","3-4","Yes","Yes","Drought, soil degradation","South Africa","Subsaharan Africa",1,"Mpumalanga Province","Africa","UMIC","-25.440277999999999","30.982500000000002","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Different fertiliser regimes + existing farmers practices","Fertilizer rates/type","best management practices","Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"0-0-0, also N0, N20, N40, and N60 (assessed for 0-0-0)","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0652857142857144",1.23,"NA","NA",2.54,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","resource-poor farmers","NA","Choice of crop varieties: ""likely due to the C/N ratios of the test legume species""; Small doses of nitrogen: ""Increase in grain yield caused by exogenous N supply""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""","Soil quality: increase in productivity ""with increasing supplemental N suggests that N from the preceding legumes’ residues was alone inadequate at meeting the N demand of the following maize crop""",NA,NA,"Fig 1: yields, biomass; Fig 3: Nutrient change Fig 5 cost benefits",NA,2,2,2,2,2,2,12
105,217,"Halpin N.V., Wang W., Rehbein W.E., Reeves S.H.",2015,"Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district","Halpin, N. V., Wang, W., Rehbein, W. E., & Reeves, S. H. (2015). Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district. 37th Annual Conference of the Australian Society of Sugar Cane Technologists, ASSCT 2015, 23-32.","Plot","Quantitative","Experiment (research station)","RC","2013-2014","1","6","4","2","4","1","1","3-4","Yes","No","Climate change and global warming","Australia","High Income Countries",3,"Bundaberg","Australia","HIC","-24.856815000000001","152.35281800000001","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Fertiliser + insecticide + herbicide; 4 alternative management practices (tilled, not tilled, residue sprayed with nitrification inhibitor (DMPP) prior to tillage or had a triticale ‘catch crop’ sown between the soybean and sugarcane crops)","Conservation ag (residue + tillage)",NA,"Non-Grain / Soybean","Sugarcane","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"13-27-60","Synthetic - below threshold","irrigation","1.1134529147982062","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1.0121389059618933",1,"NA","NA",1.21527373325568,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","Yes: sugar yield not increased by legumes, but increased profit: ""the soybean rotation didn’t significantly
 improve productivity of the subsequent cane crop compared to the bare fallow, it has to be kept inmind that the soybean crop produced a gross margin of $1015/ha (data not shown) thus increasing farm profitability""","NA","NA","Reduced tillage management techniques","Fertiliser addition (increases nitrous oxide GHG emissions)","NA","NA","""Legume break crops are a strategic component to reduce the impact of yield decline which is
 defined as the loss in the productive capacity of soils under long-term monoculture""","Table 5 & 2 = yield",NA,2,1,2,1,2,2,10
270,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,"Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands","Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107576","Plot","Quantitative","Experiment (research station)","E/M","2015-2019","4","4","3","1","4","1","2-4","3-4","Yes","Yes","Increasing plant diversity has become one of the main ways to improve agroecosystem productivity
and sustainability. Plant diversity can enhance different ecosystem services including primary production, nutrient cycling, and pest, disease, and weed control. Gaba et al. (2020) showed that multifunctionality was
enhanced by increasing weed diversity thanks to a positive impact on pollination, pest control and soil fertility, and a neutral effect on productivity. The advantages of crop rotation are that it interrupts pest,
disease, and weed cycles, enables better exploration of soil resources in space and over time and favours soil biological activity. Intercropping with legumes supports pest control and weed control., enrich soil and enhance ecosystem functions.---plant diversification is
often a way to for smallholders to compensate for their lack of access to
external inputs, to be more resilient, and to increase their income.","Madagascar","Subsaharan Africa",1,"Ivory Station","Africa","LIC","-19.555250000000001","46.414952999999997","Yes (indirectly)","""Increasing plant diversity affects different ecological functions in
the agroecosystem, enabling the intensification of ecological processes,
which can replace external inputs such as fertilisers or pesticides (Isbell
et al., 2017; Kremen et al., 2012; Tamburini et al., 2020).""","Experiment (research station)","Researcher-led","Researcher-led","Rotation (Rice after Legume)","Rotation",0,0,1,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Rice","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"No mineral fertiliser applied, only manure was applied","No synthetic","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","1.9795918367346939","NA","NA","NA","1.3333333333333333",1.41176470588235,"1","NA",1.06289308176101,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","soil cover provided by the crop before rice and soil
fertility seemed to be the main factors responsible for the different degrees of weed control provided by the different rotations. Indeed,
groundnut was the crop with the lowest soil cover and biomass production, resulting in higher weed infestation in the rice (Table 4) and
groundnut crop cycle (data not shown), whereas the opposite trend was
observed in the RVC rotation (i.e., high soil cover and biomass production, leading to low weed infestation during the mixed crop and rice cycle).----The positive impact of rotation on plant-feeders nematodes could be
mainly linked to two factors: (i) the host/non-host status of the crops
grown in the rotation (Inomoto and Asmus, 2010), and (ii) the potential
allelopathic effect of legume species on plant-feeders nematodes (Farooq et al., 2011; Wang et al., 2002).----The complementarity between velvet bean and crotalaria
in terms of plant habit, expected to produce more biomass and especially green manure, was effective given the amount of N returned by residues in the RVC (rice - velvet bean + crotalaria) rotation, which was five to nine times higher than in the other rotations or rice monocropping.","NA","The highest
profitability was observed in the case of rotation with no cash crops as in
RVC, due to the combination of (i) higher rice yields, (ii) lower weeding
costs, and (iii) lower manure costs because the rotation crops were not
fertilised. RG also scored well on profitability due to (i) a higher market
price than for rice and (ii) a high average rice yield, which led to a higher
profit.","NA","There was no control of Rice + sorghum, Only sole rice-------------Even in short-term rotations, ecosystem functions,
yield, and profitability can be enhanced by plant diversification.
Nevertheless, different crops or crop mixtures should be included in
rotations with rice to avoid possible the drawbacks of short rotations
(Bennett et al., 2012).","Fig2_average biomass & N content, Table7_gross margin, Table4_weed biomass, Fi3_nematofauna",NA,2,2,2,1,2,2,11
271,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,"Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands","Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107577","Plot","Quantitative","Experiment (research station)","E/M","2015-2019","4","4","3","1","4","1","2-4","3-4","Yes","Yes","Increasing plant diversity has become one of the main ways to improve agroecosystem productivity
and sustainability. Plant diversity can enhance different ecosystem services including primary production, nutrient cycling, and pest, disease, and weed control. Gaba et al. (2020) showed that multifunctionality was
enhanced by increasing weed diversity thanks to a positive impact on pollination, pest control and soil fertility, and a neutral effect on productivity. The advantages of crop rotation are that it interrupts pest,
disease, and weed cycles, enables better exploration of soil resources in space and over time and favours soil biological activity. Intercropping with legumes supports pest control and weed control., enrich soil and enhance ecosystem functions.---plant diversification is
often a way to for smallholders to compensate for their lack of access to
external inputs, to be more resilient, and to increase their income.","Madagascar","Subsaharan Africa",1,"Ivory Station","Africa","LIC","-19.555250000000001","46.414952999999997","Yes (indirectly)","""Increasing plant diversity affects different ecological functions in
the agroecosystem, enabling the intensification of ecological processes,
which can replace external inputs such as fertilisers or pesticides (Isbell
et al., 2017; Kremen et al., 2012; Tamburini et al., 2020).""","Experiment (research station)","Researcher-led","Researcher-led","Rotation + intercroppping (Rice after sorghum legume intercropping)","Intercrop-Rotation",1,0,1,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Cowpea","Rice +Sorghum","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","Sorghum","No mineral fertiliser applied, only manure was applied","No synthetic","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","1.7959183673469388","NA","NA","NA","1.3846153846153846",1.40196078431373,"1","NA",0.886792452830189,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mix-Lose","NA","NA","NA","NA","NA","NA","NA","NA","NA","soil cover provided by the crop before rice and soil
fertility seemed to be the main factors responsible for the different degrees of weed control provided by the different rotations. Indeed,
groundnut was the crop with the lowest soil cover and biomass production, resulting in higher weed infestation in the rice (Table 4) and
groundnut crop cycle (data not shown), whereas the opposite trend was
observed in the RVC rotation (i.e., high soil cover and biomass production, leading to low weed infestation during the mixed crop and rice cycle).----The positive impact of rotation on plant-feeders nematodes could be
mainly linked to two factors: (i) the host/non-host status of the crops
grown in the rotation (Inomoto and Asmus, 2010), and (ii) the potential
allelopathic effect of legume species on plant-feeders nematodes (Farooq et al., 2011; Wang et al., 2002).----The complementarity between velvet bean and crotalaria
in terms of plant habit, expected to produce more biomass and especially green manure, was effective given the amount of N returned by residues in the RVC (rice - velvet bean + crotalaria) rotation, which was five to nine times higher than in the other rotations or rice monocropping.","NA","The highest
profitability was observed in the case of rotation with no cash crops as in
RVC, due to the combination of (i) higher rice yields, (ii) lower weeding
costs, and (iii) lower manure costs because the rotation crops were not
fertilised. RG also scored well on profitability due to (i) a higher market
price than for rice and (ii) a high average rice yield, which led to a higher
profit.","NA","There was no control of Rice + sorghum, Only sole rice-------------Even in short-term rotations, ecosystem functions,
yield, and profitability can be enhanced by plant diversification.
Nevertheless, different crops or crop mixtures should be included in
rotations with rice to avoid possible the drawbacks of short rotations
(Bennett et al., 2012).","Fig2_average biomass & N content, Table7_gross margin, Table4_weed biomass, Fi3_nematofauna",NA,2,2,2,1,2,2,11
272,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,"Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands","Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107578","Plot","Quantitative","Experiment (research station)","E/M","2015-2019","4","4","3","1","4","1","2-4","3-4","Yes","Yes","Increasing plant diversity has become one of the main ways to improve agroecosystem productivity
and sustainability. Plant diversity can enhance different ecosystem services including primary production, nutrient cycling, and pest, disease, and weed control. Gaba et al. (2020) showed that multifunctionality was
enhanced by increasing weed diversity thanks to a positive impact on pollination, pest control and soil fertility, and a neutral effect on productivity. The advantages of crop rotation are that it interrupts pest,
disease, and weed cycles, enables better exploration of soil resources in space and over time and favours soil biological activity. Intercropping with legumes supports pest control and weed control., enrich soil and enhance ecosystem functions.---plant diversification is
often a way to for smallholders to compensate for their lack of access to
external inputs, to be more resilient, and to increase their income.","Madagascar","Subsaharan Africa",1,"Ivory Station","Africa","LIC","-19.555250000000001","46.414952999999997","Yes (indirectly)","""Increasing plant diversity affects different ecological functions in
the agroecosystem, enabling the intensification of ecological processes,
which can replace external inputs such as fertilisers or pesticides (Isbell
et al., 2017; Kremen et al., 2012; Tamburini et al., 2020).""","Experiment (research station)","Researcher-led","Researcher-led","Rotation + intercroppping (Rice after velvet bean + crotalaria intercropping)","Intercrop-Rotation",1,0,1,"NA","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Velvet Bean + Crotalaria","Rice","Other",0,0,0,0,0,0,0,0,0,0,"Velvet Bean + Crotalaria",NA,"No mineral fertiliser applied, only manure was applied","No synthetic","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","1.3673469387755102","NA","NA","NA","1.6923076923076923",1.75490196078431,"1","NA",1.14465408805031,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","soil cover provided by the crop before rice and soil
fertility seemed to be the main factors responsible for the different degrees of weed control provided by the different rotations. Indeed,
groundnut was the crop with the lowest soil cover and biomass production, resulting in higher weed infestation in the rice (Table 4) and
groundnut crop cycle (data not shown), whereas the opposite trend was
observed in the RVC rotation (i.e., high soil cover and biomass production, leading to low weed infestation during the mixed crop and rice cycle).----The positive impact of rotation on plant-feeders nematodes could be
mainly linked to two factors: (i) the host/non-host status of the crops
grown in the rotation (Inomoto and Asmus, 2010), and (ii) the potential
allelopathic effect of legume species on plant-feeders nematodes (Farooq et al., 2011; Wang et al., 2002).----The complementarity between velvet bean and crotalaria
in terms of plant habit, expected to produce more biomass and especially green manure, was effective given the amount of N returned by residues in the RVC (rice - velvet bean + crotalaria) rotation, which was five to nine times higher than in the other rotations or rice monocropping.","NA","The highest
profitability was observed in the case of rotation with no cash crops as in
RVC, due to the combination of (i) higher rice yields, (ii) lower weeding
costs, and (iii) lower manure costs because the rotation crops were not
fertilised. RG also scored well on profitability due to (i) a higher market
price than for rice and (ii) a high average rice yield, which led to a higher
profit.","NA","There was no control of Rice + sorghum, Only sole rice-------------Even in short-term rotations, ecosystem functions,
yield, and profitability can be enhanced by plant diversification.
Nevertheless, different crops or crop mixtures should be included in
rotations with rice to avoid possible the drawbacks of short rotations
(Bennett et al., 2012).","Fig2_average biomass & N content, Table7_gross margin, Table4_weed biomass, Fi3_nematofauna",NA,2,2,2,1,2,2,11
323,583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,"Biodiversity can support a greener revolution in Africa","Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199110","Plot","Quantitative + Qualitative","Experiment (on farm)","RC","1998","2","6","3","3","50","2","2-4",">100","Yes","Yes",NA,"Malawi","Subsaharan Africa",1,"Songani","Africa","LIC","-15.306300999999999","35.429676999999998","Yes","""increases in production","Experiment (on farm)","Farmer-led + National policy (Malawi Government Maize Productivity Task Force (MPTF))","Farmer-led + policy","Rotation","Rotation",0,0,1,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,1,0,0,0,0,"0","Tephrosia","20-0-0","Synthetic - below threshold","rainfed","0.89379653000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.4444444000000001",2.0243902,"NA","NA",1.82111437,"NA","NA","NA","NA","1.55","NA","NA","1.3333333000000001","NA","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","NA","Fertiliser prices; Insect-deterrent legumes; Gender:nutritional benefits of legume diversification were particularly valued by female farmers","Access to seeds; Labour availability and wealth ""labor constraints were frequently noted by poorer households""","Choice of legume (shrubby, perform well across diverse soil types and rainfall, even at low soil fertility); Low levels of fertiliser addition: ""low productivity observed reflects soil degradation and in particular the highly N-deficient status of these soils "", ""The nitrophilic nature of the maize crop was illustrated by a consistent response to N fertilizer, which almost doubled yields""; Insect herbivory on pigeonpea: ""pigeonpea grain is highly edible with few antiquality factors, but herbivore competition was severe and contributed to the low grain yields observed""","highly degraded soils: ""degraded soils and limited access to improved seeds and superior rhizobia have often led to poor performance of annual legumes""","High fertiliser prices: ""If fertilizer prices were to double relative to grain market prices, which has occurred in recent years, then the fertilized, diversified systems tested here remained economically attractive with VCRs >3.6, whereas fertilized monoculture declined to <2.5 ""","Low fertiliser prices","nutritional benefits of legume diversification were particularly valued by female farmers and labor constraints were frequently noted by poorer households","Fig1 - nutrient cycling; Fig2 - health, food yield",NA,2,2,2,2,2,2,12
