"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
215,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Quantitative","Participatory Action Research","RC","2005-2011","6","3","1","2","6","2","5-10","11-100","Yes","Yes","Poverty","Malawi","Subsaharan Africa",1,"Zidyana","Africa","LIC","-12.843420206391199","34.187862659719997","No",NA,"Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: cereal-legume + rotation: cereal-legume","Intercrop-Rotation",1,0,0,"Row","Conservation agriculture + herbicides","Tillage practices","Pest management","Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"69:21:00","Synthetic - below threshold","rainfed","1.115906432748538","NA","NA","NA","NA","NA","NA","NA","NA","1.0081190798376183","NA",0.755926520704907,"NA","1.2525896972097061","NA","NA",0.930487942941243,"NA","NA","0.76190476190476186","NA","NA","NA","NA","NA","NA","NA","NA","Mix-Lose","NA","NA","NA","NA","NA","NA","NA","NA","Farmers are hesitant to grow more legumes if there are no readily available markets for the sale of produce","Conservation agriculture (combination of differences in tillage and land preparation methods, residue management, cropping systems and weed control strategies): ""Mulch cover improved water infiltration even after the first season, especially under drier or moisture-limited conditions, thereby improving the effect on soil water balance""","Pest infestation and rainfall variability with dry spells caused grain yields lower than the potential: ""inadequate number of sprays against insect pests such as aphids (Aphis gossypii) and elegant grasshoppers (Dichromorpha elegans) as well as dry spells causing flower abortion""","NA","Dry spells (rainfall variability)","biodiversity: Differences between treatments in the faunal groups of earthworm and termites were only observed in Zidyana (Table 5). At Lemu, spatial variability of these faunal groups was too large to detect any significant difference between treatments. In Zidyana, the earthworm population was highest (48earthwormsm−2) in CAM, followed by CAML (40earthwormsm−2) and lowest (9earthwormsm−2) in CPM treatment. At both sites centipede populations were higher in the top 30cm of soil of CAM than CPM, whereas the rest of the faunal populations did not show significant difference between treatments.","Figure 5+Table 1 (Yield); Table 6 (H2O infoltration); Table 4 (Soil organic C); Figure 6 (Biomass); Table 5 (Biodiversity); Table 3 (Income)",NA,2,2,2,2,2,2,12
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Groundnut","Cassava","Groundnut",0,0,1,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.91414141414141403","NA","NA","NA","NA","NA","NA","NA","NA","1.0581255000000001","NA",1.051495,"1.6041666999999999","NA","NA","NA",3.0375,"NA","NA","NA","1.6","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Soybean","Cassava","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84343434343434331","NA","NA","NA","NA","NA","NA","NA","NA","0.96145119999999995","NA",1.0830565,"1.0625","NA","NA","NA",1.275,"NA","NA","NA","1.45","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain / Mungbean","Cassava","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84848484848484851","NA","NA","NA","NA","NA","NA","NA","NA","0.96659110000000004","NA",1.0472868,"1.2083333000000001","NA","NA","NA",0.675,"NA","NA","NA","1.59","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Quantitative","Experiment (on farm)","RC","2006-2009","4","14","6","8","4","1","2-4","3-4","Yes","Yes","Land degradation","Indonesia","South-east Asia",4,"Wringinrejo, South Blitar, East Java, Indonesia","Asia","LMIC","-8.0833329999999997","112.033333","No",NA,"Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Fertiliser; manure vs no manure","Fertilizer rates/type",NA,"Non-Grain /  Cowpea","Cassava","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"14-6-9","Synthetic - below threshold","irrigation","0.84343434343434331","NA","NA","NA","NA","NA","NA","NA","NA","1.1030234000000001","NA",1,"1.5208333000000001","NA","NA","NA",0.4125,"NA","NA","NA","1.5","NA","NA","NA","NA","1","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Organic fertiliser (manure): increased soil fertility and crop productivity","NA","NA","High costs of seeds: ""The high cost for growing leguminous intercrops may be due to the high price of seeds and the additional costs involved in pest control""","NA","See SuppCalc sheet- Tables 1, 2, 3",NA,2,2,2,2,2,2,12
191,406,"Naab J.B., Mahama G.Y., Yahaya I., Prasad P.V.V.",2017,"Conservation agriculture improves soil quality, crop yield, and incomes of smallholder farmers in north western Ghana","Naab, J. B., Mahama, G. Y., Yahaya, I., & Prasad, P. V. V. (2017). Conservation Agriculture Improves Soil Quality, Crop Yield, and Incomes of Smallholder Farmers in North Western Ghana. Front Plant Sci, 8, 996. doi:10.3389/fpls.2017.00996","Farm","Quantitative","Experiment (on farm)","RC","2010-2014","4","2","1","1","3","1","2-4","3-4","Yes","Yes","Traditional agricultural practices, low soil fertility, frequent dry spells, drought and unsustainable management practices.","Ghana","Subsaharan Africa",1,"Nyoli, West Ghana","Africa","LMIC","9.75","-2.5","Yes","""improve farm productivity, profits, and food security""","Experiment (on farm)","Farmer-led + support by researchers","Farmer-led + researcher/extension","Rotation","Rotation",1,0,0,"Rotation","Conservation agriculture vs Tillage (existing farmers practices)","Tillage practices",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0",NA,"64-16-31","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.00353050121542,"1.1599999999999999","NA","NA","NA",2.41978300633982,"NA","NA","0.71018597220703583","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","Yes: higher inputs + labour costs for legumes but higher returns to labour (higher benefit-cost)","NA","NA","Conservation agriculture (reduced tillage + residue retention): improved soil moisture due to mulching; Early control of weeds with herbicide","Low soil fertility: ""low amounts of crop residue production may be due to the low fertility status of the soils in this area coupled with inadequate fertilizer application.""; Harvesting practices: ""lack of significant influence of crop rotation on maize yield may be due to the removal of whole soybean plants from the field for threshing elsewhere and not returning the residue. A legume only adds significant nitrogen to the soil for the benefit of the following crop if the entire biomass (stems, leaves, roots) is incorporated into the soil.""; Tillage","Conservation agriculture (reduced tillage + residue retention): improved soil moisture due to mulching","Tillage",NA,"Figure 4: Yield; Tables: 1 = impact on EC; T2 = Nutrient cycling & Function/process; T4 = Income & cost",NA,2,2,2,2,2,2,12
254,477,"Pradhan A., Chan C., Roul P.K., Halbrendt J., Sipes B.",2018,"Potential of conservation agriculture (CA) for climate change adaptation and food security under rainfed uplands of India: A transdisciplinary approach","Pradhan, A., Chan, C., Roul, P. K., Halbrendt, J., & Sipes, B. (2018). Potential of conservation agriculture (CA) for climate change adaptation and food security under rainfed uplands of India: A transdisciplinary approach. Agricultural Systems, 163, 27-35. doi:10.1016/j.agsy.2017.01.002","Village","Quantitative + survey","Experiment (on farm)","RC","2011-2014","3","5","2","3","46","2","2-4","11-100","No (also including minimum tillage and introduction of mustard as cover crop)","No (also including minimum tillage and introduction of mustard as cover crop)","unpredictable patterns of rainfall, food insecurity, adherence to traditional farm practices, poverty, soil degradation","India","South Asia",2,"Talachampei & Tentuli villages (Keonjhar district In odisha State)","Asia","LMIC","21.639709","85.565213","Yes","""ability to simultaneously increase yield, diversify crop production and improve soil quality, to meet future household income and nutritional needs amidst climate variability""","Experiment (on farm)","Farmer-led","Farmer-led","Intercropping-cereal-legume","Intercrop",1,0,0,"Row","Conventional tilling + reduced tilling + Mustard","Tillage practices",NA,"Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","Mustard as cover crop","Maize 80:40:40, Cowpea 20:40:20, Mustard 40:20:20","Synthetic - below threshold","rainfed","1.4492405510420345","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.3319587628866,"NA","NA","NA","NA",1.35764944275583,"NA","NA","NA","NA","NA","NA","NA","NA","1.2666666666666666","NA","NA","Win-Win","YES","Farmers' preference changed from conventional tillage+maize+cowpea to reduced tillage+maize+cowpea. Farmers now prioritise improved quality of soil over profit. Yield was still important.","NO","NA","NA","NA","NA","Higher value of cowpea in the market","Adherence to traditional practices (conventional tilling and not cultivar maize)","Reduced tillage, diversified cropping system through maize + cowpea coupled with residue retention of mustard helps in optimizing resource use efficiency and maximize productivity of traditional smallholder farming systems","NA","Increased profitability of CA intensification combined with the fact that Cowpea has higher value in the market, therefore cowpea was preferred by farmers. Government programs have subsequently
 provided input support for scaling up to other farmers in the area, like fertilizer subsidy program, soil health card which support the affordability of fertilizers as well as their balanced application in an integrated manner","NA","All Conservation agriculture treatments (CA) showed increased productivity over farmers practice. This might be sue to higher productivity of improved cultivar along with optimum plant population due to line sowing and recommended dose of fertiliser application in CA treatments","Fig 1-MEY Kgha-1: Fig 3-effect of treatments on soil quality, Table 5-budget analysis, Table 4 labor (ha-1)",NA,2,2,2,2,2,2,12
32,56,"Banjara T.R., Bohra J.S., Kumar S., Singh T., Shori A., Prajapat K.",2021,"Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India","Banjara, T. R., Bohra, J. S., Kumar, S., Singh, T., Shori, A., & Prajapat, K. (2021). Sustainable alternative crop rotations to the irrigated rice-wheat cropping system of Indo-Gangetic plains of India. Archives of Agronomy and Soil Science. doi:10.1080/03650340.2021.1912324","Plot","Quantitative (household surveys)","Experiment (research station)","RC","2016-2018","2","10","2","8","1","1","2-4","1-2","Yes","Yes","Environmental degradation","India","South Asia",2,"Agricultural Research Farm, Institute of Agricultural Sciences, Banaras Hindu University, Varanasi","Asia","LMIC","25.264154999999999","82.993522999999996","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain / Mungbean","Rice","Mungbean",0,0,0,0,1,0,0,0,0,0,"0","Wheat, Potato, Cowpea (fodder), mustard, potato","48-21-38","Synthetic - below threshold","irrigation","1.8949825","NA","NA","NA","NA","NA","NA","NA","NA","1.0123272999999999","NA",1,"1.0825838000000001","NA","NA","NA",1.802556818,"NA","NA","NA","NA","NA","NA","NA","NA","1.4726775999999999","NA","NA","Mix-Win","NA","NA","NA","NA","NA","NA","Yes (high cultivation cost due to more laborers vs high gross/net returns)","Variable weather","NA","irrigation; soil quality (improvement in soil available N due to the inclusion of legume crops in sequences)","rainfall fluctuation","NA","NA",NA,"NA",NA,0,2,2,2,2,2,10
15,784,"Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015, Mar).  [Article]. Indian Journal of Agricultural Sciences, 85(3), 100-104. <Go to ISI>://WOS:000351480400015",2015,"Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India","Ansari, M. H., Verma, B. K., Ansari, M. A., Mishra, D., Srivastava, A. K., Khan, N., & Saquib, M. (2015). Impact of cropping pattern on growth, yield attributes and system productivity of citronella (Citronella winterianus) - pulses intercropping system in Central India. Indian Journal of Agricultural Sciences, 85(3), 100-104.","Plot","Quantitative","Experiment (research station)","E/M","2010-2012","2","5","3","2","4","1","2-4","3-4","Not exclusively (also asessing influence of densities 1:1 ,2:1, 2:2)","Not exclusively (also asessing influence of densities 1:1 ,2:1, 2:2)","Increase in demand of Citronella, Pigeonpea being the second most important pulse crop of India","India","South Asia",2,"Chandra Shekhar Azad University of Agriculture and Technology, Kanpur, UP
","Asia","LMIC","26.490144000000001","80.301111000000006","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Citronella-Legume","Intercrop",1,0,0,"Row","also asessing influence of densities 1:1 ,2:1, 2:2","Varied spacing/timing",NA,"Non-Grain / Pigeonpea","Citronella winterianus","Pigeonpea",0,0,0,0,0,1,0,0,0,0,"0","0","150-80-40","Synthetic - below threshold","irrigation","0.63387901873470698","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.05238095238095,"1.0832325675130994","NA","NA","NA",0.740289678416049,"1.0409528141372282","NA","NA","1.0316666666666667","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","citronella sole cropping followed by
pigeonpea + citronella intercropping system (2:1) can be
practiced to achieve better high yield as well as profitability
than other cropping system in sandy loam soils of north and
central India.","Sole crops provided higher yields compared to the intercrops. The
citronella sole cropping system gave significantly the highest
citronella equivalent oil yield, net returns and B: C ratio
followed by citronella + pigeonpea (2:1) and citronella +
pigeonpea (2:2) intercropping system than other cropping
systems (Fig 2).","NA","NA","NA","NA",NA,"Table 6 Effect of cropping system, Ansari_2015_Table 1_soil fertility",NA,2,2,2,1,2,2,11
299,542,"Sharma N.K., Singh R.J., Mandal D., Kumar A., Alam N.M., Keesstra S.",2017,"Increasing farmer's income and reducing soil erosion using intercropping in rainfed maize-wheat rotation of Himalaya, India","Sharma, N. K., Singh, R. J., Mandal, D., Kumar, A., Alam, N. M., & Keesstra, S. (2017). Increasing farmer’s income and reducing soil erosion using intercropping in rainfed maize-wheat rotation of Himalaya, India. Agriculture, Ecosystems & Environment, 247, 43-53. doi:10.1016/j.agee.2017.06.026","Plot","Quantitative","Experiment (research station)","E/M","2009-2014","6","6","2","4","3","1","5-10","3-4","Yes","Yes","soil degradation, population growth, malnutrition, land availability","India","South Asia",2,"Research Farm, Selakui of the ICAR- Indian Institute of Soil and Water Conservation (Erstwhile Central Soil and Water Conservation Research and Training Institute), Dehradun, Uttarakhand","Asia","LMIC","30.344443999999999","77.87","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping","Intercrop",1,1,0,"Row","Different intercrop spacings","Varied spacing/timing",NA,"Grain / Cowpea","Maize-wheat","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","Okra","80-40-40","Synthetic - below threshold","rainfed","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.26","NA",1.43,"1.1039705433455431","NA","NA","NA",1.17194941911361,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","rainfed and sloping areas with high runoff and erosion potential","NA","Intercrop spatial arrangement (""Double row of intercrop of okra/cowpea (T5 and T6) had significant effect on the productivity of intercrops than single row (Fig. 2C). The yield of okra/cowpea in 1:2 systems (T5 and T6) was 30–50% higher than the yield recorded in 1:1 system (T3 and T4) in all the years""); extreme weather events (e.g. high rain intensity storms) - legume canopy cover reduces soil erosion: ""vegetation not only reduces the amount of water reaching the soil surface by interception, but also reduces the speed of the runoff on the surface by creating higher soil roughness and more possibility for the water and sediment to retain by the plants.""","NA","improved soil functions due to cropping legume","treatment response changes with the production environment and in particular annual rainfall (Supplementary Fig. 4). Irrespective of intercropping treatments, onset and withdrawal of monsoon season, amount of rainfall and number of rainy days particularly in winter season (wheat growing season) played an important role in the crop productivity.",NA,"Table 2 = economic wellbeing (net return)- average of maize+ cowpea treatments on pur maize treatments; food (grain yield) estimate from text: ""Both the cowpea (T4 and T5) based intercropping systems (1:1 and 1:2) had positive effects on mean wheat grain and straw yields which was about 13–14% higher than other treatments."" (page 47)",NA,2,2,2,2,2,2,12
258,495,"Ranjan R., Sharma N.K., Kumar A., Pramanik M., Mehta H., Ojasvi P.R., Yadav R.S.",2021,"Evaluation of maize-based intercropping on runoff, soil loss, and yield in foothills of the Indian sub-Himalayas","Ranjan, R., Sharma, N. K., Kumar, A., Pramanik, M., Mehta, H., Ojasvi, P. R., & Yadav, R. S. (2021). Evaluation of maize-based intercropping on runoff, soil loss, and yield in foothills of the Indian sub-Himalayas. Experimental Agriculture, 57(2), 69-84. doi:10.1017/s0014479721000053","Plot","Quantitative","Experiment (research station)","E/M","2012-2014","3","4","2","2","3","1","2-4","3-4","Yes","Yes","soil degradation and extreme weather","India","South Asia",2,"Dehradun (ICAR Research Farm)","Asia","LMIC","30.351327254754899","77.870252189564098","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Plastic mulch","SWC",NA,"Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"64:46:60","Synthetic - below threshold","rainfed","1.4749223257878383","1.1438565806733711","NA","NA","NA","NA","NA","NA","NA","1.3577646728447066","NA",1.41408751334045,"NA","NA","NA","NA",2.26143790849673,"NA","0.97409326424870457","0.97409326424870457","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Weather- Optimum and well-distributed rainfall; Weed supression by legume","Weather- Excessive and incessant rainfall","NA","NA",NA,"Suplementary material, Table S1-yield, Table S2-water, Table3-economics,Table S3- soil loss, runoff",NA,2,2,2,2,2,2,12
