"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Yield","Recoded_aspect_of_yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Pollination","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition_spp_occurrence_abundance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined_ecological_social_outcome"
191,406,"Naab J.B., Mahama G.Y., Yahaya I., Prasad P.V.V.",2017,"Conservation agriculture improves soil quality, crop yield, and incomes of smallholder farmers in north western Ghana","Naab, J. B., Mahama, G. Y., Yahaya, I., & Prasad, P. V. V. (2017). Conservation Agriculture Improves Soil Quality, Crop Yield, and Incomes of Smallholder Farmers in North Western Ghana. Front Plant Sci, 8, 996. doi:10.3389/fpls.2017.00996","Farm","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",1.20017887192526,"Non-legume yield only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00353050121542,1.16,NA,NA,NA,1.15277777777778,"Carbon",2.41978300633982,NA,NA,0.710185972207036,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
214,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",1.04799156536898,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.05511811023622,NA,NA,1.26736788257707,NA,0.967912813776642,1.28213837451642,NA,0.882879218086278,"Carbon",1.1414466130884,NA,NA,0.761904761904762,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Mix"
215,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",1.11590643274854,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,1.00811907983762,NA,NA,0.755926520704907,NA,1.25258969720971,1.46723330869672,NA,1.13801390492175,"Carbon",0.930487942941243,NA,NA,0.761904761904762,NA,NA,NA,NA,NA,NA,NA,NA,"Mix-Lose"
248,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.103","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.2224551,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.114537,NA,NA,NA,NA,NA,NA,NA,NA,1.045675,1.34244222361024,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Win"
249,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.104","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.1655689,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502643,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3649153028998,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
250,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.105","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.3577236,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.114094,NA,NA,NA,NA,NA,NA,NA,NA,0.920354,1.25871442276943,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
251,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.106","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.1578853,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502384,NA,NA,NA,NA,NA,NA,NA,NA,1.022838,0.716895690193629,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
252,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.107","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.1578853,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.502384,NA,NA,NA,NA,NA,NA,NA,NA,0.991667,0.845104794717198,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Lose"
253,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.108","Village","Experiment (on farm)","Nepal","Asia","LMIC","Unknown","rainfed",1.254878,"Cumulative grain yield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50261,NA,NA,NA,NA,NA,NA,NA,NA,0.911668,0.826511032938919,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Lose"
258,495,"Ranjan R., Sharma N.K., Kumar A., Pramanik M., Mehta H., Ojasvi P.R., Yadav R.S.",2021,"Evaluation of maize-based intercropping on runoff, soil loss, and yield in foothills of the Indian sub-Himalayas","Ranjan, R., Sharma, N. K., Kumar, A., Pramanik, M., Mehta, H., Ojasvi, P. R., & Yadav, R. S. (2021). Evaluation of maize-based intercropping on runoff, soil loss, and yield in foothills of the Indian sub-Himalayas. Experimental Agriculture, 57(2), 69-84. doi:10.1017/s0014479721000053","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","rainfed",1.47492232578784,"Cumulative grain yield",1.14385658067337,NA,NA,NA,NA,NA,NA,NA,1.35776467284471,NA,NA,1.41408751334045,NA,NA,NA,NA,NA,NA,2.26143790849673,NA,0.974093264248705,0.974093264248705,NA,NA,NA,NA,NA,NA,NA,NA,"Win-Mix"
