"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit of analysis","Data type","data.collection","Setting Type","Time period","Time scale (years)","Total treatments (including controls)","Number of intercrop or rotation treatments including grain legumes (not sole legumes)","Number of nonintercrop or non rotation treatments not including grain legumes (including sole-cropping controls)","Total number of replicates per treatment","Number of study regions/sites","time.simpl","replicates.simp","Are the authors studying/identifying legume introduction intensification as the main source of ES change?","Are the authors studying/identifying legume introduction as the main source of wellbeing change?","What other drivers are identified as key to ES or well-being change?","Case_countries","Regional_groupings","Regional_groupings_ID","Subnational 
 case area (specify province/region)","Continent","WorldBank National Income Group","Latitude_Decimal_Degrees_N","Longitude (Decimal Degrees) E","Is intensification defined?","Authors' intensification definition","Study design","Intensification actors","Actors.categories","Type of land use intensification described","Simplified cropping system","Intensification type: Crop Change/Addition","Intensification type: Increased Rows/Strip width","Intensification type: Increased rotations","Spatial arrangement of intercropping","Other agro-ecological innovations","Recoded other agro-ecological innovations - Primary","Recoded other agro-ecological innovations - Secondary","Food system classification","Non-legume main crop","Legume_category","Grain legume product: Chickpea","Grain legume product: Cowpea","Grain legume product: Groundnut","Grain legume product: Lentil","Grain legume product: Mung bean","Grain legume product: Pigeonpea","Grain legume product: Faba Bean","Grain legume product: Common Bean","Grain legume product: Soybean","Grain legume product: Pea","Grain legume product: Grain legumes (unspecified/other)","Other products not target of intensification","Mineral Fertiliser
 N–P2O5–K2O kgha−1","Synthetic fertiliser category","Water source","Yield","Freshwater","Fuelwood","Fiber","Biochemicals","Genetic_resources","Climate_regulation","Disease_regulation","Pest_regulation","Water_regulation","Water_purification","Soil_formation","Nutrient_cycling","Primary_production","Biodiversity_composition","Biodiversity_structure","Profit","Financial_security","Physical_capital","Savings_labour_cost","Natural_capital","Health","Education","Social_cultural_relations","Food_security","Employment","Justice","Property_rights","Combined ecological-social outcome","Is the intensification (according to authors) causing changes in demand/ preferences for certain ES?","If intensification is leading to changed demands, specify whose demand and which ES","IF Yes to changed demands: Are the changes disaggregated by different groups?","If disaggregated by different groups, specify categorization (e.g. rich/poor, men/women, land-owners/labourers, other)","If disaggregated by groups, specify for which ES/ wellbeing aspects the results are disaggregated","If disaggregated by groups, specify the reported difference","Trade-offs mentioned between 1) different ES, 2) different wellbeing aspects, or 3) ES and wellbeing","General factors enabling adoption","General factors constraining adoption","Factors identified as enabling ecosystem services","Factors identified as constraining ecosystem services","Factors identified as enabling well being","Factors identified as constraining well being","Notes","Documentation of methods of data extraction","Secondary reference","Study spatial design (do they have enough replicates?)","Study temporal design (do they collect data over multiple points in time?)","Confounding variables (Were baseline characteristics of the intervention comparable with the control or were potential confounders at baseline approximately adjusted for in analysis?)","Reporting","Risk of bias","Tools for assessment (Were valid and reliable tools used to assess  outcomes?)","Sum.Quality"
96,198,"Gitari H.I., Nyawade S.O., Kamau S., Karanja N.N., Gachene C.K.K., Raza M.A., Maitra S., Schulte-Geldermann E.",2020,"Revisiting intercropping indices with respect to potato-legume intercropping systems","Gitari, H. I., Nyawade, S. O., Kamau, S., Karanja, N. N., Gachene, C. K. K., Raza, M. A., . . . Schulte-Geldermann, E. (2020). Revisiting intercropping indices with respect to potato-legume intercropping systems. Field Crops Research, 258. doi:10.1016/j.fcr.2020.107957","Plot","Quantitative","Experiment (research station)","E/M","2015-2016","2","7","6","1","4","1","2-4","3-4","Yes","Yes","Rapid population growth and food insecurity","Kenya","Subsaharan Africa",1,"Upper Kabete Campus, University of Nairobi, Nairobi","Africa","LMIC","-1.25223440462695","36.728764710387701","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Pesticide to control potato blight and aphids on legumes; fertiliser application to both potatoes and legumes","Weed/pest management","Fertilizer rates/type","Non-Grain / Dolichos","Potato","Other",0,0,0,0,0,0,0,0,0,0,"Dolichos (lablab bean)","Dolichos (lablab bean)","90-55-0","Synthetic - below threshold","rainfed",1.03238,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0406500000000001","NA",1,"NA","1.28","NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","No","Smallholder farmers","Perception by farmers that intercropping can cause competition between crops and thus lower yields","Planting pattern: higher density intercrop increases yield (""Generally, treatment PD (1:2.4) and PB (1:2.4) significantly improved legume yield by 46 % and 47 %, respectively, as compared to respective yields in PD (1:1.2) and PB (1:1.2).""","NA","Planting pattern: higher density intercrop increases income","NA",NA,"Table 2 - yield, economics; Figure 3 - total LER (average of 2015 and 2016)",NA,2,2,2,2,2,2,12
97,198,"Gitari H.I., Nyawade S.O., Kamau S., Karanja N.N., Gachene C.K.K., Raza M.A., Maitra S., Schulte-Geldermann E.",2020,"Revisiting intercropping indices with respect to potato-legume intercropping systems","Gitari, H. I., Nyawade, S. O., Kamau, S., Karanja, N. N., Gachene, C. K. K., Raza, M. A., . . . Schulte-Geldermann, E. (2020). Revisiting intercropping indices with respect to potato-legume intercropping systems. Field Crops Research, 258. doi:10.1016/j.fcr.2020.107957","Plot","Quantitative","Experiment (research station)","E/M","2015-2016","2","7","6","1","4","1","2-4","3-4","Yes","Yes","Rapid population growth and food insecurity","Kenya","Subsaharan Africa",1,"Upper Kabete Campus, University of Nairobi, Nairobi","Africa","LMIC","-1.25223440462695","36.728764710387701","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,1,0,"Row","Pesticide to control potato blight and aphids on legumes; fertiliser application to both potatoes and legumes","Weed/pest management","Fertilizer rates/type","Non-Grain / Common bean","Potato","Common bean",0,0,0,0,0,0,0,1,0,0,"0",NA,"90-55-0","Synthetic - below threshold","rainfed",1.00097,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.997","NA",1,"NA","1.2549999999999999","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","No","Smallholder farmers","Perception by farmers that intercropping can cause competition between crops and thus lower yields","Planting pattern: higher density intercrop increases yield (""Generally, treatment PD (1:2.4) and PB (1:2.4) significantly improved legume yield by 46 % and 47 %, respectively, as compared to respective yields in PD (1:1.2) and PB (1:1.2).""","NA","Planting pattern: higher density intercrop increases income","NA",NA,"Table 2 - yield, economics; Figure 3 - total LER (average of 2015 and 2016)",NA,2,2,2,2,2,2,12
219,432,"Nwofia G.E., Jiwuba F., Okpara D.A., Mbah E.U.",2017,"Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics","Nwofia, G. E., Jiwuba, F., Okpara, D. A., & Mbah, E. U. (2017). Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics. International Journal of Vegetable Science, 23(5), 400-410. doi:10.1080/19315260.2017.1310779","Plot","Quantitative","Experiment (research station)","E/M","2011-2012","2","12","5","7","3","1","2-4","3-4","Yes","Yes",NA,"Nigeria","Subsaharan Africa",1,"National Horticultural Research Institute, Mbato substation (latitude 5°33′ N, longitude 7°23′ E, altitude 130 m asl), Okigwe, Imo State","Africa","LMIC","5.5333329999999998","7.3833330000000004","No",NA,"Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Existing farmers' practices (compost manure); different eggplant varieties (genotypes)","Existing farmers' practices","Different cultivar","Non-Grain / Cowpea","Eggplant","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"0","No synthetic","rainfed",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.9014933378830339","NA",0.748609551177623,"NA","1.5183333333333333","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Genotype of main crop affects yield",NA,"Genotype of main crop affects profits",NA,NA,"LER from Table 8, Net returns from Table 9",NA,2,2,2,1,2,2,11
29,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4190","Plot","Quantitative","Experiment (research station)","E/M","2014-2016","3","10","6","4","3","1","2-4","3-4","Not exclusively (also asessing influence of densities 1:1 ,4:4)","Not exclusively (also asessing influence of densities 1:1 ,4:4)","With shrinkage of resources like arable land, irrigation water
and energy, there is a dire need to design and develop new
methods and techniques of crop production to meet the
increasing demand for food, feed and forage through
effective utilization of available agricultural input resources. Intercropping offers the possibility of yield advantage relative to sole
cropping through yield stability and improved yield","India","South Asia",2,"Research farm (Langol) of ICAR Research complex for North Eastern Hill Region (NEHR), Manipur Centre, Lamphelpat","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Maize-legume","Intercrop",1,0,0,"Row","Also asessing influence of densities 1:1 ,4:4)","Varied spacing/timing",NA,"Grain / Groundnut","Maize","Groundnut",0,0,1,0,0,0,0,0,0,0,"0","0","80-60-40 (to sole and intercropped maize)-no additional nutrients to intercropped legumes","Synthetic - below threshold","rainfed",1.23943661971831,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.3332984840564557","NA","NA","NA","1.2460046699570755","1.0362537764350455",0.802879060954758,"NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Intercropping has an advantage in both soil fertility and crop yields,  particularly for maize which is the staple food crop for
smallholder farmers, besides its other advantage.","NA","NA","NA","NA","NA",NA,"Table 1_evaluation of diversified maize based cropping system, Table 2_ soil fertility status, Table 3_economics",NA,2,2,1,2,2,2,11
30,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4191","Plot","Quantitative","Experiment (research station)","E/M","2014-2016","3","10","6","4","3","1","2-4","3-4","Not exclusively (also asessing influence of densities 1:1 ,4:4)","Not exclusively (also asessing influence of densities 1:1 ,4:4)","With shrinkage of resources like arable land, irrigation water
and energy, there is a dire need to design and develop new
methods and techniques of crop production to meet the
increasing demand for food, feed and forage through
effective utilization of available agricultural input resources. Intercropping offers the possibility of yield advantage relative to sole
cropping through yield stability and improved yield","India","South Asia",2,"Research farm (Langol) of ICAR Research complex for North Eastern Hill Region (NEHR), Manipur Centre, Lamphelpat","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Maize-legume","Intercrop",1,0,0,"Row","Also asessing influence of densities 1:1 ,4:4)","Varied spacing/timing",NA,"Grain / Soybean","Maize","Soybean",0,0,0,0,0,0,0,0,1,0,"0","0","80-60-40 (to sole and intercropped maize)-no additional nutrients to intercropped legumes","Synthetic - below threshold","rainfed",1.13380281690141,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.5310245687401984","NA","NA","NA","1.1471665664629969","1.0694864048338368",0.924187809048477,"NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Intercropping has an advantage in both soil fertility and crop yields,  particularly for maize which is the staple food crop for
smallholder farmers, besides its other advantage.","NA","NA","NA","NA","NA",NA,"Table 1_evaluation of diversified maize based cropping systemTable 2_ soil fertility status, Table 3_economics",NA,2,2,1,2,2,2,11
31,782,"Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021, Nov).",2021,"Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region","Baishya, L. K., Jamir, T., Walling, N., & Rajkhowa, D. J. (2021). Evaluation of Maize (Zea mays L.) plus Legume Intercropping System for Productivity, Profitability, Energy Budgeting and Soil Health in Hill Terraces of Eastern Himalayan Region. Legume Research, 44(11), 1343-1347. doi:10.18805/lr-4192","Plot","Quantitative","Experiment (research station)","E/M","2014-2016","3","10","6","4","3","1","2-4","3-4","Not exclusively (also asessing influence of densities 1:1 ,4:4)","Not exclusively (also asessing influence of densities 1:1 ,4:4)","With shrinkage of resources like arable land, irrigation water
and energy, there is a dire need to design and develop new
methods and techniques of crop production to meet the
increasing demand for food, feed and forage through
effective utilization of available agricultural input resources. Intercropping offers the possibility of yield advantage relative to sole
cropping through yield stability and improved yield","India","South Asia",2,"Research farm (Langol) of ICAR Research complex for North Eastern Hill Region (NEHR), Manipur Centre, Lamphelpat","Asia","LMIC","20.466667000000001","84.233333000000002","No","NA","Experiment (research station)","Researcher-led","Researcher-led","Intercropping: Maize-legume","Intercrop",1,0,0,"Row","Also asessing influence of densities 1:1 ,4:4)","Varied spacing/timing",NA,"Grain / Cowpea","Maize","Cowpea",0,1,0,0,0,0,0,0,0,0,"0","0","80-60-40 (to sole and intercropped maize)-no additional nutrients to intercropped legumes","Synthetic - below threshold","rainfed",1.1056338028169,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.6666231050705695","NA","NA","NA","1.1138756449154794","1.0589123867069485",0.941517630204723,"NA","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","Intercropping has an advantage in both soil fertility and crop yields,  particularly for maize which is the staple food crop for
smallholder farmers, besides its other advantage.","NA","NA","NA","NA","NA",NA,"Table 1_evaluation of diversified maize based cropping systemTable 2_ soil fertility status, Table 3_economics",NA,2,2,1,2,2,2,11
180,388,"Mishra M.M., Mohanty M., Gulati J.M.L., Nanda S.S.",2013,"Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India","Mishra, M. M., Mohanty, M., Gulati, J. M. L., & Nanda, S. S. (2013). Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India. Indian Journal of Agricultural Sciences, 83(12), 1279-1284.","Plot","Quantitative","Experiment (on farm)","E/M","2004-2008","4","10","4","6","5","1","2-4","5-10","Yes","Yes","Over-exploitation of agriculture, soil and land degradation","India","South Asia",2,"Regional Research Station, Chiplima, Sambalpur","Asia","LMIC","21.374772","83.893241000000003","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain + Non-Grain / Mungbean","Rice-groundnut","Mungbean",0,0,0,0,1,0,0,0,0,0,"0",NA,"80-40-40, 20-40-40, 20-40-40","Synthetic - below threshold","rainfed",1.23242042931162,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.0273871206513694","NA","NA","NA","1.2183809930288803","NA",0.839977445728785,"NA","1.2500380228136883","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Tables 1 (yiels, income) T2 (NUE, LUE), T4 (EUE)",NA,2,2,2,2,2,2,12
181,388,"Mishra M.M., Mohanty M., Gulati J.M.L., Nanda S.S.",2013,"Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India","Mishra, M. M., Mohanty, M., Gulati, J. M. L., & Nanda, S. S. (2013). Evaluation of various rice (Oryza sativa) based crop sequences for enhanced productivity, profitability and energy efficiency in eastern plateau and hills zone of India. Indian Journal of Agricultural Sciences, 83(12), 1279-1284.","Plot","Quantitative","Experiment (on farm)","E/M","2004-2008","4","10","4","6","5","1","2-4","5-10","Yes","Yes",NA,"India","South Asia",2,"Regional Research Station, Chiplima, Sambalpur","Asia","LMIC","21.374772","83.893241000000003","No",NA,"Experiment (on farm)","Researcher-led","Researcher-led","Rotation","Rotation",1,0,0,"Rotation","Existing farmers' practices","Existing farmers' practices",NA,"Grain + Non-Grain / Cowpea","Rice-groundnut","Cowpea",0,1,0,0,0,0,0,0,0,0,"0",NA,"80-40-40, 20-40-40, 25-50-50","Synthetic - below threshold","rainfed",1.14285714285714,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.91413767579570693","NA","NA","NA","1.0130886328069426","NA",0.792951790245278,"NA","1.2000000000000002","NA","NA","NA","NA","NA","NA","NA","Mix-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"Tables 1 (yiels, income) T2 (NUE, LUE), T4 (EUE)",NA,2,2,2,2,2,2,12
248,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.103","Village","Quantitative + Simulation","Experiment (on farm)","RC","2011-2013","3","4","3","1","25","3","2-4","11-100","No","No","poverty, food insecurity","Nepal","South Asia",2,"Hyakrang village (hill region)","Asia","LMIC","27.788350999999999","84.870625000000004","Yes","""increase the value of output per area by increasing frequency of cultivation or by increasing inputs""","Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Conservation agriculture (strip tillage)","Tillage practices",NA,"Grain / Cowpea + Black Gram","Maize","Multiple",0,1,0,0,0,0,0,0,0,0,"Black gram",NA,"NA","Unknown","rainfed",1.2224551,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1145370000000001","NA","NA","NA","NA","NA","NA",1.045675,"1.3424422236102436","NA","NA","NA","NA","NA","NA","NA","NA","Win-Win","NA","NA","NA","NA","NA","NA","NA","NA","NA","Conservation agriculture (minimum (strip) tillage)- reduced soil loss","Conservation agriculture (minimum (strip) tillage)- reduced legume yield","NA","Conservation agriculture (minimum (strip) tillage)- increased labour","The experiment was laid out in a randomized block design with four treatments: 1. Full tillage maize followed by millet sole crop (traditional)
 2. Full tillage maize/legume sole crop (CAPS1)
 3. Full tillage maize/millet + legume intercrop (CAPS2)
 4. Strip tillage maize/millet + legume intercrop (CAPS3)
 Cowpea (2011) and black gram (2012 to
 2014) were the legume crops grown in the on-farm trial.","Values for intercrop are CAPS1; Table 2: crop yields, Table 3: labour, input costs, Table 8: soil formation/loss",NA,2,2,1,1,2,2,10
251,461,"Paudel B., Chan C., Halbrendt J., Crow S.E., Radovich T.J.K., Norton G.",2016,"Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal","Paudel, B., Chan, C., Halbrendt, J., Crow, S. E., Radovich, T. J. K., & Norton, G. (2016). Bioeconomic optimization of conservation agriculture production systems (CAPS) for smallholder tribal farmers in the hill region of Nepal. Journal of Soil and Water Conservation, 71(2), 103-117. doi:10.2489/jswc.71.2.106","Village","Quantitative + Simulation","Experiment (on farm)","RC","2011-2013","3","4","3","1","25","3","2-4","11-100","No","No","poverty, food insecurity","Nepal","South Asia",2,"Hyakrang village (hill region)","Asia","LMIC","27.788350999999999","84.870625000000004","Yes","""increase the value of output per area by increasing frequency of cultivation or by increasing inputs""","Experiment (on farm)","Farmer-led","Farmer-led","Intercropping: Cereal-legume","Intercrop",1,0,0,"Row","Conservation agriculture (strip tillage)","Tillage practices",NA,"Grain / Cowpea + Black Gram","Maize-Millet","Multiple",0,1,0,0,0,0,0,0,0,0,"Black gram","Millet","NA","Unknown","rainfed",1.1578853,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.5023839999999999","NA","NA","NA","NA","NA","NA",1.022838,"0.71689569019362898","NA","NA","NA","NA","NA","NA","NA","NA","Win-Mix","NA","NA","NA","NA","NA","NA","NA","NA","NA","Conservation agriculture (minimum (strip) tillage)- reduced soil loss","Conservation agriculture (minimum (strip) tillage)- reduced legume yield","NA","Conservation agriculture (minimum (strip) tillage)- increased labour","The experiment was laid out in a randomized block design with four treatments: 1. Full tillage maize followed by millet sole crop (traditional)
 2. Full tillage maize/legume sole crop (CAPS1)
 3. Full tillage maize/millet + legume intercrop (CAPS2)
 4. Strip tillage maize/millet + legume intercrop (CAPS3)
 Cowpea (2011) and black gram (2012 to
 2014) were the legume crops grown in the on-farm trial.","Values for intercrop are CAPS1; Table 2: crop yields, Table 3: labour, input costs, Table 8: soil formation/loss",NA,2,2,1,1,2,2,10
