Row_ID,Paper_ID,Authors,Year,Title,ID_FullText,Case countries,Continent,Latitude,Longitude,Food system classification ,"Non-legume main Farm/forest products for 
 which the production is being intensified (NOT all products produced)",Legume,Legume_all,Ecological outcome,Social outcome,Combined ecological-social outcome,Description combined ecological-social outcome,Description combined ecological-social outcome
158,407,"Nageswara Rao V., Meinke H., Craufurd P.Q., Parsons D., Kropff M.J., Anten N.P.R., Wani S.P., Rego T.J.",2015,Strategic double cropping on Vertisols: A viable rainfed cropping option in the Indian SAT to increase productivity and reduce risk,151,India,Asia,17.51127948,78.27522609,Grain / Chickpea,Sorghum,Chickpea,Chickpea,Mix,Mix,Mix-Mix,Mixed Socio-ecological Outcomes,Mixed Socio-ecological Outcomes
295,589,"Soriano J.B., Wani S.P., Rao A.N., Hanumanthappa A.K., Gowda J.A.C., Rathore A.",2017,On-farm evaluation of dry-seeded rice cultivars and cropping systems in the semi-arid region of India,244,India,Asia,16.166667,77.2,Grain / Chickpea,Rice,Chickpea,Chickpea,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
320,673,"Yadav M.R., Parihar C.M., Jat S.L., Singh A.K., Kumar R., Yadav R.K., Kuri B.R., Parihar M.D., Yadav B., Verma A.P., Jat M.L.",2017,Long term effect of legume intensified crop rotations and tillage practices on productivity and profitability of maize vis-a-vis soil fertility in North-Western Indo-Gangetic Plains of India,"273, 274",India,Asia,28.666667,77.2,Grain / Chickpea,Maize,Chickpea,Chickpea,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
72,195,"Ghosh P.K., Hazra K.K., Venkatesh M.S., Praharaj C.S., Kumar N., Nath C.P., Singh U., Singh S.S.",2019,Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run,74,India,Asia,26.50277497,80.27264631,Grain / Chickpea,Maize-Wheat,Chickpea,Chickpea,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
303,618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics,254,Australia,Australia,-28.5,148.75,Grain / Chickpea,Wheat,Chickpea,Chickpea,Mix,Win,Mix-Win,Positive Social Outcome,Positive Social Outcome
267,563,"Singh B., Dhaka A.K., Kumar S., Singh S., Kumar M.",2017,"Land, biological and economic evaluation of intercropping systems involving barley (Hordeum vulgare), Indian mustard (Brassica juncea) and chickpea (Cicer arietinum) under different spatial arrangements",230,India,Asia,29.15017,75.704463,Grain / Chickpea,Barley,Chickpea,Chickpea,Mix,Win,Mix-Win,Positive Social Outcome,Positive Social Outcome
368,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). ",2010,Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland,355,Australia,Oceania,-24.133333,150.333333,Grain / Chickpea,Wheat,Chickpea,Chickpea,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
371,770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). ",2010,Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland,355,Australia,Oceania,-24.133333,150.333333,Grain / Chickpea,Sorghum,Chickpea,Chickpea,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
332,710,"Zentner RP, Wall DD, Nagy CN, et al",2002,Economics of crop diversification and soil tillage opportunities in the Canadian prairies,295,Canada,North America,50.285828,-107.800597,Grain / Chickpea,Wheat,Chickpea,Chickpea,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
210,453,"Parihar M.D., Parihar C.M., Nanwal R.K., Singh A.K., Jat S.L., Nayak H.S., Ghasal P.C., Jewlia H.R., Choudhary M., Jat M.L.",2019,Effect of different tillage and residue management practices on crop and water productivity and economics in maize (Zea mays) based rotations,181,India,Asia,28.666667,77.2,Grain / Chickpea,Maize,Chickpea,Chickpea,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
