uniqueID,IDALL,Biocarb_services_average_percent_transf,Biocarb_services_average,"Impact of intensification on: 
 Biodiversity Species: occurrence/abundance - Diversity, composition,Abundance, behaviour","Impact of intensification on: 
 Biodiversity- Ecosystem ondition/ecosystem quality","Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)","Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Econ_wellbeing_average,"Impact of intensification on: 
 Income Gain/Net Benefits proportion",Impact of intensification on: Income Security/Avoiding Risk of Financial Loss,Savings in Costs of Labour,"Impact of intensification on: material assets/physical capital (Shelter, energy (electricity), cooking fuel, sanitation facilities, market infrastructure)","Combined 
 ecological-social outcome"
23,50,15.38462,1.1538462,NA,NA,NA,1.1538462,1.668202555,1.668202555,NA,,NA,Win-Win
24,50,23.07692,1.2307692,NA,NA,NA,1.2307692,3.031706204,3.031706204,NA,,NA,Win-Win
25,50,18.64407,1.1864407,NA,NA,NA,1.1864407,1.322730924,1.322730924,NA,,NA,Win-Win
26,50,27.11864,1.2711864,NA,NA,NA,1.2711864,2.283148594,2.283148594,NA,,NA,Win-Win
27,56,7.90123,1.0790123,NA,NA,NA,1.0790123,1.802556818,1.802556818,NA,,NA,Mix-Win
42,99,8.92857,1.0892857,NA,NA,NA,1.0892857,1.287423155,1.287423155,NA,,Negative,Win-Mix
43,99,6.63265,1.0663265,NA,NA,NA,1.0663265,1.063626177,1.063626177,NA,,Negative,Mix-Mix
55,128,600.28011,7.0028011,NA,NA,NA,7.0028011,4.321428571,4.321428571,NA,,NA,Win-Win
56,128,460.22409,5.6022409,NA,NA,NA,5.6022409,5.227678571,5.227678571,NA,,NA,Win-Win
69,195,35.0365,1.350365,NA,NA,NA,1.350365,2.428571429,2.428571429,Positive,,Positive,Win-Win
70,195,24,1.24,NA,NA,NA,1.24,2.416666667,2.416666667,Neutral,,Positive,Win-Mix
71,195,6.569343066,1.065693431,NA,NA,NA,1.065693431,1.666666667,1.666666667,Positive,,Positive,Win-Win
