uniqueID,IDALL,Regul_services_average_percent_transf,Regul_services_average,"Impact of intensification on: 
 Climate regulation (reduction in GHG emissions - reduction = good)","Impact of intensification on: 
 Disease regulation (<1 = good, reduction in disease)","Impact of intensification on: 
 Weed/pest regulation (reduction in weed/pest biomass or weed dry matter)","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)","Impact of intensification on: 
 Water purification",Econ_wellbeing_average,"Impact of intensification on: 
 Income Gain/Net Benefits proportion",Impact of intensification on: Income Security/Avoiding Risk of Financial Loss,Savings in Costs of Labour,"Impact of intensification on: material assets/physical capital (Shelter, energy (electricity), cooking fuel, sanitation facilities, market infrastructure)","Combined 
 ecological-social outcome"
7,9,21,1.21,NA,NA,1.21,NA,NA,2.76,2.76,NA,,NA,Win-Win
12,18,185,2.85,NA,NA,NA,2.85,NA,1.457,1.457,NA,,Mixed,Win-Mix
15,39,-23,0.77,0.77,NA,NA,NA,NA,1.366,1.366,NA,,Positive,Mix-Win
16,39,12.3,1.123,1.123,NA,NA,NA,NA,2.782,2.782,NA,,Positive,Mix-Win
17,39,-28.6,0.714,0.714,NA,NA,NA,NA,1.596,1.596,NA,,Positive,Mix-Win
18,39,5.2,1.052,1.052,NA,NA,NA,NA,3.151,3.151,NA,,Positive,Mix-Win
27,56,1.23273,1.0123273,NA,NA,NA,1.0123273,NA,1.802556818,1.802556818,NA,,NA,Mix-Win
28,59,46.7,1.467,NA,NA,NA,NA,1.467,2.042411642,2.042411642,NA,,Mixed,Mix-Mix
29,61,71.42857,1.7142857,NA,NA,1.7142857,NA,Positive,1.216637782,1.216637782,NA,,NA,Win-Win
30,64,32.35294,1.3235294,NA,NA,1.3235294,NA,NA,1,1,NA,,NA,Mix-Mix
31,64,75,1.75,NA,NA,1.75,NA,NA,1.15,1.15,NA,,NA,Win-Win
32,64,-55.70175,0.4429825,NA,NA,0.4429825,NA,NA,1.05,1.05,NA,,NA,Mix-Win
36,74,58,1.58,NA,NA,1.58,NA,NA,1.3765,1.3765,Positive,,NA,Win-Win
42,99,30.7392996,1.307392996,1.307392996,NA,NA,NA,NA,1.287423155,1.287423155,NA,,Negative,Win-Mix
43,99,-4.6692607,0.953307393,0.953307393,NA,NA,NA,NA,1.063626177,1.063626177,NA,,Negative,Mix-Mix
46,104,23.2774388,1.232774388,1.216219276,NA,NA,1.2493295,NA,1.226105005,1.315287836,NA,,1.136922175,Win-Mix
47,105,90.56647,1.9056647,0.9878,NA,NA,2.8235294,NA,1.4048,1.4048,NA,,Negative,Mix-Mix
48,105,107.64575,2.0764575,0.932,NA,NA,3.220915,NA,1.583,1.583,NA,,Negative,Mix-Mix
49,106,29.7691552,1.297691552,1.408573104,NA,NA,1.18681,NA,1.873669269,1.873669269,NA,,Mixed,Win-Mix
50,106,35.2255,1.352255,1.46,NA,NA,1.24451,NA,2.499645138,2.499645138,NA,,Mixed,Win-Mix
51,106,30.758,1.30758,1.28,NA,NA,1.33516,NA,1.921575586,1.921575586,NA,,Mixed,Win-Mix
52,107,81.910275,1.81910275,1.81910275,NA,NA,NA,NA,1.816,1.816,NA,,Negative,Win-Mix
53,107,-13.4587554,0.865412446,0.865412446,NA,NA,NA,NA,1.699,1.699,NA,,Negative,Mix-Mix
67,179,78.57,1.7857,NA,NA,NA,NA,1.7857,1.504920202,1.504920202,NA,,NA,Win-Win
68,185,45,1.45,1.45,NA,NA,NA,NA,1.93,1.93,NA,,Mixed,Win-Mix
69,195,32.67327,1.3267327,NA,NA,NA,1.3267327,NA,2.428571429,2.428571429,Positive,,Positive,Win-Win
70,195,14.59459,1.1459459,NA,NA,NA,1.1459459,NA,2.416666667,2.416666667,Neutral,,Positive,Win-Mix
71,195,28.71287129,1.287128713,NA,NA,NA,1.287128713,NA,1.666666667,1.666666667,Positive,,Positive,Win-Win
72,195,43.78378378,1.437837838,NA,NA,NA,1.437837838,NA,1.333333333,1.333333333,Neutral,,Positive,Win-Mix
75,199,25.61,1.2561,NA,NA,NA,1.2561,NA,1.2352,1.2352,NA,Negative,Negative,Win-Mix
76,199,9.96,1.0996,NA,NA,NA,1.0996,NA,1.0614,1.0614,NA,Negative,Negative,Win-Mix
77,199,7.55,1.0755,NA,NA,NA,1.0755,NA,1.1517,1.1517,NA,Negative,Negative,Win-Mix
78,200,0,1,NA,NA,1,NA,NA,1.26,1.26,Positive,,Positive,Mix-Win
84,217,0,1,Positive,NA,NA,NA,1,1.215273733,1.215273733,NA,,NA,Mix-Win
89,251,5.81255,1.0581255,NA,NA,NA,1.0581255,NA,3.0375,3.0375,NA,,Negative,Mix-Mix
90,251,-3.85488,0.9614512,NA,NA,NA,0.9614512,NA,1.275,1.275,NA,,Negative,Mix-Mix
91,251,-3.34089,0.9665911,NA,NA,NA,0.9665911,NA,0.675,0.675,NA,,Negative,Mix-Mix
92,251,10.30234,1.1030234,NA,NA,NA,1.1030234,NA,0.4125,0.4125,NA,,Negative,Mix-Mix
109,278,67.72934,1.6772934,NA,NA,1.6772934,NA,NA,1.877427184,1.877427184,NA,,Negative,Win-Mix
126,309,33.6898396,1.336898396,1.336898396,NA,NA,NA,NA,6.232226264,11.42862191,NA,1.035830619,Negative,Win-Mix
135,337,1.790894799,1.017908948,1,NA,NA,NA,NA,1.048662463,1.048662463,Positive,Negative,NA,Mix-Mix
139,356,17.25,1.1725,1.22,NA,NA,NA,1.125,1.34,1.34,Positive,,Mixed,Win-Mix
140,356,23,1.23,1.25,NA,NA,NA,1.21,1.17,1.17,Positive,,Mixed,Win-Mix
142,366,-2.9761905,0.970238095,0.970238095,NA,NA,NA,NA,1.598185242,1.598185242,NA,,Negative,Mix-Mix
143,366,-3.968254,0.96031746,0.96031746,NA,NA,NA,NA,1.213319637,1.213319637,NA,,Negative ,Mix-Mix
161,410,39.78022,1.3978022,NA,NA,NA,1.3978022,NA,1.0390625,1.0390625,NA,,NA,Mix-Win
162,410,92.96703,1.9296703,NA,NA,NA,1.9296703,NA,1.046875,1.046875,NA,,NA,Mix-Win
163,410,45.27473,1.4527473,NA,NA,NA,1.4527473,NA,1.03125,1.03125,NA,,NA,Mix-Win
175,422,5.511811024,1.05511811,NA,NA,NA,1.05511811,NA,0.951675687,1.141446613,NA,0.761904762,NA,Mix-Mix
176,422,0.811907984,1.00811908,NA,NA,NA,1.00811908,NA,0.846196352,0.930487943,NA,0.761904762,NA,Mix-Lose
179,425,-8.832807571,0.911671924,NA,NA,NA,0.911671924,NA,0.683333333,0.683333333,Negative,,NA,Mix-Lose
210,453,9.12347,1.0912347,NA,NA,NA,1.0912347,NA,1.111948302,1.132454004,NA,1.0914426,Positive,Win-Win
220,495,35.77646728,1.357764673,NA,NA,NA,1.357764673,NA,1.403208146,2.261437908,NA,0.974093264,0.974093264,Win-Mix
221,495,7.02049986,1.070204999,NA,NA,NA,1.070204999,NA,1.235452154,1.758169935,NA,0.974093264,0.974093264,Win-Mix
233,506,97.95918367,1.979591837,NA,NA,1.979591837,NA,NA,1.062893082,1.062893082,NA,,NA,Mix-Win
234,506,79.59183673,1.795918367,NA,NA,1.795918367,NA,NA,0.886792453,0.886792453,NA,,NA,Mix-Lose
235,506,36.73469388,1.367346939,NA,NA,1.367346939,NA,NA,1.144654088,1.144654088,NA,,NA,Mix-Win
239,514,29.78723404,1.29787234,NA,NA,Positive,1.29787234,NA,0.616477273,Positive,NA,0.616477273,NA,Win-Mix
260,542,26,1.26,NA,NA,NA,1.26,NA,1.171949419,1.171949419,NA,,NA,Win-Win
276,570,20.05208335,1.200520834,0.901041667,1.5,Positive,NA,NA,1.071203555,1.263736264,NA,1.0279296,0.9219448,Mix-Mix
278,575,13.09899723,1.130989972,1.037209302,NA,NA,1.224770642,NA,1.112036154,1.240481574,NA,,0.983590734,Win-Mix
299,613,-0.746279891,0.992537201,NA,NA,NA,0.992537201,NA,1.120101645,1.120101645,NA,,NA,Mix-Win
303,618,0,1,NA,NA,NA,1,NA,2.376328502,2.376328502,NA,,NA,Mix-Win
310,626,36.47058824,1.364705882,NA,NA,1.364705882,NA,NA,1.344262295,1.344262295,NA,,NA,Win-Win
311,626,68.12834225,1.681283422,NA,NA,1.681283422,NA,NA,1.389344262,1.389344262,NA,,NA,Win-Win
316,666,0,1,NA,NA,1,NA,NA,1.104110539,1.104110539,Positive,,NA,Mix-Win
320,673,10.86956522,1.108695652,1.108695652,NA,NA,NA,NA,1.208431857,1.208431857,NA,,Negative ,Win-Mix
323,682,21.95447625,1.219544763,1.276964184,NA,NA,1.162125341,NA,1.157277333,1.157277333,NA,,Positive,Win-Win
326,708,-6.808798794,0.931912012,0.931912012,NA,NA,NA,NA,1.63583815,1.63583815,NA,,NA,Mix-Win
327,708,11.73214798,1.11732148,1.11732148,NA,NA,NA,NA,2.779661017,2.779661017,NA,,NA,Mix-Win
329,709,-41.8746196,0.581253804,0.581253804,NA,NA,NA,NA,4.513385827,4.513385827,NA,,NA,Mix-Win
338,726,51.25563731,1.512556373,1.512556373,NA,NA,NA,NA,1.072606275,1.048170587,1.097041963,,NA,Mix-Win
339,726,21.3814384,1.213814384,1.213814384,NA,NA,NA,NA,1.103791362,1.074367088,1.133215636,,NA,Mix-Win
343,733,65.2917505,1.652917505,NA,NA,1.652917505,NA,NA,1.571970069,1.571970069,NA,,NA,Win-Win
351,744,7.96,1.0796,NA,NA,1.0796,NA,NA,2.642677414,4.9719,NA,0.313411693,NA,Win-Mix
352,744,28.49,1.2849,NA,NA,1.2849,NA,NA,4.3125745,8.3388,NA,0.286349,NA,Win-Mix
353,744,21.29,1.2129,NA,NA,1.2129,NA,NA,4.9007205,9.3405,NA,0.460941,NA,Win-Mix
354,744,8.03,1.0803,NA,NA,1.0803,NA,NA,2.509493434,4.7827,NA,0.236299523,NA,Win-Mix
355,744,18.77,1.1877,NA,NA,1.1877,NA,NA,2.940026266,5.5348,NA,0.34526117,NA,Win-Mix
374,772,37.26027397,1.37260274,NA,NA,NA,1.37260274,NA,3.382765531,3.382765531,NA,,NA,Win-Win
379,779,1.18708164,1.011870816,1.088050314,NA,NA,0.935691318,NA,0.899469278,0.850551459,0.948387097,,NA,Mix-Mix
380,779,-0.560173108,0.994398269,1.06918239,NA,NA,0.919614148,NA,0.870763537,0.806043203,0.935483871,,NA,Mix-Mix
