uniqueID,IDALL,Supp_services_average_percent_transf,Supp_services_average,Impact of intensification on: ES supporting Soil formation/flood prevention,Impact of intensification on: ES Supporting Nutrient cycling,"Impact of intensification on: 
 ES supporting Primary production (e.g. total biomass)",Econ_wellbeing_average,"Impact of intensification on: 
 Income Gain/Net Benefits proportion",Impact of intensification on: Income Security/Avoiding Risk of Financial Loss,Savings in Costs of Labour,"Impact of intensification on: material assets/physical capital (Shelter, energy (electricity), cooking fuel, sanitation facilities, market infrastructure)","Combined 
 ecological-social outcome"
7,9,87.836705,1.87836705,NA,1.5882353,2.1684988,2.76,2.76,NA,,NA,Win-Win
10,14,83.3,1.833,NA,1.833,NA,1.992,1.992,NA,,NA,Win-Win
13,19,-1.006945,0.98993055,NA,1.0173611,0.9625,1.06,1.06,NA,,NA,Win-Win
23,50,16.66667,1.1666667,NA,1.1666667,NA,1.668202555,1.668202555,NA,,NA,Win-Win
24,50,19.49405,1.1949405,NA,1.1949405,NA,3.031706204,3.031706204,NA,,NA,Win-Win
25,50,30,1.3,NA,1.3,NA,1.322730924,1.322730924,NA,,NA,Win-Win
26,50,33.39286,1.3339286,NA,1.3339286,NA,2.283148594,2.283148594,NA,,NA,Win-Win
27,56,8.25838,1.0825838,Neutral,1.0825838,NA,1.802556818,1.802556818,NA,,NA,Mix-Win
28,59,4.8,1.048,1.048,NA,NA,2.042411642,2.042411642,NA,,Mixed,Mix-Mix
29,61,15.90909,1.1590909,NA,1.1590909,NA,1.216637782,1.216637782,NA,,NA,Win-Win
34,72,8,1.08,NA,1.08,NA,1.499866365,1.499866365,NA,,NA,Win-Win
35,72,4,1.04,NA,1.04,NA,1.22135074,1.22135074,NA,,NA,Win-Win
36,74,9.8934,1.098934,NA,NA,1.098934,1.3765,1.3765,Positive,,NA,Win-Win
42,99,6.37037,1.0637037,NA,1.0637037,NA,1.287423155,1.287423155,NA,,Negative,Win-Mix
43,99,9.77778,1.0977778,NA,1.0977778,NA,1.063626177,1.063626177,NA,,Negative,Mix-Mix
46,104,0.75416,1.0075416,NA,NA,1.0075416,1.226105005,1.315287836,NA,,1.136922175,Win-Mix
55,128,131.30699,2.3130699,NA,2.8404255,1.7857143,4.321428571,4.321428571,NA,,NA,Win-Win
56,128,100.151975,2.00151975,NA,2.5744681,1.4285714,5.227678571,5.227678571,NA,,NA,Win-Win
67,179,27.335985,1.27335985,1.52,1.0267197,NA,1.504920202,1.504920202,NA,,NA,Win-Win
69,195,10.969775,1.10969775,NA,1.1493955,1.07,2.428571429,2.428571429,Positive,,Positive,Win-Win
70,195,13.189285,1.13189285,NA,1.1637857,1.1,2.416666667,2.416666667,Neutral,,Positive,Win-Mix
71,195,2.876387936,1.028763879,NA,1.029360967,1.028166792,1.666666667,1.666666667,Positive,,Positive,Win-Win
72,195,4.362007782,1.043620078,NA,1.049697494,1.037542662,1.333333333,1.333333333,Neutral,,Positive,Win-Mix
83,214,0.99134,1.0099134,NA,1.009617,1.0102098,1.143614734,1.143614734,NA,,NA,Win-Win
84,217,0.606945298,1.006069453,NA,1.012138906,1,1.215273733,1.215273733,NA,,NA,Mix-Win
89,251,32.783085,1.32783085,1.051495,1.6041667,NA,3.0375,3.0375,NA,,Negative,Mix-Mix
90,251,7.277825,1.07277825,1.0830565,1.0625,NA,1.275,1.275,NA,,Negative,Mix-Mix
91,251,12.781005,1.12781005,1.0472868,1.2083333,NA,0.675,0.675,NA,,Negative,Mix-Mix
