uniqueID,IDALL,All_services_average_percent_transf,All_services_average,Impact of intensification on the availability of: Food [ratio of treatment/control: intercrop/rotation:solecrop],Impact of intensification on the availability of: Freshwater/drinking water,Impact of intensification on the availability of: Fiber,Impact of intensification on the availability of: Biochemicals,Impact of intensification on: Genetic Resources/ diversity,"Impact of intensification on: 
 Climate regulation (reduction in GHG emissions - reduction = good)","Impact of intensification on: 
 Disease regulation (<1 = good, reduction in disease)","Impact of intensification on: 
 Weed/pest regulation (reduction in weed/pest biomass or weed dry matter)","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)","Impact of intensification on: 
 Water purification",Impact of intensification on: ES supporting Soil formation/flood prevention,Impact of intensification on: ES Supporting Nutrient cycling,"Impact of intensification on: 
 ES supporting Primary production (e.g. total biomass)","Impact of intensification on: 
 Biodiversity Species: occurrence/abundance - Diversity, composition,Abundance, behaviour","Impact of intensification on: 
 Biodiversity- Ecosystem ondition/ecosystem quality","Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)","Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
1,1,15,1.15,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,2.03,NA,Positive,NA,NA,,Win-Win
2,1,1,1.01,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,1.93,NA,Positive,NA,NA,,Win-Win
3,2,4.9671,1.049671,1.049671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,1.75,NA,NA,NA,NA,,Win-Win
4,2,10.952641,1.10952641,1.10952641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,1.78,NA,NA,NA,NA,,Win-Win
9,12,40.87666667,1.408766667,1.1659,NA,NA,NA,NA,NA,1.762,1.2984,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.148,1.148,NA,Positive,NA,NA,,Win-Win
11,16,112.261429,2.12261429,2.12261429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2356,NA,1.2356,Positive,NA,NA,,Win-Win
13,19,1.334876333,1.013348763,1.06018519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0173611,0.9625,NA,NA,NA,NA,1.1875,1.1875,NA,NA,NA,NA,,Win-Win
27,56,26.7226475,1.267226475,1.8949825,NA,NA,NA,NA,NA,NA,NA,1.0123273,NA,Neutral,1.0825838,NA,NA,NA,NA,1.0790123,1.4726776,Positive,NA,NA,NA,NA,1.4726776,Mix-Win
29,61,36.51996067,1.365199607,1.22222222,NA,NA,NA,NA,NA,NA,1.7142857,NA,Positive,NA,1.1590909,NA,NA,NA,NA,NA,1.20132655,1.27,1.1326531,NA,NA,NA,,Win-Win
30,64,15.66397,1.1566397,0.98975,NA,NA,NA,NA,NA,NA,1.3235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,1.05,NA,NA,NA,NA,,Mix-Mix
