uniqueID,IDALL,Biocarb_services_average_percent_transf,Biocarb_services_average,"Impact of intensification on: 
 Biodiversity Species: occurrence/abundance - Diversity, composition,Abundance, behaviour","Impact of intensification on: 
 Biodiversity- Ecosystem ondition/ecosystem quality","Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)","Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
27,56,7.90123,1.0790123,NA,NA,NA,1.0790123,1.4726776,Positive,NA,NA,NA,NA,1.4726776,Mix-Win
42,99,8.92857,1.0892857,NA,NA,NA,1.0892857,1.037741,1.037741,NA,NA,NA,NA,,Win-Mix
43,99,6.63265,1.0663265,NA,NA,NA,1.0663265,1.2830579,1.2830579,NA,NA,NA,NA,,Mix-Mix
89,251,17.67435,1.1767435,NA,NA,NA,1.1767435,1.6,1.6,NA,NA,NA,NA,Neutral,Mix-Mix
90,251,-3.2949,0.967051,NA,NA,NA,0.967051,1.45,1.45,NA,NA,NA,NA,Neutral,Mix-Mix
91,251,4.80877,1.0480877,NA,NA,NA,1.0480877,1.59,1.59,NA,NA,NA,NA,Neutral,Mix-Mix
92,251,12.30784,1.1230784,NA,NA,NA,1.1230784,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
93,251,17.67435,1.1767435,NA,NA,NA,1.1767435,1.38,1.38,NA,NA,NA,NA,Neutral,Win-Mix
94,251,-3.2949,0.967051,NA,NA,NA,0.967051,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
95,251,4.80877,1.0480877,NA,NA,NA,1.0480877,1.39,1.39,NA,NA,NA,NA,Neutral,Mix-Mix
96,251,12.30784,1.1230784,NA,NA,NA,1.1230784,1.4,1.4,NA,NA,NA,NA,Neutral,Win-Mix
97,251,17.67435,1.1767435,NA,NA,NA,1.1767435,1.6,1.6,NA,NA,NA,NA,Neutral,Win-Mix
98,251,-3.2949,0.967051,NA,NA,NA,0.967051,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
99,251,4.80877,1.0480877,NA,NA,NA,1.0480877,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
100,251,12.30784,1.1230784,NA,NA,NA,1.1230784,1.56,1.56,NA,NA,NA,NA,Neutral,Win-Mix
124,295,75.80645,1.7580645,NA,NA,NA,1.7580645,1.1794444,1.1794444,NA,NA,NA,NA,,Mix-Mix
139,356,3.5,1.035,NA,1.06,1.01,NA,1.23,NA,1.23,NA,NA,NA,,Win-Mix
140,356,17,1.17,NA,1.17,1.17,NA,1.19,NA,1.19,NA,NA,NA,,Win-Mix
253,539,-4.5131,0.954869,NA,NA,NA,0.954869,1.23,1.23,NA,NA,NA,NA,,Mix-Mix
254,539,2.612826603,1.026128266,NA,NA,NA,1.026128266,1.23,1.23,NA,NA,NA,NA,,Win-Mix
255,539,5.700712589,1.057007126,NA,NA,NA,1.057007126,1.24,1.24,NA,NA,NA,NA,,Win-Mix
256,539,7.363420428,1.073634204,NA,NA,NA,1.073634204,1.08,1.08,NA,NA,NA,NA,,Win-Mix
257,539,4.513064133,1.045130641,NA,NA,NA,1.045130641,1.06,1.06,NA,NA,NA,NA,,Win-Mix
266,560,3.4653,1.034653,NA,NA,NA,1.034653,1.9,1.9,NA,NA,NA,NA,,Win-Win
280,582,13.75668,1.1375668,NA,NA,NA,1.1375668,1.0659115,NA,NA,1.6392857,0.4925373,NA,,Win-Mix
281,582,12.52909,1.1252909,NA,NA,NA,1.1252909,1.2851812,NA,NA,1.9285714,0.641791,NA,,Win-Mix
282,582,9.77754,1.0977754,NA,NA,NA,1.0977754,3.1714015,NA,NA,4.3125,2.030303,NA,,Win-Win
283,582,6.80463,1.0680463,NA,NA,NA,1.0680463,3.10132575,NA,NA,4.6875,1.5151515,NA,,Win-Win
284,582,9.00815,1.0900815,NA,NA,NA,1.0900815,4,NA,NA,Positive,4,NA,,Win-Win
285,582,8.68973,1.0868973,NA,NA,NA,1.0868973,2.5,NA,NA,Positive,2.5,NA,,Win-Win
289,583,0,1,NA,NA,NA,1,1.44166665,NA,1.55,1.3333333,NA,NA,,Mix-Win
290,583,5.47945,1.0547945,NA,NA,NA,1.0547945,1.0277778,NA,1,1.0555556,NA,NA,,Mix-Mix
292,583,-7.57576,0.9242424,NA,NA,NA,0.9242424,1.1061321,NA,1.25,0.9622642,NA,NA,,Mix-Mix
298,609,-13.1054,0.868946,NA,NA,NA,0.868946,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
310,626,13.125,1.13125,NA,NA,NA,1.13125,1.043253341,1.043253341,NA,NA,NA,NA,,Win-Win
311,626,35.9375,1.359375,NA,NA,NA,1.359375,1.385831298,1.385831298,NA,NA,NA,NA,,Win-Win
320,673,6.490299824,1.064902998,NA,NA,NA,1.064902998,1.066666667,NA,1.066666667,NA,NA,NA,,Win-Mix
323,682,5.970149254,1.059701493,NA,NA,NA,1.059701493,1.454545455,1.454545455,NA,NA,NA,NA,,Win-Win
377,778,25.85015508,1.258501551,1.437795181,NA,NA,1.079207921,1.030398323,NA,1.030398323,NA,NA,NA,,Win-Win
378,778,14.29925444,1.142992544,1.320638554,NA,NA,0.965346535,1.031446541,NA,1.031446541,NA,NA,NA,,Mix-Win
