uniqueID,IDALL,Prov_services_average_percent_transf,Prov_services_average,Impact of intensification on the availability of: Food [ratio of treatment/control: intercrop/rotation:solecrop],Impact of intensification on the availability of: Freshwater/drinking water,Impact of intensification on the availability of: Fiber,Impact of intensification on the availability of: Biochemicals,Impact of intensification on: Genetic Resources/ diversity,Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
1,1,15,1.15,1.15,NA,NA,NA,NA,2.03,2.03,NA,Positive,NA,NA,,Win-Win
2,1,1,1.01,1.01,NA,NA,NA,NA,1.93,1.93,NA,Positive,NA,NA,,Win-Win
3,2,4.9671,1.049671,1.049671,NA,NA,NA,NA,1.75,1.75,NA,NA,NA,NA,,Win-Win
4,2,10.952641,1.10952641,1.10952641,NA,NA,NA,NA,1.78,1.78,NA,NA,NA,NA,,Win-Win
9,12,16.59,1.1659,1.1659,NA,NA,NA,NA,1.148,1.148,NA,Positive,NA,NA,,Win-Win
11,16,112.261429,2.12261429,2.12261429,NA,NA,NA,NA,1.2356,NA,1.2356,Positive,NA,NA,,Win-Win
13,19,6.018519,1.06018519,1.06018519,NA,NA,NA,NA,1.1875,1.1875,NA,NA,NA,NA,,Win-Win
27,56,89.49825,1.8949825,1.8949825,NA,NA,NA,NA,1.4726776,Positive,NA,NA,NA,NA,1.4726776,Mix-Win
29,61,22.222222,1.22222222,1.22222222,NA,NA,NA,NA,1.20132655,1.27,1.1326531,NA,NA,NA,,Win-Win
30,64,-1.025,0.98975,0.98975,NA,NA,NA,NA,1.05,1.05,NA,NA,NA,NA,,Mix-Mix
31,64,15.37,1.1537,1.1537,NA,NA,NA,NA,1.225,1.225,NA,NA,NA,NA,,Win-Win
32,64,7.27,1.0727,1.0727,NA,NA,NA,NA,1.375,1.375,NA,NA,NA,NA,,Mix-Win
36,74,57.4,1.574,1.574,NA,NA,NA,NA,1.21,1.21,NA,Positive ,NA,NA,,Win-Win
38,97,21.022727,1.21022727,1.21022727,NA,NA,NA,NA,1.58,1.58,NA,NA,NA,NA,,Win-Win
39,97,25.568182,1.25568182,1.25568182,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,,Win-Win
40,97,30.487805,1.30487805,1.30487805,NA,NA,NA,NA,1.36,1.36,NA,NA,NA,NA,,Win-Win
41,97,16,1.16,1.16,NA,NA,NA,NA,1.31,1.31,NA,NA,NA,NA,,Win-Win
42,99,41.898527,1.41898527,1.41898527,NA,NA,NA,NA,1.037741,1.037741,NA,NA,NA,NA,,Win-Mix
43,99,8.919804,1.08919804,1.08919804,NA,NA,NA,NA,1.2830579,1.2830579,NA,NA,NA,NA,,Mix-Mix
47,105,29.221689,1.29221689,1.29221689,NA,NA,NA,NA,1.2742616,1.2742616,NA,NA,NA,NA,,Mix-Mix
48,105,38.057723,1.38057723,1.38057723,NA,NA,NA,NA,1.3769339,1.3769339,NA,NA,NA,NA,,Mix-Mix
49,106,36.995358,1.36995358,1.68656716,1.05334,NA,NA,NA,1.7145811,1.7621622,NA,NA,NA,NA,1.667,Win-Mix
50,106,47.6580225,1.476580225,1.91791045,1.03525,NA,NA,NA,1.8256757,1.7513514,NA,NA,NA,NA,1.9,Win-Mix
51,106,42.8466045,1.428466045,1.78358209,1.07335,NA,NA,NA,1.8110946,1.8891892,NA,NA,NA,NA,1.733,Win-Mix
52,107,329.954955,4.29954955,4.29954955,NA,NA,NA,NA,2.00501285,1.8100257,NA,NA,NA,NA,2.2,Win-Mix
53,107,179.504505,2.79504505,2.79504505,NA,NA,NA,NA,1.9451157,1.6902314,NA,NA,NA,NA,2.2,Mix-Mix
54,118,58.5,1.585,1.585,NA,NA,NA,NA,1.7116667,1.7116667,NA,NA,NA,NA,,Win-Win
66,176,9.67,1.0967,1.0967,NA,NA,NA,NA,1.505,1.505,NA,NA,NA,NA,,Mix-Mix
73,198,3.238,1.03238,1.03238,NA,NA,NA,NA,1.28,1.28,NA,NA,NA,NA,,Win-Win
74,198,0.097,1.00097,1.00097,NA,NA,NA,NA,1.255,1.255,NA,NA,NA,NA,,Win-Mix
83,214,19.721386,1.19721386,1.19721386,NA,NA,NA,NA,1.2733333,1.2733333,NA,NA,NA,NA,,Win-Win
85,220,34.505588,1.34505588,1.34505588,NA,NA,NA,NA,1.59,1.59,NA,Positive,NA,NA,,Win-Mix
86,220,7.472494,1.07472494,1.07472494,NA,NA,NA,NA,1.4,1.4,NA,Positive,NA,NA,,Win-Mix
89,251,-8.585858586,0.914141414,0.914141414,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,Neutral,Mix-Mix
90,251,-15.65656566,0.843434343,0.843434343,NA,NA,NA,NA,1.45,1.45,NA,NA,NA,NA,Neutral,Mix-Mix
91,251,-15.15151515,0.848484848,0.848484848,NA,NA,NA,NA,1.59,1.59,NA,NA,NA,NA,Neutral,Mix-Mix
92,251,-15.65656566,0.843434343,0.843434343,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
93,251,13.33333333,1.133333333,1.133333333,NA,NA,NA,NA,1.38,1.38,NA,NA,NA,NA,Neutral,Win-Mix
94,251,9.166666667,1.091666667,1.091666667,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
95,251,-4.166666667,0.958333333,0.958333333,NA,NA,NA,NA,1.39,1.39,NA,NA,NA,NA,Neutral,Mix-Mix
96,251,1.666666667,1.016666667,1.016666667,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,Neutral,Win-Mix
97,251,22,1.22,1.22,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,Neutral,Win-Mix
98,251,5.333333333,1.053333333,1.053333333,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
99,251,0,1,1,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
100,251,6.666666667,1.066666667,1.066666667,NA,NA,NA,NA,1.56,1.56,NA,NA,NA,NA,Neutral,Win-Mix
101,258,20.427,1.20427,1.20427,NA,NA,NA,NA,1.2039,1.2039,NA,NA,NA,NA,,Win-Win
110,282,-8.72093,0.9127907,0.9127907,NA,NA,NA,NA,1.33,1.33,NA,NA,NA,NA,,Mix-Mix
111,282,8.67052,1.0867052,1.0867052,NA,NA,NA,NA,1.26,1.26,NA,NA,NA,NA,,Win-Mix
112,282,-10.365854,0.89634146,0.89634146,NA,NA,NA,NA,1.35,1.35,NA,NA,NA,NA,,Mix-Mix
113,282,12.631579,1.12631579,1.12631579,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,,Win-Mix
114,282,24.444444,1.24444444,1.24444444,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Mix
115,282,4.938272,1.04938272,1.04938272,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Mix
126,309,489.4736842,5.894736842,5.894736842,NA,NA,NA,NA,1.655508404,1.783105023,1.527911785,Positive,NA,NA,,Win-Mix
128,320,23.2107438,1.232107438,1.232107438,NA,NA,NA,NA,1.026363636,1.026363636,NA,NA,NA,NA,,Win-Mix
129,321,42.72,1.4272,1.4272,NA,NA,NA,NA,2.116625,2.116625,NA,Positive,NA,NA,,Win-Win
136,338,89.73059075,1.897305907,1.897305907,NA,NA,NA,NA,1.155,1.155,NA,NA,NA,NA,,Win-Win
137,348,5.098435134,1.050984351,1.050984351,NA,NA,NA,NA,1.352941176,Positive,1.352941176,Positive,NA,NA,,Win-Win
138,348,7.218576477,1.072185765,1.072185765,NA,NA,NA,NA,1.529411765,Positive,1.529411765,Positive,NA,NA,,Win-Win
139,356,8.748317631,1.087483176,1.087483176,NA,NA,NA,NA,1.23,NA,1.23,NA,NA,NA,,Win-Mix
140,356,30.68640646,1.306864065,1.306864065,NA,NA,NA,NA,1.19,NA,1.19,NA,NA,NA,,Win-Mix
142,366,78.821363,1.78821363,1.78821363,NA,NA,NA,NA,2.8076923,NA,NA,NA,NA,NA,2.8076923,Mix-Mix
143,366,65.19337,1.6519337,1.6519337,NA,NA,NA,NA,2.2115385,NA,NA,NA,NA,NA,2.2115385,Mix-Mix
144,367,22.146239,1.22146239,1.22146239,NA,NA,NA,NA,1.495,1.495,NA,NA,NA,NA,,Mix-Win
145,367,17.34072,1.1734072,1.1734072,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Mix-Win
146,367,28.172255,1.28172255,1.28172255,NA,NA,NA,NA,1.38,1.38,NA,NA,NA,NA,,Mix-Win
149,388,23.24204293,1.232420429,1.232420429,NA,NA,NA,NA,1.250038023,1.250038023,NA,NA,NA,NA,,Win-Mix
150,388,14.28571429,1.142857143,1.142857143,NA,NA,NA,NA,1.2,1.2,NA,NA,NA,NA,,Mix-Mix
152,396,-12.825705,0.87174295,0.87174295,NA,NA,NA,NA,1.22,1.22,NA,NA,NA,NA,,Lose-Mix
153,396,-16.106386,0.83893614,0.83893614,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Lose-Mix
154,396,-2.992665,0.97007335,0.97007335,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Lose-Win
155,404,11.624326,1.11624326,1.11624326,NA,NA,NA,NA,1.22,1.22,NA,Positive,NA,NA,,Win-Win
160,409,128.406936,2.28406936,2.28406936,NA,NA,NA,NA,1.305,1.305,Positive,NA,NA,NA,,Win-Win
164,412,16,1.16,1.16,NA,NA,NA,NA,0.9358,0.9358,NA,NA,NA,NA,,Win-Mix
