uniqueID,IDALL,Regul_services_average_percent_transf,Regul_services_average,"Impact of intensification on: 
 Climate regulation (reduction in GHG emissions - reduction = good)","Impact of intensification on: 
 Disease regulation (<1 = good, reduction in disease)","Impact of intensification on: 
 Weed/pest regulation (reduction in weed/pest biomass or weed dry matter)","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)","Impact of intensification on: 
 Water purification",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
9,12,53.02,1.5302,NA,1.762,1.2984,NA,NA,1.148,1.148,NA,Positive,NA,NA,,Win-Win
27,56,1.23273,1.0123273,NA,NA,NA,1.0123273,NA,1.4726776,Positive,NA,NA,NA,NA,1.4726776,Mix-Win
29,61,71.42857,1.7142857,NA,NA,1.7142857,NA,Positive,1.20132655,1.27,1.1326531,NA,NA,NA,,Win-Win
30,64,32.35294,1.3235294,NA,NA,1.3235294,NA,NA,1.05,1.05,NA,NA,NA,NA,,Mix-Mix
31,64,75,1.75,NA,NA,1.75,NA,NA,1.225,1.225,NA,NA,NA,NA,,Win-Win
32,64,-55.70175,0.4429825,NA,NA,0.4429825,NA,NA,1.375,1.375,NA,NA,NA,NA,,Mix-Win
36,74,58,1.58,NA,NA,1.58,NA,NA,1.21,1.21,NA,Positive ,NA,NA,,Win-Win
42,99,30.7392996,1.307392996,1.307392996,NA,NA,NA,NA,1.037741,1.037741,NA,NA,NA,NA,,Win-Mix
43,99,-4.6692607,0.953307393,0.953307393,NA,NA,NA,NA,1.2830579,1.2830579,NA,NA,NA,NA,,Mix-Mix
47,105,90.56647,1.9056647,0.9878,NA,NA,2.8235294,NA,1.2742616,1.2742616,NA,NA,NA,NA,,Mix-Mix
48,105,107.64575,2.0764575,0.932,NA,NA,3.220915,NA,1.3769339,1.3769339,NA,NA,NA,NA,,Mix-Mix
49,106,29.7691552,1.297691552,1.408573104,NA,NA,1.18681,NA,1.7145811,1.7621622,NA,NA,NA,NA,1.667,Win-Mix
50,106,35.2255,1.352255,1.46,NA,NA,1.24451,NA,1.8256757,1.7513514,NA,NA,NA,NA,1.9,Win-Mix
51,106,30.758,1.30758,1.28,NA,NA,1.33516,NA,1.8110946,1.8891892,NA,NA,NA,NA,1.733,Win-Mix
52,107,81.910275,1.81910275,1.81910275,NA,NA,NA,NA,2.00501285,1.8100257,NA,NA,NA,NA,2.2,Win-Mix
53,107,-13.4587554,0.865412446,0.865412446,NA,NA,NA,NA,1.9451157,1.6902314,NA,NA,NA,NA,2.2,Mix-Mix
