uniqueID,IDALL,Primary_production,Profit,"Combined 
 ecological-social outcome"
7,9,2.1684988,2.76,Win-Win
13,19,0.9625,1.06,Win-Win
36,74,1.098934,1.3765,Win-Win
46,104,1.0075416,1.315287836,Win-Mix
55,128,1.7857143,4.321428571,Win-Win
56,128,1.4285714,5.227678571,Win-Win
69,195,1.07,2.428571429,Win-Win
70,195,1.1,2.416666667,Win-Mix
71,195,1.028166792,1.666666667,Win-Win
72,195,1.037542662,1.333333333,Win-Mix
83,214,1.0102098,1.143614734,Win-Win
84,217,1,1.215273733,Mix-Win
126,309,2.833333333,11.42862191,Win-Mix
127,319,1.21,1,Win-Mix
130,329,1.28,3.22,Win-Mix
131,329,1.31,3.25,Win-Mix
132,329,1.15,2.08,Win-Mix
133,329,1.16,2.54,Win-Mix
134,329,1.23,2.54,Win-Mix
136,338,1.26325,1.23,Win-Win
142,366,1.2772926,1.598185242,Mix-Mix
143,366,1.9104803,1.213319637,Mix-Mix
144,367,0.9305927,2.193680249,Mix-Win
145,367,0.825654,2.170420393,Mix-Win
146,367,0.7793273,2.616705962,Mix-Win
161,410,0.9649468,1.0390625,Mix-Win
162,410,0.9733773,1.046875,Mix-Win
163,410,0.9620943,1.03125,Mix-Win
175,422,0.967912814,1.141446613,Mix-Mix
176,422,1.252589697,0.930487943,Mix-Lose
177,423,1.3,1.118443316,Mix-Mix
178,423,1.1193,1.118443316,Mix-Mix
179,425,1,0.683333333,Mix-Lose
202,441,1.75,1.583024063,Win-Win
203,441,1.25,1.254639052,Mix-Win
204,444,1.433333333,0.593155894,Mix-Lose
205,444,1.45,3.152091255,Win-Win
210,453,1.031906,1.132454004,Win-Win
233,506,1.411764706,1.062893082,Mix-Win
234,506,1.401960784,0.886792453,Mix-Lose
235,506,1.754901961,1.144654088,Mix-Win
258,540,1,0.9597141,Mix-Mix
259,540,1,0.9132554,Mix-Mix
267,563,1.056756757,1.017377567,Mix-Win
274,567,1.092060086,1.238308652,Win-Win
275,567,0.957412616,1.532217573,Mix-Mix
276,570,1.2416851,1.263736264,Mix-Mix
277,574,3.1619048,1.235902299,Win-Win
278,575,1.185286104,1.240481574,Win-Mix
280,582,2.5636227,3.025184165,Win-Mix
281,582,1.9631174,1.618830638,Win-Mix
282,582,2.0161124,2.762192306,Win-Win
283,582,1.7262985,2.019519854,Win-Win
284,582,3.276748,6.075752117,Win-Win
285,582,2.1188039,5.734606363,Win-Win
286,583,1,1.434316354,Mix-Mix
287,583,1.5,0.514745308,Mix-Mix
288,583,1.25,1,Mix-Mix
289,583,2.0243902,1.82111437,Mix-Win
290,583,2.097561,0.944281525,Mix-Mix
291,583,1,2.850241546,Mix-Win
292,583,1.5,1.618357488,Mix-Mix
293,583,1,2.323671498,Mix-Mix
295,589,1.215474,1.33843085,Win-Mix
296,589,1.098939,1.26795213,Win-Mix
298,609,1.0016461,1.19381839,Mix-Mix
312,631,1.1835878,3.177909763,Win-Mix
323,682,1.315295601,1.157277333,Win-Win
326,708,0.860978203,1.63583815,Mix-Win
327,708,0.763263936,2.779661017,Mix-Win
329,709,1.183444726,4.513385827,Mix-Win
341,731,1.313583067,1.448672739,Win-Win
343,733,1.666690032,1.571970069,Win-Win
346,738,2.105302156,1.063841219,Win-Mix
348,742,0.987526455,1.371451509,Win-Win
349,742,0.985709737,1.750353243,Win-Win
350,742,0.992583297,1.3500,Win-Win
374,772,1.554152319,3.382765531,Win-Win
375,776,1.22091688,1.231012395,Win-Win
376,776,1.010322337,1.353598981,Win-Win
377,778,1.078387458,1.141935484,Win-Win
