StudyID_IDALL,Authors,Year,Title,Citation
671,"Xing H., Liu D.L., Li G., Wang B., Anwar M.R., Crean J., Lines-Kelly R., Yu Q.",2017,"Incorporating grain legumes in cereal-based cropping systems to improve profitability in southern New South Wales, Australia","Xing, H., Liu, D. L., Li, G., Wang, B., Anwar, M. R., Crean, J., . . . Yu, Q. (2017). Incorporating grain legumes in cereal-based cropping systems to improve profitability in southern New South Wales, Australia. Agricultural Systems, 154, 112-123. doi:10.1016/j.agsy.2017.03.010"
170,"Ewing M.A., Bathgate A.D., French R.J., Revell C.K.",1992,The Role of Crop and Pasture Legumes in Rotations on Duplex Soils,"Ewing, M. A., Bathgate, A. D., French, R. J., & Revell, C. K. (1992). The Role of Crop and Pasture Legumes in Rotations on Duplex Soils. Australian Journal of Experimental Agriculture, 32(7), 971-979. doi:10.1071/EA9920971"
618,"Thomas G.A., Dalal R.C., Weston E.J., King A.J., Holmes C.J., Orange D.N., Lehane K.J.",2011,Crop rotations for sustainable grain production on a vertisol in the semi-arid subtropics,"Thomas, G. A., Dalal, R. C., Weston, E. J., King, A. J., Holmes, C. J., Orange, D. N., & Lehane, K. J. (2010). Crop Rotations for Sustainable Grain Production on a Vertisol in the Semi-Arid Subtropics. Journal of Sustainable Agriculture, 35(1), 2-26. doi:10.1080/10440046.2011.530195"
418,"Nel A.A., Purchase J.L., Barnard A.",2003,Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State,"Nel, A. A., Purchase, J. L., & Barnard, A. (2013). Productivity and stability of grain yield in wheat and maize as affected by rotational cropping systems in the eastern Free State. South African Journal of Plant and Soil, 20(2), 81-86. doi:10.1080/02571862.2003.10634913"
321,"Kutu F.R., Asiwe J.A.N.",2010,Assessment of maize and dry bean productivity under different intercrop systems and fertilization regimes,"Kutu, F. R., & Asiwe, J. A. N. (2010). Assessment of maize and dry bean productivity under different intercrop systems and fertilization regimes. African Journal of Agricultural Research, 5(13), 1627-1631."
329,"Lengwati D.M., Mathews C., Dakora F.D.",2020,Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop,"Lengwati, D. M., Mathews, C., & Dakora, F. D. (2020). Rotation Benefits From N2-Fixing Grain Legumes to Cereals: From Increases in Seed Yield and Quality to Greater Household Cash-Income by a Following Maize Crop. Frontiers in Sustainable Food Systems, 4. doi:10.3389/fsufs.2020.00094"
217,"Halpin N.V., Wang W., Rehbein W.E., Reeves S.H.",2015,Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district,"Halpin, N. V., Wang, W., Rehbein, W. E., & Reeves, S. H. (2015). Sugarcane productivity response to different fallow and soybean residue management practices in the Bundaberg district. 37th Annual Conference of the Australian Society of Sugar Cane Technologists, ASSCT 2015, 23-32."
770,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010).",2010,Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland,"Cox, H. W., Kelly, R. M., & Strong, W. M. (2010). Pulse crops in rotation with cereals can be a profitable alternative to nitrogen fertiliser in central Queensland. Crop & Pasture Science, 61(9), 752-762. doi:10.1071/cp09352"
172,"Faleiros G.D., Santos D.F.L., Conceição E.V., Corá J.E.",2020,Economic analysis of soybean-maize crop rotation in a no-tillage system,"Faleiros, G. D., Santos, D. F. L., Conceição, E. V., & Corá, J. E. (2020). Economic analysis of soybean-maize crop rotation in a no-tillage system. Custos e Agronegocio, 16(Special Issue), 28-56."
506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands,"Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107576"
514,"Rusinamhodzi L., Corbeels M., Nyamangara J., Giller K.E.",2012,Maize-grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique,"Rusinamhodzi, L., Corbeels, M., Nyamangara, J., & Giller, K. E. (2012). Maize–grain legume intercropping is an attractive option for ecological intensification that reduces climatic risk for smallholder farmers in central Mozambique. Field Crops Research, 136, 12-22. doi:10.1016/j.fcr.2012.07.014"
396,"Mudita I.I., Chiduza C., Richardson-Kageler S., Murungu F.S.",2008,Evaluation of different strategies of intercropping maize (Zea mays L.) and soya bean (Glycine max (L.) Merrill) under small-holder production in sub-humid Zimbabwe,"Mudita, I. I., Chiduza, C., Richardson, S., & Murungu, F. S. (2008). Evaluation of Different Strategies of Intercropping Maize (Zea mays L.) and Soya Bean (Glycine max (L.) Merrill) Under Small-Holder Production in Sub-Humid Zimbabwe. Journal of Agronomy, 7(3), 237-243. doi:10.3923/ja.2008.237.243"
707,"Zingore S, Murwira HK, Delve RJ, Giller KE",2008,"Variable grain legume yields, responses to phosphorus and rotational effects on maize across soil fertility gradients on African smallholder farms","Zingore, S., Murwira, H. K., Delve, R. J., & Giller, K. E. (2008). Variable grain legume yields, responses to phosphorus and rotational effects on maize across soil fertility gradients on African smallholder farms. Nutrient Cycling in Agroecosystems, 80(1), 1-18. doi:10.1007/s10705-007-9117-3"
70,"Bezner Kerr R., Kangmennaang J., Dakishoni L., Nyantakyi-Frimpong H., Lupafya E., Shumba L., Msachi R., Boateng G.O., Snapp S.S., Chitaya A., Maona E., Gondwe T., Nkhonjera P., Luginaah I.",2019,Participatory agroecological research on climate change adaptation improves smallholder farmer household food security and dietary diversity in Malawi,"Bezner Kerr, R., Kangmennaang, J., Dakishoni, L., Nyantakyi-Frimpong, H., Lupafya, E., Shumba, L., . . . Luginaah, I. (2019). Participatory agroecological research on climate change adaptation improves smallholder farmer household food security and dietary diversity in Malawi. Agriculture, Ecosystems and Environment, 279, 109-121. doi:10.1016/j.agee.2019.04.004"
583,"Snapp S.S., Blackie M.J., Gilbert R.A., Bezner-Kerr R., Kanyama-Phiri G.Y.",2010,Biodiversity can support a greener revolution in Africa,"Snapp, S. S., Blackie, M. J., Gilbert, R. A., Bezner-Kerr, R., & Kanyama-Phiri, G. Y. (2010). Biodiversity can support a greener revolution in Africa. Proc Natl Acad Sci U S A, 107(48), 20840-20845. doi:10.1073/pnas.1007199110"
423,"Ngwira A.R., Aune J.B., Mkwinda S.",2012,On-farm evaluation of yield and economic benefit of short term maize legume intercropping systems under conservation agriculture in Malawi,"Ngwira, A. R., Aune, J. B., & Mkwinda, S. (2012). On-farm evaluation of yield and economic benefit of short term maize legume intercropping systems under conservation agriculture in Malawi. Field Crops Research, 132, 149-157. doi:10.1016/j.fcr.2011.12.014"
582,"Snapp S.S., Grabowski P., Chikowo R., Smith A., Anders E., Sirrine D., Chimonyo V., Bekunda M.",2018,"Maize yield and profitability tradeoffs with social, human and environmental performance: Is sustainable intensification feasible?","Snapp, S. S., Grabowski, P., Chikowo, R., Smith, A., Anders, E., Sirrine, D., . . . Bekunda, M. (2018). Maize yield and profitability tradeoffs with social, human and environmental performance: Is sustainable intensification feasible? Agricultural Systems, 162, 77-88. doi:10.1016/j.agsy.2018.01.012"
616,"Thierfelder C., Cheesman S., Rusinamhodzi L.",2013,Benefits and challenges of crop rotations in maize-based conservation agriculture (CA) cropping systems of southern Africa,"Thierfelder, C., Cheesman, S., & Rusinamhodzi, L. (2012). Benefits and challenges of crop rotations in maize-based conservation agriculture (CA) cropping systems of southern Africa. International Journal of Agricultural Sustainability, 11(2), 108-124. doi:10.1080/14735903.2012.703894"
357,"Maggio G., Asfaw S.",2020,Heterogeneous effects of sustainable agriculture practices: Micro-evidence from Malawi,"Maggio, G., & Asfaw, S. (2020). Heterogeneous Effects of Sustainable Agriculture Practices: Micro-evidence from Malawi. Journal of African Economies, 29(4), 333-374. doi:10.1093/jae/ejz030"
422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257"
283,"Kerr R.B., Snapp S., Chirwa M., Shumba L., Msachi R.",2007,Participatory research on legume diversification with Malawian smallholder farmers for improved human nutrition and soil fertility,"Kerr, R. B., Snapp, S., Chirwa, M., Shumba, L., & Msachi, R. (2007). Participatory research on legume diversification with Malawian smallholder farmers for improved human nutrition and soil fertility. Experimental Agriculture, 43(4), 437-453. doi:10.1017/S0014479707005339"
251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39."
521,"Saidia P.S., Asch F., Kimaro A.A., Germer J., Kahimba F.C., Graef F., Semoka J.M.R., Rweyemamu C.L.",2019,Soil moisture management and fertilizer micro-dosing on yield and land utilization efficiency of inter-cropping maize-pigeon-pea in sub humid Tanzania,"Saidia, P. S., Asch, F., Kimaro, A. A., Germer, J., Kahimba, F. C., Graef, F., . . . Rweyemamu, C. L. (2019). Soil moisture management and fertilizer micro-dosing on yield and land utilization efficiency of inter-cropping maize-pigeon-pea in sub humid Tanzania. Agricultural Water Management, 223. doi:10.1016/j.agwat.2019.105712"
