uniqueID,IDALL,Yieldeqcumul,Recoded aspect of availability of food,Natural_capital,"Combined 
 ecological-social outcome"
1,1,1.15,Cumulative grain yield,2.03,Win-Win
2,1,1.01,Cumulative grain yield,1.93,Win-Win
9,12,1.1659,Cumulative grain yield,1.148,Win-Win
13,19,1.06018519,Equivalent yield,1.1875,Win-Win
29,61,1.22222222,Cumulative grain yield,1.27,Win-Win
30,64,0.98975,Cumulative grain yield,1.05,Mix-Mix
31,64,1.1537,Cumulative grain yield,1.225,Win-Win
32,64,1.0727,Cumulative grain yield,1.375,Mix-Win
36,74,1.574,Cumulative grain yield,1.21,Win-Win
38,97,1.21022727,Cumulative grain yield,1.58,Win-Win
39,97,1.25568182,Cumulative grain yield,1.4,Win-Win
40,97,1.30487805,Cumulative grain yield,1.36,Win-Win
41,97,1.16,Cumulative grain yield,1.31,Win-Win
42,99,1.41898527,Equivalent yield,1.037741,Win-Mix
43,99,1.08919804,Equivalent yield,1.2830579,Mix-Mix
47,105,1.29221689,Equivalent yield,1.2742616,Mix-Mix
48,105,1.38057723,Equivalent yield,1.3769339,Mix-Mix
49,106,1.68656716,Equivalent yield,1.7621622,Win-Mix
50,106,1.91791045,Equivalent yield,1.7513514,Win-Mix
51,106,1.78358209,Equivalent yield,1.8891892,Win-Mix
52,107,4.29954955,Equivalent yield,1.8100257,Win-Mix
53,107,2.79504505,Equivalent yield,1.6902314,Mix-Mix
54,118,1.585,Cumulative grain yield,1.7116667,Win-Win
66,176,1.0967,Cumulative grain yield,1.505,Mix-Mix
73,198,1.03238,Equivalent yield,1.28,Win-Win
74,198,1.00097,Equivalent yield,1.255,Win-Mix
85,220,1.34505588,Cumulative grain yield,1.59,Win-Mix
86,220,1.07472494,Cumulative grain yield,1.4,Win-Mix
89,251,0.914141414,Cumulative grain yield,1.6,Mix-Mix
90,251,0.843434343,Cumulative grain yield,1.45,Mix-Mix
91,251,0.848484848,Cumulative grain yield,1.59,Mix-Mix
92,251,0.843434343,Cumulative grain yield,1.5,Mix-Mix
93,251,1.133333333,Cumulative grain yield,1.38,Win-Mix
94,251,1.091666667,Cumulative grain yield,1.44,Mix-Mix
95,251,0.958333333,Cumulative grain yield,1.39,Mix-Mix
96,251,1.016666667,Cumulative grain yield,1.4,Win-Mix
97,251,1.22,Cumulative grain yield,1.6,Win-Mix
98,251,1.053333333,Cumulative grain yield,1.44,Mix-Mix
99,251,1,Cumulative grain yield,1.5,Mix-Mix
