uniqueID,IDALL,Yieldeqcumul,Recoded aspect of availability of food,Profit,"Combined 
 ecological-social outcome"
1,1,1.15,Cumulative grain yield,2.12,Win-Win
2,1,1.01,Cumulative grain yield,1.89,Win-Win
10,14,1.258,Cumulative grain yield,1.992,Win-Win
12,18,1.8117647,Equivalent yield,1.457,Win-Mix
13,19,1.06018519,Equivalent yield,1.06,Win-Win
15,39,0.9585,Cumulative grain yield,1.366,Mix-Win
16,39,1.289,Cumulative grain yield,2.782,Mix-Win
17,39,0.866,Cumulative grain yield,1.596,Mix-Win
18,39,1.156,Cumulative grain yield,3.151,Mix-Win
23,50,1.29310345,Equivalent yield,1.668202555,Win-Win
24,50,2,Equivalent yield,3.031706204,Win-Win
25,50,1.18215613,Equivalent yield,1.322730924,Win-Win
26,50,1.79182156,Equivalent yield,2.283148594,Win-Win
27,56,1.8949825,Equivalent yield,1.802556818,Mix-Win
29,61,1.22222222,Cumulative grain yield,1.216637782,Win-Win
30,64,0.98975,Cumulative grain yield,1,Mix-Mix
31,64,1.1537,Cumulative grain yield,1.15,Win-Win
32,64,1.0727,Cumulative grain yield,1.05,Mix-Win
34,72,1.45050822,Cumulative grain yield,1.499866365,Win-Win
35,72,1.28051198,Cumulative grain yield,1.22135074,Win-Win
36,74,1.574,Cumulative grain yield,1.3765,Win-Win
38,97,1.21022727,Cumulative grain yield,1.67,Win-Win
39,97,1.25568182,Cumulative grain yield,2.88,Win-Win
40,97,1.30487805,Cumulative grain yield,1.15,Win-Win
41,97,1.16,Cumulative grain yield,1.54,Win-Win
42,99,1.41898527,Equivalent yield,1.287423155,Win-Mix
43,99,1.08919804,Equivalent yield,1.063626177,Mix-Mix
46,104,1.32561294,Equivalent yield,1.315287836,Win-Mix
47,105,1.29221689,Equivalent yield,1.4048,Mix-Mix
48,105,1.38057723,Equivalent yield,1.583,Mix-Mix
49,106,1.68656716,Equivalent yield,1.873669269,Win-Mix
50,106,1.91791045,Equivalent yield,2.499645138,Win-Mix
51,106,1.78358209,Equivalent yield,1.921575586,Win-Mix
52,107,4.29954955,Equivalent yield,1.816,Win-Mix
53,107,2.79504505,Equivalent yield,1.699,Mix-Mix
54,118,1.585,Cumulative grain yield,7.195,Win-Win
55,128,2.2755102,Cumulative grain yield,4.321428571,Win-Win
56,128,2.63265306,Cumulative grain yield,5.227678571,Win-Win
67,179,1.21481481,Cumulative grain yield,1.504920202,Win-Win
69,195,1.7,Equivalent yield,2.428571429,Win-Win
